,title,company,description
0,Actuaire Pricing IARD H/F,MAIF,"La MAIF est un acteur majeur de l'assurance en France. Elle défend une autre idée de l'économie et a développé un modèle mutualiste centré sur l'humain. Travailler à la MAIF, c'est rejoindre une entreprise qui place l'expérience de ses sociétaires et de ses salariés au coeur de ses actions. C'est évoluer dans un environnement favorisant votre épanouissement et dans une entreprise qui vous permet de vous engager pour l'avenir. MAIF porte au quotidien la diversité et l'égalité des chances.  Actuaire Pricing IARD - Poste à pourvoir en CDI - Localisation NIORT ou PARIS  Calculons et sécurisons l'avenir ensemble !  Nous recherchons un actuaire pricing avec expérience pour nous aider à garantir la rentabilité technique de l'ensemble de nos contrats d'assurance IARD (contrats auto, habitation, corporel, protection juridique, navigation de plaisance, et contrats destinés aux professionnels et aux entreprises) et ainsi pérenniser notre modèle de développement déjà riche de plus de 3 millions de sociétaires.  Vous rejoindrez le pôle tarification, un collectif de 26 personnes au sein de la direction Pilotage Tarification et Décisionnel de la MAIF, et êtes rattaché(e) à l'équipe Actuariat-Produits (10 collaborateurs). Vos missions En tant qu'Actuaire Pricing, vous jouerez un rôle clé dans : - La segmentation tarifaire des offres existantes et leur évolution. - La tarification des nouvelles offres IARD du groupe. - La modélisation de périls spécifiques tels que les événements climatiques. - Les études de positionnement. - Les études d'impacts de la dynamique des portefeuilles sur les résultats de souscription. - L'innovation actuarielle, en prenant appui notamment sur les techniques de datascience.  Vous serez en interaction, le plus souvent en mode projets, avec une grande variété de métiers de l'entreprise : marketing, actuariat-provisionnement, réseau, datafactory, pilotage des réseaux de prestataires, souscripteurs grands comptes, ainsi qu'avec la direction informatique. Nous vous offrons une qualité de vie au travail, un management de proximité, l'accès à des projets (dont refontes de gammes, offres innovantes sur le marché). Une rémunération attractive et à la hauteur de vos compétences en respectant nos valeurs. Restaurant d'entreprise/Ticket restaurant, gratuité des abonnements pour les transports en commun, CESU pour vos enfants, accès au CE de l'entreprise, prime d'aide au logement (PARIS), une mutuelle/Complémentaire et Surcomplémentaire, une prime de participation et d'intéressement. Mais aussi : le télétravail, l'évolution professionnelle à travers toutes les entités MAIF, la formation et surtout de la bienveillance, des équipes soudées, un management de proximité...  +19  Le profil attendu  Nous vous invitons à postuler si : - Vous êtes Actuaire qualifié/certifié ou diplômé(e) d'une grande école Bac +5 en actuariat, finance, mathématiques ou statistiques. - Vous avez une expérience d'au moins 5 ans en pricing IARD pour faire preuve de compétences éprouvées en actuariat et en datascience. - Vous maîtrisez la programmation sous SAS, R et/ou Python. - Vous êtes familiarisé avec des progiciels de pricing du marché (ex. Pricing d'Addactis) et de datavisualisation (ex. Spotfire). - Vous êtes à la fois à l'aise avec la complexité et capable de la vulgariser. - Vous savez être force de proposition tout en étant adaptable aux choses déjà mis en place, que vous aimez travailler en équipe, échanger et interagir avec les autres services. - Vous êtes reconnu(e) pour votre ouverture d'esprit, votre adaptabilité aux changements de l'entreprise et à l'évolution de votre métier.  Une expérience en termes de positionnement et d'optimisation tarifaire serait un avantage pour postuler. Cadreo"
1,Actuaire tarification et suivi de rentabilité en santé individuelle (F/H),AXA,"*Offre réservée aux collaborateurs d'AXA France en CDI  Au sein d'AXA Santé et Collectives, vous rejoindrez la Direction Santé Prévoyance et notamment une équipe dynamique de 8 collaborateurs chargée de la conception/tarification des produits complémentaire santé, du suivi technique des portefeuilles santé individuelle et de la réalisation des comptes de la branche Santé individuelle (budget, visées, plan).  Au sein de cette équipe d’experts reconnus, vous apporterez votre propre expertise et maîtrise des techniques actuarielles de pointe (tarification GLM, big data, etc.) et viendrez renforcer l’équipe par votre savoir-faire et votre expérience dans les travaux qu’elle a à mener dans toutes ses dimensions (conception / tarification / conformité).  Dans ce contexte, l'équipe recherche son/sa futur/e collaborateur/trice qui aura pour missions principales de :  - concevoir et tarifer nos nouvelles offres en veillant à leur conformité tant interne (process interne d’approbation des produits) qu’externe (réglementation)  - exploiter les opportunités de notre Data Lake dans la recherche de nouveaux critères tarifaires ou dans notre politique de lutte contre la fraude,  - mettre en place de nouveaux critères tarifaires (ex : catégorie socio-professionnelle),  - mettre en place des outils nécessaires au suivi technique de nos portefeuilles,  - suivre la rentabilité de nos produits,  - suivre les évolutions réglementaires et réalisation des études d’impacts sur notre portefeuille (réforme « 100% santé », résiliation infra-annuelle,…),  - définir et mettre en place des actions correctrices pour garantir la rentabilité de notre portefeuille,  - sécuriser les tarifs dans nos systèmes d’information, notamment en développant et en mettant à jour des outils automatisés de validation du tarif affaire nouvelle / portefeuille à l’attention des opérationnels  - projeter ls principaux indicateurs d’activité sur l’année (Budget Visée) et sur les années à venir (Plan)  Qualifications  De formation Bac + 5 en statistiques/actuariat, vous justifiez d'une expérience réussie d’un ou deux ans (stage, alternance, CDD) dans un organisme d'assurance ou un cabinet de conseil, idéalement en IARD (GLM) ou en Santé/Prévoyance. Vous avez acquis cette expérience en tarification tout en ayant une bonne vision du suivi de la rentabilité.  Dotés d'excellentes aptitudes d'analyse et de synthèse, vous savez présenter les résultats de vos études, vous êtes curieux, rigoureux et réactif.  Vous maîtrisez parfaitement SAS, Excel VBA et idéalement R et Python. Vous souhaitez renforcer vos techniques actuarielles et vous confrontez aux  applications du Big Data dans votre quotidien AXA"
2,Actuaire H/F,Crédit Agricole,"Le groupe Crédit Agricole Assurances est le premier bancassureur en France et l'un des acteurs majeurs en Europe.  Il conçoit des offres au plus près des besoins de ses clients dans les domaines suivants : Assurance Vie, Retraite, Santé, Prévoyance, Assurance emprunteur et Assurances dommages.  Spirica, filiale de Crédit Agricole Assurances à 100% depuis 2010, est spécialisée dans la conception et la gestion de produits d'épargne innovants distribués par des professionnels de la gestion de patrimoine : plateformes et groupements de Conseillers en Gestion de Patrimoine Indépendants, de courtiers internet, banquiers privés, sociétés de gestion.  Référence 2021-57312  Date de parution 12/05/2021  Description du poste  Type de métier  Types de métiers Crédit Agricole S.A. - Assurances  Types de métier complémentaires  Types de métiers Crédit Agricole S.A. - Finances / Comptabilité / Contrôle de gestion  Intitulé du poste  Actuaire H/F  Type de contrat  CDI  Poste avec management  Non  Cadre / Non Cadre  Cadre  Missions  SPIRICA, jeune société d'assurance, est une filiale du groupe Crédit Agricole Assurances qui conçoit, gère et commercialise des produits d'assurance vie épargne (contrats d'assurance vie multi supports/euros, contrats diversifiés, contrats de capitalisation…).  SPIRICA a réalisé en 2020 1,2 milliards d'euros de collecte et détenait plus de 9.4 milliards d'euros d'encours. En pleine croissance, elle compte aujourd'hui plus de 98 collaborateurs implantés essentiellement sur Paris.  Dans le cadre de son développement, SPIRICA recherche un(e) Actuaire au sein du service Actuariat, équipe polyvalente de 5 personnes, dont le poste sera principalement constitué des missions suivantes : :  - Calculs réglementaires Solvabilité 2 (Piliers 1 & 2, études de sensibilités, rapports narratifs …)  - Mise en place et automatisation des calculs IFRS 17  - Etudes techniques : travaux ALM (équilibres financiers, allocation d'actifs…), réassurance, ou autres études actuarielles  - Recherche et développement (modèle ALM Prophet, big data pour lois biométriques et connaissance client …)  - Développement de nouveaux produits : lancement en 2020 des Fonds Euro Nouvelle Génération et de Croissance ALT  - Réalisation d'études diverses liées aux projets de l'entreprise  Localisation du poste  Zone géographique  Europe, France, Ile-de-France, 75 - Paris  Ville  Paris  Critères candidat  Niveau d'études minimum  Bac + 5 / M2 et plus  Formation / Spécialisation  Master II actuariat ou 3ème cycle statistiques motivé par le cursus d'actuaire.  Niveau d'expérience minimum  3 - 5 ans  Expérience  Une première expérience réussie en actuariat en assurance vie est requise, une première approche d'IFRS17 est un atout pour ce poste.  Compétences recherchées  Autonome, curieux et rigoureux, vous avez le sens de l'initiative, et des qualités rédactionnelles, vous êtes à l'aise dans la gestion de projet et sa méthodologie.  Outils informatiques  Une parfaite maîtrise de VBA est requise. Des compétences Prophet seraient appréciées. Crédit Agricole"
3,Actuaire Produit H/F,Crédit Agricole,"Crédit Agricole Assurances, premier assureur en France, rassemble les filiales assurances du Crédit Agricole. Le groupe propose une gamme de produits et services en épargne, retraite, santé, prévoyance et assurance des biens. Ils sont distribués par les banques du groupe Crédit Agricole en France et dans 7 pays dans le monde, par des conseillers en gestion patrimoniale et des agents généraux. Les compagnies de Crédit Agricole Assurances s'adressent aux particuliers, professionnels, agriculteurs et entreprises. A fin 2019, Crédit Agricole Assurances compte 4 700 collaborateurs et son chiffre d'affaires s'élève à 37 milliards d'euros (normes IFRS).  La Médicale, filiale de Crédit Agricole Assurances, est une compagnie leader, spécialisée dans le domaine de l'assurance des professionnels de santé. Avec son réseau de 125 agents généraux dédiés, elle s'adresse aux médecins généralistes et spécialistes, pharmaciens, chirurgiens-dentistes, vétérinaires et professions paramédicales, qu'ils exercent en libéral ou en milieu hospitalier. A ses clients, La Médicale propose une gamme complète de produits d'assurances adaptés à leurs besoins, ainsi qu'à leurs proches, à chaque moment de leur vie professionnelle et privée. La Médicale en 2019, ce sont plus de 200 collaborateurs et 45 agences.  Référence 2021-54247  Date de parution 12/05/2021  Description du poste  Type de métier  Types de métiers Crédit Agricole S.A. - Assurances  Types de métier complémentaires  Types de métiers Crédit Agricole S.A. - Analyse financière et économique Types de métiers Crédit Agricole S.A. - Finances / Comptabilité / Contrôle de gestion  Intitulé du poste  Actuaire Produit H/F  Type de contrat  CDI  Poste avec management  Non  Cadre / Non Cadre  Cadre  Missions  Sous la responsabilité du responsable de l'Actuariat Produits, vous assurez la conception, la modélisation et l'adaptation des produits aux besoins des clients professionnels de santé. La palette de produits commercialisés par La Médicale aujourd'hui est large et concerne aussi bien des produits de responsabilité professionnelle, de dommages aux biens, de santé, de prévoyance ou encore d'emprunteur.  Vous effectuez les études nécessaires au suivi, à la modification et à la tarification des produits, dans le respect des réglementations et des procédures internes.  Vos principales missions s'articulent autour des axes suivants :  Création : Contribuer aux projets de lancement de nouveaux produits et/ou projets d'adaptation de produits de la gamme : - Participer au cadrage de l'offre et à la définition des garanties - Élaborer la tarification pour les nouvelles garanties/nouveaux produits - Élaborer les business plans et les études d'impacts et de sensibilités sur la rentabilité - Rédiger les notes techniques et les expressions de besoins - Participer à l'adaptation des outils et supports d'aide à la vente. - Assurer le soutien technique des services de gestion et commerciaux. Respecter la définition des politiques de La Médicale sur les aspects techniques. Favoriser la circulation de l'information en transverse (Fonction actuarielle de supervision, inventaire, réassurance, contrôle de gestion…)  Analyse : Réaliser des études techniques, statistiques et économiques sur la rentabilité des produits. Travailler à l'analyse et au suivi de l'évolution des portefeuilles de produits. Effectuer les études et analyses techniques permettant de proposer les revalorisations tarifaires adéquates.  Veille : Veiller à l'évolution des théories et des pratiques actuarielles du marché. Contrôler le respect des normes et de la réglementation.  Outils : Contribuer à l'évolution et au développement des outils (outils internes sous SAS, Cahier des charges informatiques)  Localisation du poste  Zone géographique  Europe, France, Ile-de-France, 75 - Paris  Ville  Paris 10  Critères candidat  Niveau d'études minimum  Bac + 5 / M2 et plus  Formation / Spécialisation  Vous êtes titulaire d'une formation supérieure scientifique (école d'actuariat, ingénieur, université…).  Niveau d'expérience minimum  3 - 5 ans  Expérience  Vous avez une expérience d'au moins 3 ans dans le domaine de l'actuariat produit, idéalement en assurance Non Vie. Crédit Agricole"
4,Consultant(e) Actuaire H/F,Marsh & McLennan,"Company: Mercer  Description:  Mercer, l’équipe Wealth France, recherche un(e) candidat(e) pour pour le poste ci-dessous basé à la Défense :  Consultant(e) Actuaire H/F  Ce que vous allez trouver :  La retraite et les avantages sociaux font partie intégrante de la rémunération globale des salariés d’une entreprise. Ces éléments périphériques à la rémunération sont gérés principalement au sein de la Direction des Ressources Humaines tant sur la partie financière (évaluation des engagements sociaux, optimisation financière…) que sur la partie RH (mise en place de régimes, analyse de risques, compliance locale, etc).  Au niveau financier, l’évaluation des engagements sociaux recouvre un ensemble de services plus large que la seule production de chiffres. Les enjeux sont stratégiques et structurants : les engagements de retraite et tout engagement différé influent sur les coûts de revient de l’entreprise, sa structure financière, ses besoins de financement et sa trésorerie. Au niveau RH, la retraite et les avantages sociaux sont des facteurs différentiant pour l’entreprise en terme de rétention et d’attractivité. Les enjeux sont également stratégiques et structurants et une bonne gouvernance de ces avantages est clé pour répondre aux besoins de « l’actif » le plus important de l’entreprise : son capital humain.  Ce que vous allez aimer :  Intervenir auprès d’une grande variété de clients  Bénéficier de l’ensemble du réseau et des capacités de Mercer et du Groupe MMC  Evoluer dans un environnement agile et collaboratif  Nous comptons sur vous pour :  Accompagner les clients (grandes entreprises multinationales : CAC40, SBF120, entreprises familiales, etc.) et piloter des missions :  d’évaluation des engagements sociaux et de mise en œuvre des normes comptables nationales et internationales (IFRS, USGAAP, FrenchGAAP etc.)  d’évaluation de plans d’options ou d’actions gratuites attribués sous la norme IFRS 2  de conseil lié au suivi des impacts financiers au niveau Groupe des engagements sociaux (coordination et consolidation des engagement sociaux)  de conseil aux entreprises pour la création, l’aménagement, le suivi-pilotage ou la suppression de régimes de retraite  de diagnostic et de conseil en investissements pour optimiser la performance des placements financiers liés aux fonds de pension  de conseil lié en optimisation financière et RH des avantages sociaux (audit des avantages sociaux, études de pooling internationaux d’assurances de personnes pour des multinationales)  de conseil liées aux avantages sociaux dans le cadre de fusion & d’acquisition de sociétés (M&A)  Vous êtes reconnu(e) pour votre expertise et vous démontrez:  Formation supérieure Bac+ 4/5 en actuariat, statistique, économétrie ou finance, vous justifiez d’une expérience d’au moins 3 ans  Rigueur et fiabilité  Maîtrise de la gestion de projets  Sens pratique développé, de la réactivité pour répondre aux multiples sollicitations des clients  Aptitude à travailler en équipe dans un contexte d’évolution rapide  D’excellentes qualités relationnelles tant avec vos clients internes qu’externes  Maîtrise d’Excel et VBA  Anglais courant  Mercer est un leader mondial du conseil en ressources humaines, en santé prévoyance, en retraite et en investissements. Mercer aide ses clients à travers le monde à améliorer la santé, la sécurité financière et la performance de leur capital humain. Les 20 000 collaborateurs de Mercer sont présents dans plus de 40 pays. Avec plus de 750 collaborateurs, Mercer est en France une référence pour le conseil et les services en ressources humaines, protection sociale et avantages sociaux. Grâce à sa mosaïque d’expertises uniques et complémentaires–prévoyance/frais de santé, retraite, capital humain, enquêtes de rémunération, mobilité internationale, fusions acquisitions, conseil en investissement, Mercer propose des services sur mesure aux entreprises, branches professionnelles, institutionnels et particuliers.  Nous défendons une culture d’entreprise qui valorise et promeut pleinement les multiples origines, héritages et perspectives de nos collègues et clients, indépendamment de leur expression ou identité de genre, de leur état civil ou statut matrimonial, de leur origine ethnique, de leur nationalité, de leur âge, de leurs origines, de leur handicap, de leur orientation sexuelle ou de leurs croyances. Nous sommes fiers de notre culture inclusive grâce à laquelle chacune et chacun peut librement apporter sa contribution et s'épanouir en toute liberté. Pour en savoir plus sur nos valeurs fondamentales, notre mission et notre vision de l'avenir, consultez Greater Good. Marsh & McLennan"
5,Actuaire Produits Prévoyance et Santé - BE5318,Pro BTP,"Au sein du Département « Produits Prévoyance et Santé », sous la responsabilité du Chef de Département, vous prenez en charge les activités suivantes : Réalisation de tarifications et d’études statistiques Prévoyance et Santé avec l’utilisation de solutions innovantes (GLM, Machine Learning, etc.) Participation à des projets d’entreprise transverses (Valeur client, optimisation des processus internes, etc.) Réalisation des comptes de résultats officiels des « Grands Comptes » et des gammes standards Prévoyance et Santé Participation à la veille réglementaire et à la mise en œuvre des conséquences techniques et financières des évolutions attendues de l’environnement professionnel Conseil et accompagnement actuariel sur les évolutions de produits Prévoyance et Santé auprès des autres Directions du groupe. Contribution à la veille réglementaire et à l’analyse des conséquences techniques et financières des évolutions de la réglementation Vous occuperez un rôle central au sein de la Direction de l’Actuariat en tant que Référent technique en orientant, le cas échéant, les actuaires dans leurs études. Dans cette fonction, vous organisez et pilotez le fonctionnement du Comité technique en réunissant et en animant la communauté des experts techniques de la Direction de l’Actuariat.  Formation :  Vous êtes issu(e) d’une formation (Bac+5) Actuaire, Ingénieur, Statisticien ou domaine équivalent. Une formation complémentaire en data science serait un atout.  Expérience :  Vous bénéficiez d'une expérience d’au moins 5 ans au sein d’une Direction Technique ou d’un Cabinet de Conseil spécialisé en Actuariat. Vous maîtrisez les techniques actuarielles et statistiques. Une maîtrise avancée des outils informatiques est exigée (Suite Office, SAS, R notamment).  Autres connaissances ou qualification :  Votre dynamisme, votre autonomie, votre sens de l’analyse, de la rigueur et de l’organisation de la gestion des informations, et votre capacité à communiquer vos résultats seront vos principaux atouts pour réussir au sein de notre Groupe.  Plus qu’un Job, une Mission !  Ce poste d'Actuaire Produits Prévoyance et Santé H/F vous intéresse ?  N’hésitez plus et envoyez votre candidature en cliquant sur Je postule à cette annonce !  Votre candidature a bien été envoyée.  Référence de l'offre : BE5318 - Mise en ligne le 02 avr. 2021  Civilité  Prénom  Nom  E-mail  Je joins mon CV * CV Pas de fichier sélectionné  Fichiers acceptés: pdf, doc, docx, odt, ods, png, bmp, gif, jpg, jpe, tif, tiff, jpeg dans la limite de 1 Mo  Je joins ma lettre de motivation Lettre de motivation Motivation Pas de fichier sélectionné  Fichiers acceptés: pdf, doc, docx, odt, ods, png, bmp, gif, jpg, jpe, tif, tiff, jpeg dans la limite de 1 Mo  Commentaire  Attention, nous vous rappelons que les informations saisies ci-dessus (i) doivent être des données pertinentes et proportionnées en lien avec votre demande d'emploi, (ii) ne doivent en aucun cas être des données ""sensibles"" (données de santé, orientation politique, religieuse, syndicale ou sexuelle des personnes, condamnations, etc.). Il ne sera tenu aucun compte de toute donnée non pertinente, qui sera supprimée.  Champs obligatoires  Les données sont collectées par l’Association de Protection Sociale du Bâtiment et des Travaux Publics (l’Association de Moyens PRO BTP) en charge du site de collecte. Les données signalées ci-dessus par un astérisque sont nécessaires pour nous permettre d’analyser votre candidature et vous communiquer notre réponse. Elles sont destinées à être traitées, dans le cadre de votre consentement manifesté par l’envoi de ces données, par l’Association de Moyens PRO BTP, l’association BTP Résidences Médico-Sociales ou l’association BTP VACANCES en fonction de votre demande, aux fins d’analyser votre candidature et de vous adresser la réponse de l’employeur pressenti. Ces informations ne font l’objet d’aucun transfert en dehors du territoire de l’UE. Elles ne donnent lieu à aucune décision automatisée de la part des Responsables de traitement susmentionnés. Vos données sont conservées pendant un délai maximal de 1 an (en cas de candidature spontanée) à 2 ans (en cas de réponse à une offre d'emploi) à compter de leur dépôt afin de pouvoir vous proposer d’autres opportunités, dans le cadre de notre intérêt légitime et sauf opposition de votre part. En application du Règlement du 27 avril 2016 relatif à la protection des données personnelles, vous disposez sur ces données de droits (i) d’accès, (ii) de rectification, (iii) d’effacement, (iv) de limitation et (v) de portabilité de vos données vers un prestataire tiers le cas échéant. Vous pouvez en outre vous opposer à tout moment au traitement ultérieur de vos données pour motif légitime. Vous pourrez faire valoir ces droits en contactant le Directeur de la Gestion Administrative et Technique des Ressources Humaines (DGATRH) de l’Association de Moyens PRO BTP par mail à exercicedesdroitsRH@probtp.com ou par courrier postal à PRO BTP, DGATRH, Exercice des Droits, CTN Parc Saint Véran, 06808 CAGNES SUR MER CEDEX. En cas de litige, vous disposez également du droit de saisir la CNIL.  Info +  Le développement de notre Groupe et celui de votre talent sont indissociables.  En intégrant PRO BTP, vous rejoignez une entreprise innovante, responsable et solidaire. Vous donnez également du sens et des perspectives à votre carrière. Pro BTP"
6,Actuaire Solvabilité Ii H/F,MGEN,"Vous souhaitez participer au développement d’une entreprise au service du bien vivre, qui allie puissance et innovation en s’appuyant sur les valeurs humanistes qui l’ont fondée?  La mission  Le groupe MGEN accompagne 4 millions de personnes dans tous les domaines de la santé : assurance maladie obligatoire, complémentaire, prévoyance, autonomie, prévention et soins. Acteur mutualiste engagé, il emploie 10 000 salariés dans plus de 200 sites, dont 55 services de soins et d'accompagnement. MGEN s'engage pour la Diversité et le Handicap : du recrutement à l'évolution professionnelle, nous garantissons l'égalité des chances à tous nos collaborateurs.  Au sein du département actuariat et de son pôle actuariat transverse, S2, Orsa, MGEN recherche : UN ACTUAIRE Solvabilité 2 H/F CDI Temps plein Situé Paris 15e proche Gare Montparnasse  Vous réalisez les calculs règlementaires solvabilité 2 en apportant votre expertise Solvabilité 2.  Vous êtes, avec le responsable du pôle, garant de la bonne application de la réglementation solvabilité 2 et l'interlocuteur privilégié des autres directions telles que le contrôle de gestion, la comptabilité, les fonctions clés actuarielle et gestion des risques. Vos missions : - Réaliser les travaux de validation des SCR, QRT du passif. - Rédiger les procédures, spécifications et notes de synthèse relatives à solvabilité 2. - Participer aux calculs de l'Orsa. - Réaliser des sensibilités, stress test Orsa. - Participer à la rédaction des rapports narratifs (SFCR, RSR). - Participer à la réalisation des prévisionnels pour les éléments techniques. - Industrialiser et optimiser les processus du pôle, en participant notamment à la migration d'outils. - Réaliser toutes sortes d'études actuarielles nécessaires en lien avec l'activité.  Par vos missions, vous partagez, en lien avec le responsable du pôle, une vision transverse des engagements techniques et de la solvabilité globale de l'entreprise  +30  Le profil attendu  De formation supérieure type Master Actuariat / Master Statistiques / Mathématiques, vous justifiez d'une solide expérience (minimum 5 ans) en assurance de personnes et solvabilité 2.  Une solide expérience Solvabilité 2 et Orsa est requise. La réglementation Solvabilité 2 doit être maîtrisée.  Vous êtes à l'aise par ailleurs avec les techniques de provisionnement.  Rigueur, organisation, réactivité et autonomie sont requises pour réussir pleinement sur ce poste.  Vos qualités rédactionnelles, de synthèse et relationnelles seront un atout, ainsi que votre dynamisme et votre ouverture d'esprit. Vous maîtrisez les outils informatiques bureautiques (Pack Office / Access...) et un outil de calculs et projections actuarielles.  Informations complémentaires : Ce poste fait référence à la fonction Actuaire (classification C2 de la convention collective ANEM). Cadreo"
7,Actuaire Réassurance H/F,Groupama,"Description du poste  Intitulé du poste  Actuaire Réassurance H/F  Description de la mission  Venez rejoindre la Direction Réassurance, au cœur de l'équipe Actuariat et Etudes Techniques où nous compterons sur vous pour effectuer avec dynamisme ces différentes missions :  - Tarification en réassurance climatique et RC automobile, - Suivi du risque majeur groupe tempête, - Provisionnement de la subsidence, - Allocation du capital, - Animation de la communauté climatique, - Correspondant de filiales internationales, - Coordination des apportionnements, - Valorisation de portefeuilles en dommages aux biens.  Profil  Nous recherchons une personne Actuaire ou assimilé.  Qui connait la modélisation des catastrophes par exposition, les outils cartographiques et qui parle, lit et écrit l'anglais.  Une personne qui soit passionnée, dynamique, autonome qui aime proposer des idées, et travailler en équipe. Groupama"
8,Actuaire Risk Manager - Prévoyance collective (F/H),AXA,"Au sein de l’équipe Modèle et Valorisation du Risk Management d’AXA France, vous êtes en charge de la production et du suivi des indicateurs de valorisation du portefeuille Prévoyance Collective via le Modèle Interne d’AXA France. Cette production est nécessaire pour les besoins de communication financière et sert comme outil de pilotage en interne dans les environnements MCEV et Solvabilité 2. Vous devenez l’expert technique sur le portefeuille de Prévoyance Collective.  Dans ce cadre, vos principales missions sont :  · Garantir la qualité de la valorisation du portefeuille et des affaires nouvelles dans le cadre des travaux du Groupe Axa sur l'European Embedded Value,  · Produire et analyser les résultats du calcul du capital économique en modèle interne sous Solvabilité 2 Pilier 1 pour le portefeuille de prévoyance. Contribution aux études ORSA et aux demandes de l’ACPR,  · Mener les projets d’amélioration ou développement de la modélisation des produits d’assurance dans l’outil interne Sunrise autant sur le passif que l’actif en anticipant les impacts,  · Réaliser des études ponctuelles sur le portefeuille en lien avec les directions de marché (gestion de la dilution, pilotage par les free cash-flow)  Le portefeuille de Prévoyance Collective constitue un enjeu de croissance stratégique pour AXA, en particulier sur le volet international, ce qui amène à étudier de manière approfondie et à optimiser les leviers de rentabilité et de solvabilité de cette branche.  De fortes interactions avec les autres services tels que la direction des investissements, le contrôle de gestion, la direction technique, les directions de marché... viennent en appui des missions.  Qualifications  De formation spécialisée en Actuariat ou doté d’un Bac+5 spécialisé en Statistiques/Mathématiques/Assurances, vous justifiez d’une première expérience déjà éprouvée en actuariat produit ou modèle. Vous maîtrisez les outils informatiques (Excel, Word) et vous êtes à l’aise en développement informatique (VBA, C++ ou autre).  Vous faites preuve de proactivité, d’agilité opérationnelle et votre curiosité est un atout majeur. Autonome et engagé, vous aimez travailler en équipe et relever des challenges techniques. AXA"
9,Actuaire Produits H/F,Gresham,"Vous souhaitez rejoindre une structure à taille humaine et reconnue pour son expertise, Rejoignez-nous !  APICIL Épargne, membre du Groupe APICIL, 3e groupe français de protection sociale, propose une gamme complète de solutions performantes et adaptées en santé-prévoyance, épargne, services financiers et retraite pour particuliers et professionnels. Chaque jour, les 2 000 collaborateurs du Groupe apportent leur expertise aux plus de 46 000 entreprises et 2,2 millions d’assurés protégés. Avec ses membres, le Groupe accompagne les clients au plus près de leurs attentes en répondant à leurs besoins des plus généraux aux plus spécifiques (handicap, grande distribution, BTP…) et dans toutes les étapes de leur vie. Paritaire et mutualiste le Groupe APICIL soutient des causes d’intérêt général et contribue ainsi à l’avancée de projets sociétaux majeurs.  Au sein de la Direction Commerciale et Offre, vous accompagnez le business épargne individuelle et retraite individuelle et collective dans son développement et ses évolutions produits :  Réaliser des études liées aux nouvelles avancées techniques ou règlementaires (loi PACTE, transformations produits) ;  Dans le cadre du suivi des engagements, suivre des produits existants par la réalisation d’outils et d’études visant à l’amélioration de la connaissance du portefeuille et de sa rentabilité, du support technique du département commercial, avec notamment la modification et/ou l’utilisation d’outils de simulation ;  Contribuer à l'amélioration de la qualité de service apportés à nos apporteurs, du support technique du département gestion avec notamment la validation des paramètres techniques des systèmes d’information et le support technique nécessaire aux gestionnaires ;  Contribuer à des projets d’harmonisation ou d’adaptation de la gamme produits.  De formation supérieure en actuariat ou statistiques, vous bénéficiez d’une première expérience en actuariat produit tout en bénéficiant d’une bonne capacité d’analyse et d’adaptation. Vous avez le goût des chiffres et maitrisez Excel/VBA et un outil de projection actuariel. La compréhension de l’activité et des gammes produits est un plus. Flatchr"
