,title,company,description
0,Courtier Mandataire H/F,MyMeerkat,"MyMeerkat recherche …  La famille CrédiPro s'agrandit ! Tu souhaites exprimer ton talent commercial, relever des challenges et donner du sens à ta carrière et aux projets de nos clients ? Ça tombe bien, nous recherchons un Courtier Mandataire Indépendant pour renforcer notre équipe.  Pour la Petite Histoire... Depuis 2020, le CrédiPro est le leader incontournable du financement professionnel avec la fusion de l'entreprise Access Crédits Pro. Fondé sur 25 ans d'expérience du cabinet pilote parisien, CrediPro est un réseau de courtiers professionnels accompagnant les entreprises dans la création ou la reprise de sociétés ou encore pour l'achat d'un local professionnel. CrediPro c'est avant tout des femmes et des hommes installés en région. Leur connaissance du tissu économique local, associé au savoir-faire de l'enseigne en font des experts dans le domaine du financement professionnel.  Rejoindre CrediPro, c'est : - Evoluer dans un climat fédérateur et bénéficier d'un soutien aguerri. - Rejoindre un réseau structuré dans un secteur à fort potentiel et en pleine expansion. - Partager des valeurs communes : l'autonomie, la loyauté, la confiance, le goût du challenge et l'esprit d'équipe.  Pour répondre au besoin de recrutement de notre client, nous recherchons un ou une Courtier/ère Mandataire Indépendant ! En véritable expert, tu seras chargé des missions suivantes :  - Créer, développer et fidéliser un réseau d'apporteurs d'affaires (avocats, notaires, agences immobilières, experts-comptables...) sur une zone attribuée. - Répondre aux besoins des clients dans le financement de leurs projets. - Promouvoir CrédiPro et participer à la reconnaissance de l'entreprise sur le marché local. - Optimiser la recherche de financement de prêts professionnels des clients avec l'offre la plus adaptée à leur projet. - Assurer un suivi administratif de qualité des dossiers montés ainsi que le suivi de la relation clientèle.  Vous êtes …  Tu as... Une expérience réussie en tant que courtier La volonté de développer l'entreprise L'esprit de conquête et un excellent relationnel Une aisance d'adaptation Le Permis B et un véhicule  Tu aimes... Relever des challenges et toujours aller de l'avant. L'autonomie dans ton travail.  Ça te correspond ?  Alors n'attends plus et envoie nous CV et Lettre de Motivation ici ****@****.**  En résumé ...  Publiée le 11/05/2021. Réf : 514125/1123831 CMI/76R Poste : Courtier Mandataire H/F Secteur de l'entreprise : Services aux Personnes, Particuliers, Services aux Entreprises Localité : Rouen Expérience requise : 1 à 7 ans, + 7 ans Type de contrat : Indépendant/Freelance Niveau d'études : BEP, CAP, Bac, Bac +2 Avantages : Type de contrat : Temps plein en indépendant MIOBSP Secteur de recherche : Métropole Rouen Normandie, Dieppe et Elbeuf Rémunération : Commissionnement attractif au pourcentage du chiffre d'affaires réalisé par tes soins.  Et si tu vivais un métier passionnant avec des personnes passionnées ? Nordjob"
1,Courtier(ère) Mandataire Indépendant H/F,MyMeerkat,"Description du poste et Missions  Pour répondre au besoin de recrutement de notre client, nous recherchons un ou une Courtier/ère Mandataire Indépendant !  En véritable expert, tu seras chargé des missions suivantes : Créer, développer et fidéliser un réseau d'apporteurs d'affaires (avocats, notaires, agences immobilières, experts-comptables…) sur une zone attribuée; Répondre aux besoins des clients dans le financement de leurs projets; Promouvoir CrédiPro et participer à la reconnaissance de l'entreprise sur le marché local; Optimiser la recherche de financement de prêts professionnels des clients avec l'offre la plus adaptée à leur projet; Assurer un suivi administratif de qualité des dossiers montés ainsi que le suivi de la relation clientèle. Profil recherché  Tu as…  ✅ Une expérience réussie en tant que courtier  ✅ La volonté de développer l'entreprise  ✅ L'esprit de conquête et un excellent relationnel  ✅ Une aisance d'adaptation  ✅ Le Permis B et un véhicule  Tu aimes…  ✅ Relever des challenges et toujours aller de l'avant.  ✅ L'autonomie dans ton travail.  Ça te correspond ?  Alors n'attends plus et envoie nous CV et Lettre de Motivation ici  Informations utiles Localisation Rouen - 76, France - zone de déplacement : départementale Contrat Freelance / indépendant Salaire Non défini Niveau de qualification Employé/Opérateur/Ouvrier Spe/Bac, BEP/CAP, Technicien/Employé Bac +2 Expérience 1 à 7 ans, + 7 ans Modalités de travail Temps complet Fonction Commercial auprès des particuliers, Commercial auprès des professionnels Secteur Banque/Assurance/Finance, Services aux Entreprises Télétravail Oui Type de contrat : Temps plein en indépendant - MIOBSP  Secteur de recherche: Métropole Rouen Normandie, Dieppe et Elbeuf  Rémunération : Commissionnement attractif au pourcentage du chiffre d'affaires réalisé par tes soins.  Et si tu vivais un métier passionnant avec des personnes passionnées ?  Qui sommes nous ?  MyMeerkat  La famille CrédiPro s'agrandit !  Tu souhaites exprimer ton talent commercial, relever des challenges et donner du sens à ta carrière et aux projets de nos clients ? Ça tombe bien, nous recherchons un Courtier Mandataire Indépendant pour renforcer notre équipe.  Pour la Petite Histoire...  Depuis 2020, le CrédiPro est le leader incontournable du financement professionnel avec la fusion de l'entreprise Access Crédits Pro.  Fondé sur 25 ans d'expérience du cabinet pilote parisien, CrediPro est un réseau de courtiers professionnels accompagnant les entreprises dans la création ou la reprise de sociétés ou encore pour l'achat d'un local professionnel.  CrediPro c'est avant tout des femmes et des hommes installés en région.  Leur connaissance du tissu économique local, associé au savoir-faire de l'enseigne en font des experts dans le domaine du financement professionnel.  Rejoindre CrediPro, c'est: Évoluer dans un climat fédérateur et bénéficier d'un soutien aguerri; Rejoindre un réseau structuré dans un secteur à fort potentiel et en pleine expansion; Partager des valeurs communes : l'autonomie, la loyauté, la confiance, le goût du challenge et l'esprit d'équipe. Talent Detection"
2,COURTIER EN ASSURANCE,Logic Intérim,"LOGIC INTERIM IDF recherche pour l’un de ses clients basé sur Noisy-le-Grand, un Gestionnaire Clientèle en Assurances (H/F) pour un contrat en intérim.  Vous devrez assurer le suivi et l’administration d’un portefeuille, composé de particuliers et d'entreprise Respecter et suivre les procédures mises en place dans l’entreprise, Apporter aide et soutien à votre équipe en cas de besoins,  Votre profil : Vous devez être issu(e) d’une formation en assurances, Vous devez impérativement posséder une expérience de 2 à 3 ans minimum sur un poste similaire, chez un courtier, ou agent d’assurances, principalement sur la branche IARD et en intermédiation d’assurances, Vous devez maitriser les sites intranet de certaines compagnies,  Les atouts pour ce poste sont avant tout les capacités relationnelles dont vous saurez faire preuve, ainsi que votre fibre commerciale,  Si vous correspondez au profil, êtes à la recherche d’un nouveau poste et êtes motivé(e), alors, n’hésitez plus, postulez à l’aide d’un CV actualisé à l'adresse suivante : kr@logic-interim.fr Logic Intérim"
3,Courtier en crédit immobilier F/H,Empruntis L'agence,"Empruntis l'agence est un réseau national de chefs d'entreprise en franchises spécialisé dans le crédit immobilier et l'assurance de financement.  Composé de plus de 150 agences présentes partout en France, le réseau accompagne l'ensemble des projets nécessitant le recours au crédit. A l'écoute dès le démarrage du projet, ils sont en mesure de le sécuriser grâce à l'expérience et l'engagement de chefs d'entreprise qui mettent tout en œuvre pour le faire aboutir dans les meilleures conditions. Que le projet soit simple ou complexe, il est unique.  Leur savoir-faire est celui d'artisans : ils confectionnent des solutions sur-mesure répondant aux attentes et besoins de chaque profil d'emprunteur. L'expérience client que proposent ces acteurs engagés est rythmée par la pédagogie, la transparence et la rassurance.  Empruntis l'agence est le seul réseau de courtage à garantir l'obtention du meilleur taux grâce à son exclusivité : la garantie du meilleur taux.  Empruntis l'agence est une marque de Compagnie Européenne de Crédit.  Description du poste  Pour renforcer son équipe, l'agence de Anglet recherche un Conseiller Financier - statut mandataire - dont les missions sont les suivantes : Prospecter, fidéliser et développer un réseau d'apporteurs d'affaire composé d'agents immobiliers, de constructeurs et promoteurs, de notaires; Prendre en charge les demandes de prospects en recherche d'une solution de financement en crédit immobilier et rechercher de nouveaux clients ; Conseiller et accompagner vos clients, de la recherche de financement jusqu'à la concrétisation de leur projet ; Rechercher et négocier les meilleures conditions auprès de nos partenaires bancaires ; Gérer le suivi commercial de votre portefeuille-clients jusqu'à la signature chez le notaire. Profil recherché  Vous souhaitez donner du sens à votre engagement professionnel ? Vous voulez exercer un métier à la croisée des chemins entre l'expertise et la pédagogie ? Rejoignez Empruntis l'agence, le réseau de courtiers experts qui donne de l'âme à la recherche de financement !  Vous avez une première expérience dans le financement ou êtes passionné par les projets immobiliers. Vous aimez créer du lien avec vos clients, et développer une approche très personnalisée afin qu'ils se sentent rassurer. Vous avez à cœur d'être présent à chaque étape, pour construire la relation et façonner la solution qui conviendra à vos clients. La pédagogie est une de vos forces (parfois vos proches vous disent que vous auriez pu être prof…) et vous savez capitaliser sur votre expertise pour démontrer aux clients combien ils ont bien fait de vous confier leur projet.  Pour vous, conseiller n'est pas antinomique avec vendre, bien au contraire.  Vous êtes adepte des réseaux professionnels (réels ou virtuels) pour créer autour de vous un écosystème favorable au développement de votre business.  Réf: e88e5fa0-279b-445f-212e-08d8e968b829  Je postule à cette offre  Courtier en crédit immobilier F/H  Indépendant  Temps plein  Anglet  Civilité *  Madame  Monsieur  Nom *  Prénom *  E-mail *  Numéro de téléphone *  Disponibilité  Attentes salariales (brut/an)  CV *  Choisir un fichier  Format: .PDF, .DOCX, .DOC, .RTF, .ODT, .JPG, .TXT. Poids max. : 2 Mo.  J'accepte que l'entreprise Empruntis L’agence conserve mes données personnelles pendant une durée de 2 ans afin d'être recontacté(e) pour de nouvelles opportunités Empruntis L'agence"
4,Courtier en crédit immobilier F/H,Empruntis L'agence,"Empruntis l’agence est un réseau national de chefs d’entreprise en franchises spécialisé dans le crédit immobilier et l’assurance de financement. Composé de plus de 150 agences présentes partout en France, le réseau accompagne l’ensemble des projets nécessitant le recours au crédit. A l’écoute dès le démarrage du projet, ils sont en mesure de le sécuriser grâce à l’expérience et l’engagement de chefs d’entreprise qui mettent tout en œuvre pour le faire aboutir dans les meilleures conditions. Que le projet soit simple ou complexe, il est unique. Leur savoir-faire est celui d’artisans : ils confectionnent des solutions sur-mesure répondant aux attentes et besoins de chaque profil d’emprunteur. L’expérience client que proposent ces acteurs engagés est rythmée par la pédagogie, la transparence et la rassurance. Empruntis l’agence est le seul réseau de courtage à garantir l’obtention du meilleur taux grâce à son exclusivité : la garantie du meilleur taux. Empruntis l’agence est une marque de Compagnie Européenne de Crédit. Pour renforcer son équipe, l'agence de Anglet recherche un Conseiller Financier - statut mandataire - dont les missions sont les suivantes : - Prospecter, fidéliser et développer un réseau d’apporteurs d’affaire composé d’agents immobiliers, de constructeurs et promoteurs, de notaires; - Prendre en charge les demandes de prospects en recherche d’une solution de financement en crédit immobilier et rechercher de nouveaux clients ; - Conseiller et accompagner vos clients, de la recherche de financement jusqu’à la concrétisation de leur projet ; - Rechercher et négocier les meilleures conditions auprès de nos partenaires bancaires ; - Gérer le suivi commercial de votre portefeuille-clients jusqu’à la signature chez le notaire. Vous souhaitez donner du sens à votre engagement professionnel ? Vous voulez exercer un métier à la croisée des chemins entre l’expertise et la pédagogie ? Rejoignez Empruntis l’agence, le réseau de courtiers experts qui donne de l’âme à la recherche de financement ! Vous avez une première expérience dans le financement ou êtes passionné par les projets immobiliers. Vous aimez créer du lien avec vos clients, et développer une approche très personnalisée afin qu’ils se sentent rassurer. Vous avez à cœur d’être présent à chaque étape, pour construire la relation et façonner la solution qui conviendra à vos clients. La pédagogie est une de vos forces (parfois vos proches vous disent que vous auriez pu être prof…) et vous savez capitaliser sur votre expertise pour démontrer aux clients combien ils ont bien fait de vous confier leur projet. Pour vous, conseiller n’est pas antinomique avec vendre, bien au contraire. Vous êtes adepte des réseaux professionnels (réels ou virtuels) pour créer autour de vous un écosystème favorable au développement de votre business. BAC+3/4 We Recruit"
5,COURTIER EPARGNE ET PROTECTION SOCIALE MEURTHE 55 H/F Grand Est,CCLD Recrutement,"Description de l'entreprise  «Découvrez un projet adapté à votre talent!»  Chez CCLD, cabinet de recrutement, spécialiste des fonctions commerciales, recrute pour le Groupe SOFRACO.  Spécialisé dans l’organisation des régimes sociaux (Retraite, Prévoyance, Santé et Epargne), le Groupe Sofraco est le premier réseau national indépendant, spécialisé en protection sociale des dirigeants d’entreprises et des professions libérales.  Composé de 270 courtiers – 330 cabinets et 60 compagnies partenaires, experts de la protection sociale, le Groupe SOFRACO met à votre disposition toute l’analyse et les outils permettant de comprendre, de maîtriser et de piloter l’ensemble des régimes sociaux obligatoires et complémentaires.  La valeur ajoutée du Groupe Sofraco est d’apporter une vision globale, stratégique et économique, aux entreprises. Qu’il s’agisse d’optimisation de rémunération, de changements de statuts, d’analyser les impacts sociaux et fiscaux… ils accompagnent déjà plus de 50 000 dirigeants d’entreprises, dans l’optimisation de leur protection sociale.  Pourquoi rejoindre Le Goupe SOFRACO ? Car vous bénéficierez : D’un accompagnement complet dans la mise en place de votre cabinet (statuts, ORIAS, visibilité, business plan, conformité…) De la puissance de négociation d’un groupement avec les partenaires assureurs (accès aux meilleures solutions du marché tout en bénéficiant de conditions de rémunération privilégiées), D’une formation à l’approche et aux outils spécifiques au métier D’une animation nationale et régionale (séminaires, ateliers métiers, présentations partenaires…) Être accompagné pour la création de votre entreprise, de la rédaction des statuts à la commission ORIAS, jusqu’à la formalisation de votre première devoir de conseil.  Descriptif de poste  «Laissez s'exprimer votre talent!»  Le Groupe SOFRACO cherche à développer son réseau de courtiers indépendants, dans votre région :  Vos Objectifs : Devenir indépendant et créer votre propre entreprise Définir en toute liberté votre stratégie et rythme de développement Développer vos compétences et Valoriser votre expertise en protection sociale Proposer à vos clients les meilleurs produits et solutions du marché grâce à nos 60 partenaires et nos produits dédiés Bénéficier des protocoles de rémunérations négociés et privilégiés Partager les valeurs communes Profil recherché  «Venez développer votre talent!»  Expérience Vous devez impérativement justifier d’une première expérience de minimum 4 ans en assurances de personnes Cibles : chef d’entreprise, TNS, Profession libérale, artisan, commerçant, TPE, PME Compétences Requises : Réaliser un audit complet de la situation de votre client et de sa couverture assurancielle Préconiser des solutions sur-mesure 11 03 2021  COURTIER EPARGNE ET PROTECTION SOCIALE MEURTHE 55 H/F  Autre N.C. K €  Ref : NAT/10244/42869  CCLD  Entreprise Chez CCLD, cabinet de recrutement, spécialiste des fonctions commerciales, recrute pour le Groupe SOFRACO…. CCLD Recrutement"
6,Courtier en prêt immobilier (H/F),CREDISSIMMO,"Créée en 2004, la société CREDISSIMMO (en pleine expansion), a su développer un concept et un savoir-faire pour s’inscrire aujourd’hui comme un acteur incontournable du courtage en crédits immobiliers et professionnels.  La qualité du réseau se joue pour Credissimmo au niveau de la qualité de ses nombreux partenaires bancaires.  D'un accompagnement et des formations pour mettre tout en œuvre votre réussite.  Toutes les agences sont tenues par des professionnels aguerris du secteur.  Nos Agences en IDF :  75  PARIS 16  78  FLINS SUR SEINE  NEAUPHLE LE CHATEAU  RAMBOUILLET  SAINT GERMAIN EN LAYE  VERSAILLES  92  ASNIERES SUR SEINE  BOURG LA REINE  CLICHY  NANTERRE  SAINT CLOUD  95  MONTMORENCY  HERBLAY  L’ISLE ADAM  PONTOISE  SANNOIS  Statut indépendant Rémunération : A la commission, motivante et évolutive  Être référent(e) chez CREDISSIMMO c 'est :  STATUT D'INDEPENDANT Une gestion de mon planning. Des formations complètes en fonction de la réglementation. Des services pour m’assister et me former. Des outils innovants pour faciliter mon développement commercial. Un accompagnement personnalisé par mon référent d'agence ... Vous voulez occuper un poste à responsabilité et à forte rémunération en fonctions de vos résultats et votre ambition ?  Vous souhaitez intégrer un groupe en plein développement avec des perspectives d’évolution ?  Statut indépendant Rémunération : A la commission, motivante et évolutive  Salaire : variable. Le salaire d'un courtier se situe entre 2 500 euros et 15 000 euros/mois et plus en fonction de l’expérience.  Manager les équipes  Accompagner les équipes  Développer le secteur  Développer les partenariats locaux  Fidéliser, entretenir et développer un réseau d’apporteurs d’affaire composé d’agents immobiliers, de constructeurs et promoteurs, de notaires ;  Prendre en charge les demandes de prospects en recherche d’une solution de financement en crédit immobilier et rechercher de nouveaux clients ;  Conseiller et accompagner vos clients, de la recherche de financement jusqu’à la concrétisation de leur projet ;  Rechercher et négocier les meilleures conditions auprès de nos partenaires bancaires ;  Gérer le suivi commercial de votre portefeuille-clients jusqu’à la signature chez le notaire.  Vos avantages :  Nous vous accompagnons dans le but de vous aider à performer et monter en compétences avec notre concept et des formations subventionnées.  Formation Habilitante et régulière (Statut réglementé IOBSP, formation sur diverses thématiques)  Accompagnement terrain et juridique – Outils informatiques performants  Vous avez :  L’appétence pour piloter l’animation et le développement de vos équipes vers des enjeux forts  - La fibre commerciale avec une expérience dans le monde du courtage en crédit immobilier, banque, immobilier, assurance ou commerce.  - Un naturel dynamique, un goût du défi prononcé, mais aussi une capacité d'écoute.  - L'envie, l'envie de réussir et de vous épanouir  Contactez-nous Flatchr"
7,Courtier conseil crédit immobilier F/H,Ace Credit,"Ace Crédit est un acteur de référence dans le courtage en crédit au service du patrimoine immobilier. Fondée en 1995 la marque est précurseur sur son secteur d’activité. Elle est aujourd’hui présente sur l’ensemble du territoire au travers de ses 85 agences. Au fil des années, elle a su capitaliser sur le savoir-faire acquis pour accompagner toutes les typologies de projets en proposant le service gagnant ! Ses experts en financement et assurance dédiée, offrent une expérience premium aux personnes qui souhaitent utiliser le levier du financement pour se construire un patrimoine immobilier, le développer ou le protéger. Ace Crédit est une marque de Compagnie Européenne de Crédit. Vous êtes passionné par l’immobilier et plus spécifiquement le financement ? Rejoignez une marque qui sait faire la différence ! Dans le cadre de son développement, l'agence de XXXX recherche un(e) courtier en crédit immobilier - statut mandataire (MIOBSP). Rattaché à l'agence, vos missions sont les suivantes : - Prospecter, développer et fidéliser un réseau d’apporteurs d’affaires composé d’agents immobiliers, de constructeurs et promoteurs, de notaires et de conseils en gestion de patrimoine - Prendre en charge les demandes de prospects en recherche d’une solution de financement en crédit immobilier et rechercher de nouveaux clients - Conseiller et accompagner vos clients, de la recherche de financement jusqu’à la concrétisation de leur projet - Rechercher et négocier les meilleures conditions auprès de nos partenaires bancaires - Gérer le suivi commercial de votre portefeuille-clients jusqu’à la signature chez le notaire Vous avez le sens du détail et savez que chaque attention dans une relation commerciale peut faire la différence. Si la perfection n’est pas de ce monde, elle constitue chez vous un objectif et vous mettez tout en œuvre pour répondre aux attentes de toutes les typologies de clients, quel que soit leur projet. Votre curiosité naturelle pour l’économie et le patrimoine au sens large seront vos principaux atouts pour conseiller nos clients, souhaitant investir dans l’immobilier. Vos proches disent de vous que vous avez une importante capacité d’écoute et un fort sens de l’esthétique, que vous vous plaisez à déployer en toute situation (si, si un montage financier peut être beau). Vous bénéficiez d'une expérience commerciale dans la vente ou le conseil en produits financiers et/ou immobiliers, de plus vous aimez le contact et travailler en équipe tout en étant assez autonome. Vos qualités relationnelles et vos facultés d'adaptation seront les atouts essentiels de votre réussite auprès d'un réseau de prescripteurs et de clients en recherche de financement que vous serez chargé de développer après avoir reçu une formation ""maison"" de plusieurs semaines. La rémunération très motivante saura satisfaire les meilleurs ! BAC+3/4 We Recruit"
8,(H/F) COURTIER EN PRETS IMMOBILIERS,Supplay,"Description du poste :  Notre client est un cabinet de courtage indépendant présent sur Dijon depuis 10 ans. Spécialiste du courtage en prêt immobilier, avec une équipe de 12 personnes, cette entreprise poursuit son développement et recrute différents profils. Nous recherchons des courtiers H/F en prêts immobiliers en CDI à pourvoir selon vos disponibilités. Le métier de courtier en prêts immobiliers c'est 3 missions principales: - Conseiller vos clients en leur apportant des solutions de financement, les accompagner tout au long de leur projet et instaurer une relation de confiance et de bienveillance. - Rechercher et négocier des conditions tarifaires attractives auprès des réseaux bancaires pour permettre à vos clients de concrétiser leur acquisition. - enfin, pour obtenir de nouveaux clients et négocier auprès des banques, il faut développer et entretenir votre réseau d'apporteurs d'affaires, de prescripteurs et partenaires bancaires ( agents immobiliers, notaires, conseillers clientèles...)  Pour être courtier, la formation habilitante IOBSP est obligatoire. Vous bénéficiez donc d'un parcours d'intégration complet et de cette formation de 150H financée par l'entreprise si vous ne l'avez pas encore!  La rémunération est composée d'un fixe + commissions non plafonnées + challenges commerciaux réguliers avec cadeaux. Package ordinateur, téléphone, mutuelle, épargne salariale.  Alors si vous aimez conseiller, accompagner, satisfaire vos clients, négocier et distribuer des cartes de visites dès que l'opportunité s'en présente, n'hésitez pas et postulez à cette offre!!  Description du profil :  Profil issu d'une formation commerciale, première expérience réussie. Au delà du profil, c'est surtout votre envie de travailler en équipe, d'accompagner les clients à réaliser leur projet de vie, votre rigueur, votre excellent relationnel et votre savoir être qui feront la différence.  Description de l'entreprise :  ""Acteur majeur dans le secteur de l'intérim et du recrutement, Supplay poursuit sa croissance en gardant une culture d'entreprise fondée sur le respect et l'exigence. Chaque jour, nous concilions les attentes de nos clients à celles de nos collaborateurs intérimaires avec agilité et les accompagnons dans leurs recrutements. Supplay, est la première entreprise de travail temporaire à être évaluée ""exemplaire "" pour sa politique RSE 26000 par AFNOR certification."" Talentplug"
9,Courtier Crédit Immobilier F/H,Empruntis L'agence,"Empruntis l'agence est un réseau national de chefs d'entreprise en franchises spécialisé dans le crédit immobilier et l'assurance de financement.  Composé de plus de 150 agences présentes partout en France, le réseau accompagne l'ensemble des projets nécessitant le recours au crédit. A l'écoute dès le démarrage du projet, ils sont en mesure de le sécuriser grâce à l'expérience et l'engagement de chefs d'entreprise qui mettent tout en œuvre pour le faire aboutir dans les meilleures conditions. Que le projet soit simple ou complexe, il est unique.  Leur savoir-faire est celui d'artisans : ils confectionnent des solutions sur-mesure répondant aux attentes et besoins de chaque profil d'emprunteur. Ainsi ce sont des milliers de ménages accompagnés par la marque depuis sa création. L'expérience client que proposent ces acteurs engagés est rythmée par la pédagogie, la transparence et la rassurance.  Empruntis l'agence est le seul réseau de courtage à garantir l'obtention du meilleur taux grâce à son exclusivité : la garantie du meilleur taux. La marque a reçu le label Capital « meilleures enseignes » 2019 dans sa catégorie.  Empruntis l'agence est une marque de Compagnie Européenne de Crédit.  Description du poste  Pour renforcer son équipe, l'agence de Dunkerque recherche un Courtier en crédit - statut mandataire - dont les missions sont les suivantes : Prospecter, fidéliser et développer un réseau d'apporteurs d'affaire composé d'agents immobiliers, de constructeurs et promoteurs, de notaires; Prendre en charge les demandes de prospects en recherche d'une solution de financement en crédit immobilier et rechercher de nouveaux clients ; Conseiller et accompagner vos clients, de la recherche de financement jusqu'à la concrétisation de leur projet ; Rechercher et négocier les meilleures conditions auprès de nos partenaires bancaires ; Gérer le suivi commercial de votre portefeuille-clients jusqu'à la signature chez le notaire. Profil recherché  Vous souhaitez donner du sens à votre engagement professionnel ? Vous voulez exercer un métier à la croisée des chemins entre l'expertise et la pédagogie ? Rejoignez Empruntis l'agence, le réseau de courtiers experts qui donne de l'âme à la recherche de financement !  Vous avez une première expérience dans le financement ou êtes passionné par les projets immobiliers. Vous aimez créer du lien avec vos clients, et développer une approche très personnalisée afin qu'ils se sentent rassurer. Vous avez à cœur d'être présent à chaque étape, pour construire la relation et façonner la solution qui conviendra à vos clients. La pédagogie est une de vos forces (parfois vos proches vous disent que vous auriez pu être prof…) et vous savez capitaliser sur votre expertise pour démontrer aux clients combien ils ont bien fait de vous confier leur projet.  Pour vous, conseiller n'est pas antinomique avec vendre, bien au contraire.  Vous êtes adepte des réseaux professionnels (réels ou virtuels) pour créer autour de vous un écosystème favorable au développement de votre business.  Réf: 989b26fb-50df-4f57-2b18-08d89dac26c9  Je postule à cette offre  Courtier Crédit Immobilier F/H  Indépendant  Temps plein  Dunkerque  Civilité *  Madame  Monsieur  Nom *  Prénom *  E-mail *  Numéro de téléphone *  Disponibilité  Attentes salariales (brut/an)  CV *  Choisir un fichier  Format: .PDF, .DOCX, .DOC, .RTF, .ODT, .JPG, .TXT. Poids max. : 2 Mo.  J'accepte que l'entreprise Empruntis L’agence conserve mes données personnelles pendant une durée de 2 ans afin d'être recontacté(e) pour de nouvelles opportunités Empruntis L'agence"
