,title,company,salary,summary
0,Alternance (1 ou 2 ans) Designer d’interactions – Paris,BPCE SA,,"Description de l'entreprise Le Groupe BPCE, avec son modèle de banque coopérative universelle, représenté par 9 millions de sociétaires, est le deuxième acteur bancaire en France. Avec 105 000 collaborateurs, il est au service de 30 millions de clients dans le monde, particuliers, professionnels, entreprises, investisseurs et collectivités locales. Il est présent dans la banque de proximité et l’assurance en France avec ses deux grands réseaux Banque Populaire et Caisse d’Epargne ainsi que la Banque Palatine. Il déploie également, avec Natixis, les métiers mondiaux de gestion d’actifs, de banque de grande clientèle et de paiements. Détenue à parité par les deux réseaux, BPCE est en charge de la stratégie, de la coordination et de l’animation du groupe, qu’elle représente notamment auprès du régulateur. Les expertises de ses équipes sont mises au service du groupe, de ses entreprises et de leurs clients. Poste et missions Le pôle UX Design de la Direction du Digital et de l’Expérience Client du Groupe BPCE, assure la cohérence et la qualité de l’expérience utilisateur digitale pour les clients et les collaborateurs du Groupe : En intervenant de manière opérationnelle sur la majorité des projets portés par le Pôle Digital. En réalisation le Design System du Groupe (Charte digitale multimarques qui spécifique les principes de l’expérience utilisateur et mets à disposition des projets de librairies de composants d’interface et d’assets graphiques). En animant la communauté des Experts UX Design pour diffuser les méthodes de conception centrées Utilisateurs et améliorer la performance des outils digitaux du Groupe.  Sous la responsabilité du Head of Design, et avec le support des Directeurs Artistiques, les Lead UX Designers de l’Equipe UX digitale du Groupe, et en interaction directe avec les équipes des Projets digitaux, product owner et développeurs :  Conception des produits digitaux du Groupe Recueillir, analyser, comprendre et interpréter les briefs des parties prenantes du métier Synthétiser les besoins du métier, contraintes techniques et besoins utilisateurs en solutions interactives simples et efficaces Réaliser des storyboards, maquettes d’interfaces, prototypes interactifs Maintenir la cohérence transverse des parcours digitaux en exploitant les fondamentaux et les composants du Design System du Groupe BPCE Contribuer à l’organisation et au suivi de tests utilisateurs permettant de valider les partis-pris de design. Livrer des spécifications fonctionnelles détaillées et assets graphiques pour les équipes de développement Suivre le développement, participer aux recettes des produits digitaux  Design System du Groupe Produire des icônes, illustrations fixes ou animées, pour enrichir les librairies d’assets graphiques. Contribuer aux spécifications de nouveaux composants ou à leur évolution.  Innovation, visions cibles Matérialiser des parcours digitaux en phase exploratoire via des storyboards, animations, films courts. Contribuer à la veille sur le design d’interactions au sein des industries banque/assurance et au delà. Profil et compétences requises Vous préparez un diplôme de niveau Licence, spécialisé dans le Design d’interactif. Vous possédez une très bonne culture digitale, êtes créatif tout en sachant respecter un cadre. Vous savez travailler dans un mode projet et appréciez le travail en équipe. Vous portez un intérêt pour les services digitaux à destination du grand public. Vous maîtrisez les logiciels suivants : SKETCH, FIGMA, ainsi que la Suite Adobe.  Vous vous reconnaissez ? Alors n’hésitez pas à postuler et rejoignez-nous ! Vous bénéficierez d’un accompagnement dédié pour vous donner toutes les chances de réussir cette nouvelle mission. Informations complémentaires sur le poste GROUPE BPCE Aujourd'hui - Continuer pour postuler Signaler l'offre"
1,Alternance Chargé d’études – Banque au quotidien Assurance &...,Crédit du Nord,,Pas de description
2,Conseiller commercial Banque/Assurance (F/H),Carrefour,,"Créateur de l'hypermarché et pionnier dans la diversité des services proposés à ses clients, Carrefour se réinvente chaque jour pour permettre à chacun de bénéficier d'une offre e-commerce de référence et de services facilitant pour le quotidien. Porteuse de cette ambition, Carrefour Banque et Assurance innove pour proposer à ses clients des solutions adaptées à leur situation, leurs besoins et leur budget. Carrefour Banque c'est aussi et surtout une approche multicanal avec ses agences partout en France, une plate-forme téléphonique, un site internet et ses applications mobiles pour renforcer sa relation client.  Pour développer ses équipes, Carrefour Banque recherche un :  Conseiller commercial Banque/Assurance (F/H) Vos missions :  Accueillir les clients et procéder à la découverte de leurs motivations, leurs besoins en utilisant toutes les règles de la démarche de vente en vigueur. Vendre les produits financiers définis par l’entreprise, les garanties et les services adaptés aux besoins et au profil des clients, dans une recherche constante de leur satisfaction et dans le respect des procédures d’octroi définies par Carrefour Banque. Aller à la rencontre de la clientèle de l’hypermarché et réaliser du démarchage au sein du Pôle Services. Satisfaire le besoin du client en traitant les réclamations et litiges et/ou en orientant le client vers les services compétents de l’entreprise.  Votre profil : Vous êtes diplômé du baccalauréat au minimum Vous avez une expérience dans la vente et la négociation Vous avez un goût pour le challenge et l'esprit de conquête Vous appréciez travailler en équipe et vous avez le sens de la relation clients  Les avantages Carrefour :  Une rémunération variable sur objectif (déplafonnée) Perspectives d'évolution sur des postes de manager au sein de Carrefour Banque et Assurance (également au sein du Groupe Carrefour) Une rémunération sur 13 mois Intéressement + participation Mutuelle/prévoyance Offres CE 6 semaines de Congés Payés 10 % de remise sur achat il y a 2 jours - Continuer pour postuler Signaler l'offre"
3,Auditeur Financier Débutant (H/F) - Banque / Assurance - Par...,EY,,"Au sein du département FSO (Financial Services Office), plus de 1 000 collaborateurs en France combinent leurs expertises métiers, fonctionnelles et technologiques, afin de répondre efficacement aux besoins de nos clients en gestion d’actifs, banque ou assurance. Dans un contexte en perpétuel changement et hautement réglementé, nous apportons ainsi à nos clients des conseils pointus et de haut niveau pour les aider à gérer les incertitudes et les opportunités de ce secteur. EY poursuit sa stratégie et conforte sa position de leader dans l’audit des grands comptes en étant le numéro 1 sur le commissariat aux comptes du CAC 40 et du SBF 120.  Dans ce contexte, nous recrutons des Auditeurs Financiers Débutants H/F en CDI à partir de septembre 2021.  Vos missions  Au sein d'une équipe structurée : Vous intervenez sur des missions de commissariat aux comptes ou sur des missions financières à forte valeur ajoutée (revue de business plan, revue des contrats à long terme, opérations de transactions…), Vous mettez en œuvre notre méthodologie d'audit (analyse de l'environnement et de la stratégie de l'entreprise, évaluation des risques, revue du cadre du contrôle interne, audit des états financiers et revue qualitative de l'information financière …) et portez une attention particulière à la communication financière de ces groupes dans plusieurs référentiels (IFRS et US Gaap notamment), Vous êtes amené.e à intervenir sur un ensemble de problématiques et d'enjeux financiers afin d'apporter à nos clients et à leurs interlocuteurs (actionnaires, banquiers…) l'assurance et la fiabilité nécessaires à leur progression.  Profil De formation supérieure (bac+5) de haut niveau (écoles de commerce, d'ingénieurs ou université), vous êtes jeune diplômé.e et vous maîtrisez l'anglais dans un environnement professionnel. Doté.e d'un excellent sens relationnel, vous savez allier le sens de l'analyse et de la synthèse, rigueur et méthode. Curieux.se, dynamique, autonome, vous faites preuve d'esprit d'équipe et de leadership. Vous avez également déjà démontré un intérêt pour notre métier au travers de stages que vous avez effectués en cabinet d'audit ou en entreprise du secteur dans des services financiers, dans un contexte international.  EY rassemble aujourd’hui 284 000 associés et collaborateurs à travers le monde, dans plus de 152 pays. Grâce à ce réseau, dont le niveau d’intégration et l’ampleur internationale sont gages d’une même excellence partout dans le monde, EY renforce sa position de leader mondial de l’Audit, du Conseil, des Transactions, de la Fiscalité et du Droit. Notre expertise et la qualité de nos services contribuent à créer les conditions de la confiance dans l’économie et les marchés financiers. Nous faisons grandir des leaders afin, qu’ensemble, ils accompagnent les organisations vers une croissance pérenne. Et notre engagement envers nos équipes commence avec cette promesse : quel que soit votre parcours avec nous, l’expérience EY dure toute une vie. Vivez l'expérience EY, rejoignez-nous. Dans le cadre de sa politique Diversité, EY étudie, à compétences égales, toutes candidatures dont celles de personnes en situation de handicap. Il y a plus de 30 jours - Continuer pour postuler Signaler l'offre"
4,Alternance (1 an) – Gestionnaire Back-Office – Caen,BPCE SA,,"Description de l'entreprise Le Groupe BPCE, avec son modèle de banque coopérative universelle, représenté par 9 millions de sociétaires, est le deuxième acteur bancaire en France. Avec 105 000 collaborateurs, il est au service de 30 millions de clients dans le monde, particuliers, professionnels, entreprises, investisseurs et collectivités locales. Il est présent dans la banque de proximité et l’assurance en France avec ses deux grands réseaux Banque Populaire et Caisse d’Epargne ainsi que la Banque Palatine. Il déploie également, avec Natixis, les métiers mondiaux de gestion d’actifs, de banque de grande clientèle et de paiements. Détenue à parité par les deux réseaux, BPCE est en charge de la stratégie, de la coordination et de l’animation du groupe, qu’elle représente notamment auprès du régulateur. Les expertises de ses équipes sont mises au service du groupe, de ses entreprises et de leurs clients. EuroTitres assure pour le compte d’une clientèle diversifiée (établissements du Groupe BPCE, banques de gestion privée, sociétés financières, sociétés de gestion de portefeuille de clientèle privée etc.) la conservation des comptes titres et la gestion des opérations réalisées par leurs clients particuliers : achat en bourse, souscription d’OPC, paiement des dividendes, imprimés fiscaux, opérations sur titres…Notre expertise s’étend sur toute la chaîne de valeur du back, middle et front office avec des prestations réalisées en marque blanche pour ses clients : un système d’information évolutif, en architecture ouverte et multi établissements, des outils de distribution web pour les réseaux et une solution de Bourse en ligne pour les clients finaux. Poste et missions En tant que Gestionnaire Back-Office, vous avez pour rôle d’assurer le traitement des opérations financières (Titres) confiées au back-office, dans le respect de la réglementation, des procédures internes et des bonnes pratiques en matière de risques et qualité. Vos missions seront les suivantes : Traiter les opérations financières confiées directement au back-office : Contrôler la validité / conformité des instructions et des documents Saisir des données à partir de documents reçus dans l’applicatif dédié (carnets d’ordres, coupons, …) Vérifier le bon enregistrement des opérations saisies Assurer la traçabilité des opérations saisies et des contrôles effectués Assurer les vérifications/contrôles du bon déroulement des traitements des opérations dans le respect des procédures existantes et de la réglementation Gérer le classement et l’archivage  Assurer le suivi opérationnel de l’activité : Répondre aux demandes d’informations et/ou réclamations des clients internes et éventuellement externes sur les opérations Contribuer à la mise à jour des modes opératoires et procédures Contribuer aux contrôles et à la maîtrise du risque opérationnel : Alerter le responsable sur les risques décelés (conformité, validité, situations atypiques) Profil et compétences requises Vous préparez une Licence, dans le domaine Banque/Assurance/Finance. Dans l’idéal, vous avez une première expérience en stage ou alternance sur un poste similaire. Vous êtes reconnus pour votre efficacité et savez faire preuve d’organisation et de rigueur dans votre travail. Vous recherchez à travailler en équipe et souhaitez mettre à profit votre excellent relationnel. Vous maîtrisez le Pack Office (appétence pour Excel et Access). Un niveau d’anglais opérationnel serait fortement apprécié.  Vous vous reconnaissez ? Alors n’hésitez pas à postuler et rejoignez-nous ! Vous bénéficierez d’un accompagnement dédié pour vous donner toutes les chances de réussir cette nouvelle mission. Informations complémentaires sur le poste GROUPE BPCE il y a 2 jours - Continuer pour postuler Signaler l'offre"
5,AZ Banque - stage - Pôle Titres,Allianz France,,"Allianz Banque, filiale du Groupe Allianz en France, est un assura-banquier orienté vers le soutien du développement d’Allianz France, en particulier en direction de la cible prioritaire que représente la clientèle patrimoniale. Cette activité s’exerce dans le cadre d’Allianz Patrimoine, direction chargée de coordonner la réponse globale d’Allianz France aux problématiques spécifiques de cette clientèle.  Rejoignez la Direction des Métiers Bancaires recentrée sur les activités de pilotage opérationnel des produits bancaires et de relation clients, et plus particulièrement son pôle Titres, pour prendre part à l’élaboration du développement de l’activité Titres.  A ce titre vos missions seront : Vous contribuerez au développement et à la promotion des produits et service financiers. Vous participerez à des projets opérationnels, réglementaires et commerciaux. Vous assurerez des missions transverses tel que : optimisation des tableaux de suivis/contrôle, préparation du comité titres, préparation support de formation/présentation. Les missions proposées dépendront principalement des besoins de l'activité Titres.  Atouts du poste: Vous serez rattaché(e) directement à la Business Owner Titres. Le pôle titre est un service transverse qui est en lien avec les différents métiers d'Allianz Banque ( La conformité , la Gestion , les Risques, le Centre Relation Bancaire, …) Vous préparez un diplôme bac +4/5 spécialisation Finance /Banque /Assurance. Vous avez une bonne maîtrise du Pack Office notamment Excel et PowerPoint. Vous êtes volontaire, curieux(se) et proactif(ve). Vous êtes capable de travailler en équipe, tout en sachant avancer sur vos missions en autonomie. Vous avez une bonne connaissance de l’environnement financier Allianz Group il y a 3 jours - Continuer pour postuler Signaler l'offre"
6,Consultant - Stratégie et Organisation,Sainoo,,"Performance Management Partner (PMP Consulting) cabinet international de conseil en stratégie, développement et transformation au service des dirigeants est un partenaire de référence pour les entreprises souhaitant améliorer durablement leur performance stratégique et opérationnelle. PMP accompagne les directions générales de la définition des orientations stratégiques à la mise en œuvre opérationnelle des projets. Les principales problématiques que nous traitons couvrent : La stratégie et l’innovation, L’optimisation des processus et des organisations, La valorisation du capital client (fidélisation, service clients, croissance du revenu), La performance de la gestion (pilotage, évaluation économique, organisation des fonctions supports), La définition et la mise en œuvre de plans de performance, La définition et la mise en œuvre de la stratégie digitale et du e-commerce. Poste et missions: PMP recherche de nouveaux collaborateurs afin de soutenir sa croissance dans nos expertises sectorielles : Télécom/Média/Tech, Transport/Mobilité, Tourisme, Energie et Banque/Assurance. Vous interviendrez auprès des Directions Générales d’acteurs de renom sur des problématiques de : Stratégie et Innovation : élaboration de plans stratégiques, due-diligence, Marketing et Distribution : élaboration et mise en œuvre de plans marketing, revue de la stratégie de distribution, Transformation et Performance : définition et mise en œuvre de plans d’amélioration de performance Digital et E-commerce : définition et mise en œuvre de stratégies digitales et e-commerce  Nous rejoindre Vous êtes consultant junior, diplômé d’une grande école d’ingénieur ou de commerce, et vous souhaitez développer vos capacités d'analyse et de synthèse. Vous disposez de 1 à 3 ans d'expériences. Vous souhaitez intégrer des équipes à taille humaine favorisant la proximité et la transmission des savoirs ? Vous souhaitez entreprendre et contribuer au développement d’un cabinet en pleine croissance ? Vous recherchez un environnement de travail stimulant et propice à l'épanouissement personnel ? Il y a plus de 30 jours Signaler l'offre"
7,Conseiller Clientèle PREMIUM - Alfortville (94)-(H/F),Société Générale,,"Vos missions au quotidien Accompagner Sarah et Louis pour le financement de leur maison, aider Isabelle à se constituer une épargne financière … Au quotidien comme dans les moments clés de la vie, vous accompagnez vos clients dans le développement de leurs projets. Concrètement, vous serez amené(e) à : Gérer une clientèle avec des problématiques patrimoniales Accompagner et conseiller vos clients en leur proposant des produits et placements adaptés (prêt immobilier, assurance, épargne, etc.) Promouvoir nos outils et services digitaux Analyser leur situation financière et les risques liés aux opérations Travailler en synergie avec des Conseiller(e)s spécialisé(e)s pour répondre aux demandes spécifiques (gestion de patrimoine, activité commerciale, etc.) et avec nos autres services (Centre de Relation Client, Banque Privée, Centre de Service, etc.) Participer au développement commercial de votre agence et accroître votre portefeuille clients Et si c’était vous ? Vous êtes diplômé(e) d’un Bac +5 spécialité banque, assurance, finance ou commerce/vente, et justifiez de moins de 2 ans d’expérience commerciale (stage, alternance, premier emploi). Débutant(e), vous êtes diplômé(e) d’un Bac +5 spécialité banque, assurance, finance, gestion de patrimoine, et justifiez de moins de 2 ans d’expérience professionnelle (stage, alternance, premier emploi) sur un poste similaire. Vous avez un bon relationnel, le goût du contact et le sens de l’écoute Vous débordez d’énergie et d’idées pour apporter la meilleure solution à vos clients et pour développer l’agence Dynamique et positif(ve), vous êtes orienté(e) résultats et savez convaincre Vous connaissez les bases financières, juridiques et fiscales liées à votre activité Dans les 6 mois suivants votre prise de poste, vous serez amené(e) à passer la certification AMF. Plus qu’un poste, un tremplin Le job de Conseiller(e) Clientèle Premium est une fonction clé pour découvrir notre réseau Banque de Détail. Grâce à nos programmes de formation personnalisés et à la mobilité interne, vous pourrez évoluer sur des postes de Conseiller(e) en Gestion de Patrimoine ou Adjoint(e) Responsable d’agence. Pourquoi nous choisir ? Chez Société Générale, nous sommes convaincus que les personnes sont moteurs du changement, et que le monde de demain sera fait de toutes leurs initiatives, des plus petites aux plus ambitieuses. Que vous nous rejoigniez pour quelques mois, quelques années ou toute votre carrière, ensemble nous avons les moyens d’avoir un impact positif sur l’avenir. Créer, oser, innover, entreprendre font partie de notre ADN. Si vous aussi vous souhaitez être dans l’action, évoluer dans un environnement stimulant et bienveillant, vous sentir utile au quotidien et développer ou renforcer votre expertise, nous sommes faits pour nous rencontrer ! Vous hésitez encore ? Sachez que nos collaborateurs peuvent s’engager quelques jours par an pour des actions de solidarité sur leur temps de travail : parrainer des personnes en difficulté dans leur orientation ou leur insertion professionnelle, participer à l’éducation financière de jeunes en apprentissage ou encore partager leurs compétences avec une association. Les formats d’engagement sont multiples. Nous sommes un employeur garantissant l'égalité des chances et nous sommes fiers de faire de la diversité une force pour notre entreprise. Le groupe s’engage à reconnaître et à promouvoir tous les talents, quels que soient leurs croyances, âge, handicap, parentalité, origine ethnique, nationalité, identité sexuelle ou de genre, orientation sexuelle, appartenance à une organisation politique, religieuse, syndicale ou à une minorité, ou toute autre caractéristique qui pourrait faire l’objet d’une discrimination. Référence: 21000B9C Entité: Banque de détail France Date de début: immediat Date de publication: 29/04/2021 Societe Generale Aujourd'hui - Continuer pour postuler Signaler l'offre"
8,Analyste junior Transaction Services Banque/Assurance I CDI...,PwC,,"Line of Service Advisory Industry/Sector Not Applicable Specialism Financial Due Diligence Management Level Associate Job Description & Summary Le conseil en transactions chez PwC, c’est plusieurs centaines de projets de FUSAC par an. Et plutôt de grande envergure et à dimension internationale. Si on est leader en France, c’est lié au très haut niveau de technicité de nos 350 collaborateurs et à leur ouverture sur le monde (et on en est très fier). Bienvenue dans un monde d’expériences ! Ce que vous pouvez attendre de la mission : Participer à des missions de due diligence d'acquisition: analyse de la performance historique et future d'une entreprise cible, identification des risques pouvant affecter sa valorisation ou la structuration de la transaction. Participer à des missions de vendor due diligence: accompagnement des investisseurs potentiels via une analyse poussée pour apprécier les risques et enjeux associés à une société cible. Participer à des missions de vendor assistance Au quotidien vous serez amené à : Analyser le modèle économique et les performances historiques et futures de la cible Maîtriser la qualité de l’information financière pour identifier les zones de risques Maîtriser les business drivers de la cible et anticiper les points clés de la transaction Identifier les enjeux de valorisation et les éventuels sujets de négociation auxquels devra s’attendre votre client: éléments non récurrents de profitabilité, passifs à caractère de dette etc. Participer à l’élaboration du rapport de due diligence Ce poste s’inscrit dans le cadre de EDGE, notre Graduate Program Transactions ! Développé pour les jeunes diplômés talentueux et agiles, EDGE est un programme européen en 3 ans qui vous permettra d’acquérir une expertise en Transaction Services tout en vous exposant à d’autres métiers de la Transaction via deux rotations de 6 mois en Restructuring, Corporate Finance et/ou Valuation and Business Modelling. Ce que nous attendons de vous : Diplômé d’une grande école de commerce ou d’ingénieur Une expérience significative à travers vos différents stages dans le secteur bancaire ou le secteur de l’assurance (banque de détail, banque d’investissement et de marché, grands groupes d’assurances et de courtage, mutuelles…) Niveau d’anglais courant Dynamique et rigoureux, vous également faire preuve d’agilité Excellentes capacités analytiques et sens du résultat Goût du travail d’équipe et sens du service client Education (if blank, degree and/or field of study not specified) Degrees/Field of Study required: Degrees/Field of Study preferred: Certifications (if blank, certifications not specified) Desired Languages (If blank, desired languages not specified) Travel Requirements Not Specified Available for Work Visa Sponsorship? Yes Government Clearance Required? No Job Posting End Date il y a 10 jours - Continuer pour postuler Signaler l'offre"
9,"Stagiaire FSI & Fintech Banque, Assurance et Protection Soci...",Deloitte,,"Stage long (6 mois) à pourvoir dès que possible  Avec près de 1 400 consultants en France et un réseau mondial de 60 000 consultants, l'activité Conseil de Deloitte accompagne les organisations publiques et privées dans leurs projets de transformation et de recherche de la performance. Face aux enjeux stratégiques des métiers ou des fonctions, les consultants aident à concevoir, à mettre en oeuvre et à conduire le changement des organisations, des processus et des systèmes d'information.  Pour faire face à son fort développement, l'activité Conseil de Deloitte recrute des consultants désireux d'intégrer une équipe intervenant dans des environnements motivants auprès d'entreprises prestigieuses.  Au sein de cette activité, l'équipe Financial Services Industry - Fintech (FSI Fintech) accompagne ses clients dans le secteur des institutions financières : banque, assurance, prévoyance.  Dans ce cadre, vous interviendrez auprès de nos clients de l'ensemble du secteur de la banque, de l'assurance et de la protection sociale. Vous aurez pour objectif de les assister dans la mise en oeuvre de leur stratégie : Déclinaison opérationnelle de la stratégie (études de positionnement, business plans sur de nouvelles activités ou de nouvelles offres, schémas directeurs d'organisation ou de systèmes d'information); Evolution de l'organisation et des processus (diagnostic d'organisation, refonte et optimisation de processus, digitalisation et automatisation / robotisation des processus, conduite du changement) ; Evolution des systèmes d'information (assistance au choix de solution, élaboration des spécifications fonctionnelles, optimisation du portefeuille de projet) ; Gestion de grands projets Agile, Cycle en V ou Hybrides (gestion des risques, suivi du budget et des ressources, gestion de la cohérence fonctionnelle des projets). Vous serez formé(e) à nos méthodologies et aurez l'opportunité de travailler au sein d'équipes pluridisciplinaires.  Votre parcours : En rejoignant Deloitte, vous aurez l'opportunité de développer un set de compétences, partagées avec notre réseau international, et structurées autour des dimensions suivantes : leadership, métier et spécialité. Grâce aux missions variées auxquelles vous participerez et au programme de formations proposé, vous pourrez renforcer progressivement ces compétences, en acquérir de nouvelles et progresser ainsi au sein de notre firme.  Votre Profil Etudiant(e) de formation Bac +5 (grandes écoles de commerce, d'ingénieurs ou d'une université), vous souhaitez valoriser des stages effectués soit au sein du pôle conseil d'un cabinet soit au sein d'une banque, d'une mutuelle, d'un groupe de protection sociale ou dans une entreprise d'assurance. Vous avez un goût prononcé pour le secteur financier et ses problématiques. Doté(e) d'un excellent relationnel, vous êtes organisé(e), disponible et possédez de réelles aptitudes et une forte appétence à collaborer en équipe. Vous faites preuve de qualité d'adaptation, de rigueur et de proactivité. Vous avez une grande aisance de la communication orale et écrite alliée à un très bon sens de la formalisation. Vous êtes mobile en France et à l'étranger. Vous maîtrisez les outils bureautiques (Word, Excel, Powerpoint, Visio). Vous avez une pratique courante de l'anglais. Poste basé à Paris La Défense. il y a 9 jours - Continuer pour postuler Signaler l'offre"
