,title,description
0,Gestion en banque et assurance (H/F),"SOLUTION PROFIL  Cabinet de recrutement national.   Nous accompagnons nos clients dans leurs recherches et validations de candidatures.SOLUTION PROFIL recrute pour l'un de ses clients, cabinet d'Experts-Comptables, de conseil et commissariat aux comptes à taille humaine.   Missions proposées :   - Maîtrisant parfaitement les techniques de révision et d'audit, vous gérez votre propre portefeuille de clients principalement en CAC en CO-CAC sur une clientèle de TPE/PME de dimension régionale et de secteurs d'activité variés. - Vous pourrez également être en mesure de réaliser des missions diverses de conseil (audit d'acquisition, consolidation, commissariat aux apports et à la fusion). - Vous êtes en charge d'une équipe et vous avez notamment pour mission la supervision des travaux, des plannings et de la formation des Assistants (équipe de 3 personnes). - Rattaché directement aux Associés, vous rendez compte et préparez les entretiens de synthèse avec les clients sur la base de diaporamas POWERPOINT. - CAC (60%) Missions exceptionnelles (20%) Révision (20%)De formation type ESC ou Bac +5 Master Audit et contrôle, vous justifiez d'une expérience d'au moins 5 ans idéalement en grand cabinet d'audit.  Vous êtes autonome et vous possédez un fort esprit d'analyse et de synthèse.  Formateur et communiquant, vous savez animer une équipe, rédiger et présenter vos conclusions aux clients."
1,Conseiller commercial Banque/Assurance (F/H) (H/F),"Créateur de l'hypermarché et pionnier dans la diversité des services proposés à ses clients, Carrefour se réinvente chaque jour pour permettre à chacun de bénéficier d'une offre e-commerce de référence et de services facilitant pour le quotidien. Porteuse de cette ambition, Carrefour Banque et Assurance innove pour proposer à ses clients des solutions adaptées à leur situation, leurs besoins et leur budget. Carrefour Banque c'est aussi et surtout une approche multicanal avec ses agences partout en France, une plate-forme téléphonique, un site internet et ses applications mobiles pour renforcer sa relation client. Pour développer ses équipes, Carrefour Banque recherche un : Conseillercommercial Banque/Assurance(F/H) Vos missions:- Accueillir les clients et procéder à la découverte de leurs motivations, leurs besoins en utilisant toutes les règles de la démarche de vente en vigueur. - Vendre les produits financiers définis par l'entreprise, les garanties et les services adaptés aux besoins et au profil des clients, dans une recherche constante de leur satisfaction et dans le respect des procédures d'octroi définies par Carrefour Banque. - Aller à la rencontre de la clientèle de l'hypermarché et réaliser du démarchage au sein du Pôle Services. - Satisfaire le besoin du client en traitant les réclamations et litiges et/ou en orientant le client vers les services compétents de l'entreprise. Votre profil:- Vous êtes diplômé du baccalauréat au minimum - Vous avez une expérience dans la vente et la négociation - Vous avez un goût pour le challenge et l'esprit de conquête - Vous appréciez travailler en équipe et vous avez le sens de la relation clients Les avantages Carrefour :- Une rémunération variable sur objectif (déplafonnée) - Perspectives d'évolution sur des postes de manager au sein de Carrefour Banque et Assurance (également au sein du Groupe Carrefour) - Une rémunération sur 13 mois - Intéressement + participation - Mutuelle/prévoyance - Offres CE - 6 semaines de Congés Payés - 10 % de remise sur achat"
2,Chargé(e) d'affaires Senior Transaction Services -Secteur Banque/Assurance F/H - Commercial (H/F),"Descriptif du poste:  En rejoignant le département Financial advisory vous interviendrez dans le cadre d'opérations d'acquisition ou de cession d'entreprises, pour le compte d'institutions financières dans le secteur de l'assurance vie et non-vie en France et à l'international. Vous intégrerez des équipes engagées sur différentes typologies de missions en coordination avec d'autres départements de Deloitte (M&A, évaluation, fiscalité, réglementaire, intégration...) : - Due diligence d'acquisition : analyse de la performance historique et future d'une entreprise cible afin d'identifier les risques pouvant affecter sa valorisation ou la structuration de la transaction. - Suivi post-acquisition : mise en oeuvre du contrat d'acquisition et notamment validation du prix d'acquisition final. - Vendor assistance : diagnostic pré-cession et assistance au vendeur d'une entreprise cible tout au long du processus transactionnel (préparation et/ou analyse de l'information financière nécessaire dans le cadre du projet de cession, gestion des demandes d'informations des acheteurs potentiels, négociations). - Vendor due diligence : préparation, à la demande du vendeur, d'un document d'analyse destiné à accompagner les investisseurs potentiels dans leur appréciation des risques et enjeux associés à une société cible.  Au sein d'équipes dynamiques, et d'un environnement de travail favorisant le développement de nos collaborateurs, vous serez amené(e) à : - Acquérir un bon niveau de connaissance sur l'activité de l'institution financière cible et en comprendre les sous-jacents ; - Préparer des analyses financières mettant en valeur les facteurs de performance d'entreprises cibles (bilan, compte de résultat et cash flow - en particulier analyse de l'actif net, de la solvabilité et de la liquidité) ; - Analyser des Business Plans et les principales hypothèses sous-jacentes ; - Identifier et quantifier les effets liés à une éventuelle séparation de l'activité cédée du groupe vendeur et les potentielles synergies dégagées ; - Identifier et présenter aux clients les points clé susceptibles d'affecter le prix de la transaction ; - Participer à la rédaction, le plus souvent en anglais, de sections de rapports de due diligence de grande qualité.  Profil recherché:  - Diplômé(e) d'une grande école de commerce, d'ingénieurs ou d'un 3ème cycle universitaire, vous souhaitez valoriser une expérience de 2 ans minimum (hors stage) dans le domaine comptable et financier, acquise au sein d'une société d'assurance, d'une banque, d'une société de gestion ou d'un grand cabinet d'audit. - Vous êtes à l'aise en comptabilité des assurances ou bancaire et techniques financières et souhaitez élargir votre champ de compétence dans ces domaines tout en intervenant dans le contexte d'opérations de haut de bilan. - Vous faites preuve d'esprit d'analyse, de synthèse et de rigueur. - Vous aimez travailler en équipe et avez le sens du service client. - Vous avez un excellent niveau d'anglais et idéalement parlez couramment une autre langue. - Vous souhaitez évoluer dans un environnement international et profiter d'opportunités d'évolution rapide. - Vous souhaitez contribuer à la rapide croissance de nos activités.  Poste basé à Paris La Défense.  L'Entreprise:  Deloitte fait référence à un ou plusieurs cabinets membres de Deloitte Touche Tohmatsu Limited («DTTL»), son réseau mondial de cabinets membres et leurs entités liées. DTTL (également appelé «Deloitte Global») et chacun de ses cabinets membres sont des entités indépendantes et juridiquement distinctes. DTTL ne fournit pas de services à des clients. P  Deloitte est l'un des principaux cabinets mondiaux de services en audit & assurance, consulting, financial advisory, risk advisory et tax & legal. Avec 312 000 collaborateurs implantés dans 150 pays, Deloitte, depuis plus de 150 ans, a su gagner par sa qualité de service la confiance de ses clients et créer ainsi la différence. Deloitte sert 80% des entreprises du Fortune Global 500®.  Deloitte France regroupe un ensemble de compétences diversifiées pour répondre aux enjeux de ses clients, de toutes tailles et de tous secteurs. Fort des expertises de ses 7000 associés et collaborateurs et d'une offre multidisciplinaire, Deloitte France est un acteur de référence. Soucieux d'avoir un impact positif sur notre société, Deloitte a mis en place un plan d'actions ambitieux en matière de développement durable et d'engagement citoyen."
3,Conseiller Banque/Assurance F/H - Administration des ventes et SAV (H/F),"Descriptif du poste:  Rattaché(e) au Directeur d'Agence, vous développez le portefeuille de votre point de vente et gérez les clients partiuliers associés dont vous êtes l'interlocuteur principal en proposant nos services bancaires et financiers. Au quotidien, vos missions consisteront à: - Accompagner nos clients dans les opérations bancaires courantes - Détecter et répondre à leurs besoins grâce à un conseil approprié ou en orientant vers un de nos spécialistes - Assurer la promotion et la vente de nos produits et nos services - Contribuer au développement de votre agence et à la qualité des services - Etablir une relation étroite avec vos clients, les fidéliser et les conseiller    Profil recherché:  Titulaire d'un bac+2 à bac+5 dans le domaine commercial, banque, assurance, mutuelle,... Vous êtes doté(e) d'un bon relationnel, d'un sens de l'écoute et autonome pour mener à bien les demandes de votre portefeuille clients.    L'Entreprise:  Notre client, La Caisse Régionale du Crédit Agricole de Lorraine, compte plus de 1300 collaborateurs sur l'ensemble du territoire de la Moselle, de la Meuse et de la Meurthe et Moselle au travers de ses 115 points de vente, 9 centres d'affaires, 3 agences entreprises et de son pôle banque privée. Nous recherchons son/sa :   Conseiller Banque/Assurance h/f"
4,Conseiller commercial Banque/Assurance (F/H) (H/F),"Créateur de l'hypermarché et pionnier dans la diversité des services proposés à ses clients, Carrefour se réinvente chaque jour pour permettre à chacun de bénéficier d'une offre e-commerce de référence et de services facilitant pour le quotidien. Porteuse de cette ambition, Carrefour Banque et Assurance innove pour proposer à ses clients des solutions adaptées à leur situation, leurs besoins et leur budget. Carrefour Banque c'est aussi et surtout une approche multicanal avec ses agences partout en France, une plate-forme téléphonique, un site internet et ses applications mobiles pour renforcer sa relation client. Pour développer ses équipes, Carrefour Banque recherche un : Conseillercommercial Banque/Assurance(F/H) Vos missions:- Accueillir les clients et procéder à la découverte de leurs motivations, leurs besoins en utilisant toutes les règles de la démarche de vente en vigueur. - Vendre les produits financiers définis par l'entreprise, les garanties et les services adaptés aux besoins et au profil des clients, dans une recherche constante de leur satisfaction et dans le respect des procédures d'octroi définies par Carrefour Banque. - Aller à la rencontre de la clientèle de l'hypermarché et réaliser du démarchage au sein du Pôle Services. - Satisfaire le besoin du client en traitant les réclamations et litiges et/ou en orientant le client vers les services compétents de l'entreprise. Votre profil:- Vous êtes diplômé du baccalauréat au minimum - Vous avez une expérience dans la vente et la négociation - Vous avez un goût pour le challenge et l'esprit de conquête - Vous appréciez travailler en équipe et vous avez le sens de la relation clients Les avantages Carrefour :- Une rémunération variable sur objectif (déplafonnée) - Perspectives d'évolution sur des postes de manager au sein de Carrefour Banque et Assurance (également au sein du Groupe Carrefour) - Une rémunération sur 13 mois - Intéressement + participation - Mutuelle/prévoyance - Offres CE - 6 semaines de Congés Payés - 10 % de remise sur achat"
5,Conseiller commercial Banque/Assurance (F/H) (H/F),"Créateur de l'hypermarché et pionnier dans la diversité des services proposés à ses clients, Carrefour se réinvente chaque jour pour permettre à chacun de bénéficier d'une offre e-commerce de référence et de services facilitant pour le quotidien. Porteuse de cette ambition, Carrefour Banque et Assurance innove pour proposer à ses clients des solutions adaptées à leur situation, leurs besoins et leur budget. Carrefour Banque c'est aussi et surtout une approche multicanal avec ses agences partout en France, une plate-forme téléphonique, un site internet et ses applications mobiles pour renforcer sa relation client. Pour développer ses équipes, Carrefour Banque recherche un : Conseillercommercial Banque/Assurance(F/H) Vos missions:- Accueillir les clients et procéder à la découverte de leurs motivations, leurs besoins en utilisant toutes les règles de la démarche de vente en vigueur. - Vendre les produits financiers définis par l'entreprise, les garanties et les services adaptés aux besoins et au profil des clients, dans une recherche constante de leur satisfaction et dans le respect des procédures d'octroi définies par Carrefour Banque. - Aller à la rencontre de la clientèle de l'hypermarché et réaliser du démarchage au sein du Pôle Services. - Satisfaire le besoin du client en traitant les réclamations et litiges et/ou en orientant le client vers les services compétents de l'entreprise. Votre profil:- Vous êtes diplômé du baccalauréat au minimum - Vous avez une expérience dans la vente et la négociation - Vous avez un goût pour le challenge et l'esprit de conquête - Vous appréciez travailler en équipe et vous avez le sens de la relation clients Les avantages Carrefour :- Une rémunération variable sur objectif (déplafonnée) - Perspectives d'évolution sur des postes de manager au sein de Carrefour Banque et Assurance (également au sein du Groupe Carrefour) - Une rémunération sur 13 mois - Intéressement + participation - Mutuelle/prévoyance - Offres CE - 6 semaines de Congés Payés - 10 % de remise sur achat"
6,Conseiller commercial Banque/Assurance (F/H) (H/F),"Créateur de l'hypermarché et pionnier dans la diversité des services proposés à ses clients, Carrefour se réinvente chaque jour pour permettre à chacun de bénéficier d'une offre e-commerce de référence et de services facilitant pour le quotidien. Porteuse de cette ambition, Carrefour Banque et Assurance innove pour proposer à ses clients des solutions adaptées à leur situation, leurs besoins et leur budget. Carrefour Banque c'est aussi et surtout une approche multicanal avec ses agences partout en France, une plate-forme téléphonique, un site internet et ses applications mobiles pour renforcer sa relation client. Pour développer ses équipes, Carrefour Banque recherche un : Conseillercommercial Banque/Assurance(F/H) Vos missions:- Accueillir les clients et procéder à la découverte de leurs motivations, leurs besoins en utilisant toutes les règles de la démarche de vente en vigueur. - Vendre les produits financiers définis par l'entreprise, les garanties et les services adaptés aux besoins et au profil des clients, dans une recherche constante de leur satisfaction et dans le respect des procédures d'octroi définies par Carrefour Banque. - Aller à la rencontre de la clientèle de l'hypermarché et réaliser du démarchage au sein du Pôle Services. - Satisfaire le besoin du client en traitant les réclamations et litiges et/ou en orientant le client vers les services compétents de l'entreprise. Votre profil:- Vous êtes diplômé du baccalauréat au minimum - Vous avez une expérience dans la vente et la négociation - Vous avez un goût pour le challenge et l'esprit de conquête - Vous appréciez travailler en équipe et vous avez le sens de la relation clients Les avantages Carrefour :- Une rémunération variable sur objectif (déplafonnée) - Perspectives d'évolution sur des postes de manager au sein de Carrefour Banque et Assurance (également au sein du Groupe Carrefour) - Une rémunération sur 13 mois - Intéressement + participation - Mutuelle/prévoyance - Offres CE - 6 semaines de Congés Payés - 10 % de remise sur achat"
7,CONSEILLER BANQUE ASSURANCE - Agence de LOUHANS (71500) H/F,"« Chaque projet est différent, et quand un client revient heureux d'avoir enfin sa maison, je suis ravie d'y avoir contribué. C'est une grande responsabilité» nous explique Adrien, Conseiller dans l'une de nos 300 agences régionales. « Véritable partenaire financier de nos clients, je les accompagne dans tous leurs projets de vie par le conseil et la vente de produits et services bancassurance ». Vous aurez plus d'une corde à votre arc et saurez gérer une diversité de besoins. A quoi ressembleront vos journées ? Au sein d'une équipe dynamique, vous accueillez et conseillez nos clients tout en assurant la promotion et la vente de produits et services. Vous assurez la gestion, le développement et le suivi de nos clients. Vous diagnostiquez leurs besoins, vous leur proposez et leur commercialisez l'offre globale Crédit Agricole : services, épargnes, crédits et assurances. Les missions c'est important mais l'équipe et l'environnement de travail aussi  Vos collègues seront avec vous pour relever tous nos défis : ensemble construisez votre stratégie et utilisez au mieux les talents de chacun. Vous connaissez l'adage : seul on va plus vite, ensemble on va plus loin. Le crédit agricole a réinventé ses agences pour nous permettre de vivre ensemble « l'expérience clients ». Des installations designs et technologique pour une proximité réinventée, qui allie le local et le digital. Ça donne envie, mais concrètement, quelles seront vos activités significatives ? - Mener les réflexions préalables pour développer son portefeuille. - Diagnostiquer les besoins du client ou prospect en évaluant les risques. - Assurer la promotion et la vente des produits et services adaptés à sa clientèle dans le cadre d'une approche relationnelle globale : placement, crédit, services para-bancaires, assurance. - Négocier les conditions bancaires avec la clientèle dans le cadre de sa délégation. - Elaborer et formaliser l'information commerciale auprès de son client. - Garantir la prévention des risques dans le cadre des délégations établies. - Appliquer les procédures de traitement des prestations de services de base. Et les formations dans tout ça ? Convaincu que la formation est le levier de la stratégie de l'entreprise, nous vous accompagnons dès votre arrivée, et tout au long de votre carrière. Nos formations favoriseront votre intégration et votre évolution vers des métiers d'expertise et/ou de management. Et après. ? Le Crédit Agricole est un groupe bancaire aux fondements coopératifs et mutualistes qui vous permet une évolution de carrière régionale, nationale et même internationale. En intégrant le Crédit Agricole, vous rentrez dans un groupe pionnier dans l'innovation bancaire et le modèle de proximité qui se place parmi les tous premiers acteurs bancaires en Europe et dans le monde. Vous voulez connaître toutes les raisons de nous rejoindre ? Rendez-vous sur https://www.groupecreditagricole.jobs/ Vous hésitez encore ? Une carrière se construit dans la diversité des expériences. Elle n'est pas une trajectoire linéaire mais un parcours fait de rencontres, de projets, d'apprentissages, et de réussites multiples. Pour vous permettre de construire ce parcours, nous vous proposons une politique de gestion des talents ambitieuse et durable. N'oubliez pas que « Tout commence ici ». Vous êtes convaincu ? Alors maintenant, c'est à vous  Doté d'un tempérament commercial prononcé et d'une aisance relationnelle, vous êtes diplômé d'un bac 2 minimum, de filière commerciale ou banque-assurance-finance de préférence. Vous êtes pédagogue, agile, et capable d'inter agir avec tous les moyens de communication. Vous avez le sens du service client et êtes pro-actif. Vous possédez d'excellentes qualités commerciales, entrepreneuriales, vous avez l'esprit d'équipe et faites preuve d'organisation et de rigueur. Notre entreprise est handi-accueillante. Pour postuler, créez votre profil sur notre espace de recrutement et joignez un CV et une lettre de motivation"
8,CONSEILLER BANQUE ASSURANCE - SAINT MARCELLIN H/F,"Et si on commençait avec le témoignage d'Adrien, conseiller particuliers ? « Chaque projet est différent, et quand un client revient heureux d'avoir enfin sa maison, je suis ravie d'y avoir contribué. C'est une grande responsabilité» nous explique Adrien, Conseiller dans l'une de nos 300 agences régionales. « Véritable partenaire financier de nos clients, je les accompagne dans tous leurs projets de vie par le conseil et la vente de produits et services bancassurance ». Vous aurez plus d'une corde à votre arc et saurez gérer une diversité de besoins. A quoi ressembleront vos journées ? Au sein d'une équipe dynamique, vous accueillez et conseillez nos clients tout en assurant la promotion et la vente de produits et services. Vous assurez la gestion, le développement et le suivi de nos clients. Vous diagnostiquez leurs besoins, vous leur proposez et leur commercialisez l'offre globale Crédit Agricole : services, épargnes, crédits et assurances. Les missions c'est important mais l'équipe et l'environnement de travail aussi  Vos collègues seront avec vous pour relever tous nos défis : ensemble construisez votre stratégie et utilisez au mieux les talents de chacun. Vous connaissez l'adage : seul on va plus vite, ensemble on va plus loin. Le crédit agricole a réinventé ses agences pour nous permettre de vivre ensemble « l'expérience clients ». Des installations designs et technologique pour une proximité réinventée, qui allie le local et le digital. Ça donne envie, mais concrètement, quelles seront vos activités significatives ? - Mener les réflexions préalables pour développer son portefeuille. - Diagnostiquer les besoins du client ou prospect en évaluant les risques. - Assurer la promotion et la vente des produits et services adaptés à sa clientèle dans le cadre d'une approche relationnelle globale : placement, crédit, services para-bancaires, assurance. - Négocier les conditions bancaires avec la clientèle dans le cadre de sa délégation. - Elaborer et formaliser l'information commerciale auprès de son client. - Garantir la prévention des risques dans le cadre des délégations établies. - Appliquer les procédures de traitement des prestations de services de base. Et les formations dans tout ça ? Convaincu que la formation est le levier de la stratégie de l'entreprise, nous vous accompagnons dès votre arrivée, et tout au long de votre carrière. Nos formations favoriseront votre intégration et votre évolution vers des métiers d'expertise et/ou de management. Et après. ? Le Crédit Agricole est un groupe bancaire aux fondements coopératifs et mutualistes qui vous permet une évolution de carrière régionale, nationale et même internationale. En intégrant le Crédit Agricole, vous rentrez dans un groupe pionnier dans l'innovation bancaire et le modèle de proximité qui se place parmi les tous premiers acteurs bancaires en Europe et dans le monde. Vous voulez connaître toutes les raisons de nous rejoindre ? Rendez-vous sur https://www.groupecreditagricole.jobs/ Vous hésitez encore ? Une carrière se construit dans la diversité des expériences. Elle n'est pas une trajectoire linéaire mais un parcours fait de rencontres, de projets, d'apprentissages, et de réussites multiples. Pour vous permettre de construire ce parcours, nous vous proposons une politique de gestion des talents ambitieuse et durable. N'oubliez pas que « Tout commence ici ». Vous êtes convaincu ? Alors maintenant, c'est à vous  Doté d'un tempérament commercial prononcé et d'une aisance relationnelle, vous êtes diplômé d'un bac 3 minimum, de filière commerciale ou banque-assurance-finance de préférence. Vous êtes pédagogue, agile, et capable d'inter agir avec tous les moyens de communication. Vous avez le sens du service client et êtes pro-actif. Vous possédez d'excellentes qualités commerciales, entrepreneuriales, vous avez l'esprit d'équipe et faites preuve d'organisation et de rigueur. Notre entreprise est handi-accueillante. Pour postuler, créez votre profil sur notre espace de recrutement et joignez un CV et une lettre de motivation"
9,Manager audit / conseil en banque / assurance H/F (CDI),"Poste : Vous réalisez les missions d'audit et de conseil, en banque ou en assurance en fonction de vos compétences et attentes. Notre clientèle est composée des plus grands établissements en banque et assurance pour les missions de conseil et de PME et ETI pour les missions d'audit. Dans le cadre de notre structuration et afin de construire au mieux notre croissance nous intégrons des personnes susceptibles d'être potentiellement associées à court/ moyen terme. Profil : Vous avez une expérience de plusieurs années, acquise en cabinet d'audit et conseil et/ou en banque / assurance sur une diversité de postes rendant légitime votre positionnement en audit et conseil par exemple : en direction financière, réglementaire Bale / Solvency, problématiques AMOA, acquisitions, réorganisations, etc. Vous vous épanouirez au sein de ce cabinet très à l'écoute de ses collaborateurs, où une forte croissance permet des évolutions de carrières à tous les niveaux. L'état d'esprit et l'organisation permettent de concilier harmonieusement vie professionnelle et vie privée. La qualité de la clientèle vous permet d'accéder à des missions très diversifiées et intellectuellement stimulantes. Entreprise : Cabinet d'Audit, Conseil et Expertise comptable situé au centre de Paris, nous sommes sur une croissance à 2 chiffres depuis plus de 10 ans et appartenons à un réseau international, nous recherchons, dans le cadre du développement de nos départements banque et assurance, un manager / futur associé."
