,title,company,salary,summary
0,Conseiller en financement automobile H/F,GCA NANTES,3 000 € par mois,"Le Groupe GCA, implanté dans toute la France, est représenté au travers de 11 marques automobiles, 72 concessions, un centre véhicules d’occasion, 7 carrosseries, 3 magasins de pièces détachées et un centre d'appels. Le groupe compte aujourd'hui 1100 collaborateurs. En 2019, le Groupe GCA a vendu 20 617 véhicules neufs et 18 037 véhicules d’occasion, c’est le premier distributeur de véhicules hybrides en France. Le poste est basé au sein de la concession TOYOTA de SAINT-HERBLAIN. Mission Auprès d'une clientèle de particuliers et de professionnels, vous aurez en charge les activités relatives à la commercialisation de : solutions de financement prestations d'assurances produits périphériques. Profil Si vous êtes… Issu(e) d’une formation commerciale ou en banque assurance Passionné(e) par le monde de l’automobile Soucieux(se) de la satisfaction client Les conditions d’embauche sont les suivantes : CDI 39h hebdomadaire du lundi au samedi Salaire négociable selon expérience Commissions et Primes Intéressement et Plan d’épargne entreprise Mutuelle et Prévoyance Type d'emploi : Temps plein Salaire : à partir de 3 000,00€ par mois Avantages : Épargne salariale Titre-restaurant Horaires : Heures Supplémentaires Rémunération supplémentaire : Commissions Heures supplémentaires majorées Primes Télétravail: Non il y a 16 jours Signaler l'offre"
1,Analyste SOC (F/H),Novencia,,"Contexte Les risques cyber doivent être gérés en continue dans l’activité des entreprises au vu des impacts qui sont aujourd’hui de plus en plus importants. Pour cela nous avons fait le choix de nous structurer autour d’experts (consultants, auditeurs, ingénieurs) dans le domaine de la cybersécurité pour offrir les meilleurs services et conseils à nos clients. Vous êtes passionné(e) par la cybersécurité, aimez relever des défis et avez 2 à 5 années d’expériences (minimum) ? Alors ce poste est fait pour vous ! Vous souhaitez en savoir plus ? Quelques coups de scroll suffiront Compétences Ayant les compétences en Analyses Cybersécurité Evaluation des risques Veille Profil Carnet de route Nos 35 référencements auprès de Grands Comptes et bien d’autres à venir offrent un large champ de possibles : e-commerce, Banque, Assurance, Service, … ! Évidemment, nous privilégions les environnements agiles et innovants. Exemples de missions : Identifier les besoins et/ou problématiques métiers Pilotage de projets Audit de l’existant et recommandation d’axes d’amélioration Certifications recommandées : CEH, OSCP, OSCE, CISSP, CCSK, CISA Certification : constructeurs de solutions de cyber sécurité orientées SOC, gestion et traitement d’incidents, détection de menaces, automatisation. Votre rôle Repérer et gérer les incidents de sécurité remontés par le SIEM Traiter les alertes et les incidents de sécurité en collaboration avec les différentes équipes sécurités Evaluer les risques et les cybermenaces pouvant affecter le groupe et mettre en place des moyens de détection Faire une veille régulière des menaces (Threat Intelligence) Implémenter et améliorer les règles de détection dans le SIEM Documenter les playbooks de réponse à incidents Rechercher les intrusions sur le SI (environnements Office 365, Cloud AWS et Microsoft Azure) Réaliser les analyses Forensics De la technique et de la personnalité Connaisseur : Connaissances des solutions de supervision sécurité, d’outil et de méthodes de corrélation de journaux d’événements (SIEM), des techniques d’attaques et d’intrusions ainsi que des vulnérabilités des environnements. Analyst : Pratique de l’analyse de journaux (systèmes ou applicatifs) et de flux réseaux. Gardien de la paix : Sécurité des systèmes d’exploitation, des réseaux et protocoles. Esprit d’équipe : capacité à travailler en équipe. Tech : Scripting (Perl, Python, Bash, …) Avancer en équipe NOVENCIA, c’est avant tout un projet collectif. Validation par un pair. Après les formules d’usage du premier entretien, vous rencontrez un de nos consultants lors d’un second échange pour qu’il puisse appréhender votre niveau technique et vous en dire plus sur l’écosystème de NOVENCIA. (C’est souvent là que tout bascule…). Partage d’expérience. NOVENCIA compte 7 communautés : Partners – Finance/ Prodigi – Agile / Craft / ActiveViam / UX@Scale / Data / GDPR, dont le fonctionnement est indépendant. Dotées de leur propre budget, elles sont libres de récolter et diffuser des informations. L’objectif : encourager la veille technique et l’évolution professionnelle. Expertise. Meet-up, webinar, articles, vidéos…Au-delà d’un objectif purement professionnel, technique ou fonctionnel, NOVENCIA vous donne la possibilité de vous exprimer. Environ 80 événements annuels sont organisés. Autant d’occasions pour un collaborateur de se dépasser. Crédibilité et notoriété du parcours sont donc au rendez-vous ! Formation sur mesure. NOVENCIA possède son propre centre de formation. Technique ou fonctionnelle, les formations proposées sont, pour la plupart, certifiantes. Suivi personnalisé. Qu’elle soit personnelle ou professionnelle, votre évolution est notre priorité. C’est pourquoi nous avons créé les Instants RH et Objectifs Carrière. Vous l’avez compris, chez NOVENCIA on ne lâche rien ! Notre objectif commun : co-construire votre carrière en fonction de vos aspirations et de vos compétences.  S’engager en faveur du handicap c’est garantir l’égalité des chances dès le recrutement. À compétences égales, nos postes sont ouverts aux personnes en situation de handicap. Il y a plus de 30 jours - Continuer pour postuler Signaler l'offre"
2,CONSEILLER CLIENTELE EN ALTERNANCE (H/F),CAISSE REGIONALE CREDIT MUTUEL SAVOIE-MONT BLANC,,"Présentation de la société Deuxième banque de détail en France, le groupe Crédit Mutuel Alliance Fédérale est au service de 34,2 millions de clients dans 5 535points de vente. Comme il l’a toujours été, le Crédit Mutuel reste fidèle aux lignes de force qu’il s’est fixé avec succès : la banque mutualiste, la banque de proximité, la banque technologique et la bancassurance.  Le Crédit Mutuel est une banque mutualiste : le réseau des Caisses locales constitue le maillon essentiel de l’organisation du Crédit Mutuel. Il assure un vrai service de proximité à nos clients et permet une grande réactivité. Comment ? Par son organisation décentralisée qui fait de lui la seule banque coopérative non cotée en bourse de France. Ce qui compte d’abord au Crédit Mutuel, c’est la qualité de la relation avec nos clients qui sont les propriétaires de notre Groupe. Cet objectif fait du Crédit Mutuel la marque préférée des français dans le domaine bancaire depuis 14 ans.  Le Crédit Mutuel se singularise également par des valeurs qui constituent l’ADN de l’entreprise depuis plus de 130 ans : une forte autonomie au quotidien avec de réels pouvoirs de décision, de vraies responsabilités. Une entreprise dans laquelle exigence rime avec bienveillance, dans laquelle le mérite par la promotion interne est reconnu et qui offre de véritables perspectives de carrières.  Intégrer le Crédit Mutuel, c’est faire partie d’un collectif qui veut réinventer l’expérience client dans de nombreux domaines : la banque, l’assurance, la téléphonie, la location de véhicules ou de vélos, la commercialisation de biens immobiliers, l’informatique, la logistique, ... Autant d’activités dans lesquelles vos idées et vos compétences seront mises en valeur.  Rejoindre un Groupe fort de ses marques telles que Crédit Mutuel, le CIC, la BECM, Cofidis, Euro Information, …, c’est faire partie d’une aventure humaine et technologique dans laquelle vous prendrez toute votre place pour construire avec nous le monde de demain. Mission Vous souhaitez intégrer le secteur bancaire, construire votre projet professionnel et acquérir de nouvelles compétences ?  Le Crédit Mutuel Savoie-Mont Blanc vous offre l'opportunité de développer votre employabilité et vous propose d'intégrer son réseau pour effectuer en alternance une formation de niveau Bac +3, par le biais d’un Licence Banque-Assurance en partenariat avec l’Université Lyon 2 et le CFA du groupe Crédit Mutuel Alliance Fédérale.  Activités / Tâches spécifiques du poste Vous serez intégré à une équipe dynamique, dans une ambiance de convivialité et serez encadré par un tuteur. Nous sommes reconnu depuis plusieurs années par nos alternants pour notre sens de la formation et de l'accompagnement.  Vos missions ? Vous devrez progressivement réaliser l'ensemble des tâches qui peuvent être confiées à un conseiller de clientèle à savoir : Gérer l'accueil clients Préparer, organiser et suivre son activité commerciale Préparer et conduire ses entretiens Solliciter des recommandations ; développer la prescription Conduire les actions de prospection (hors recommandation). Assurer le suivi de la relation : Offrir un service commercial et d'après-vente de qualité. Assurer un suivi de la relation respectant ses engagements. Analyser les risques, anticiper et gérer leur dégradation Profil Vous êtes en cours d'obtention d'un diplôme de niveau BAC+2 (BTS NDRC/MUC, DUT TC ou GEA,...), vous avez des aptitudes commerciales et de bonnes qualités relationnelles ?  Vous avez le sens de l'écoute, faites preuve de réactivité et de dynamisme mais aussi de rigueur et d'organisation ? Vous avez envie de maîtriser le droit bancaire, la fiscalité, et découvrir nos produits et services ?  Rejoignez nous en postulant à cette annonce. Certification(s)/Accréditation(s) Certification AMF Avantages Rémunération fixe versée sur 13 mois RTT Intéressement, participation et abondement Plan épargne entreprise et PERCO Contrat de santé collectif Prévoyance Retraite supplémentaire prise en charge à 100% par l’employeur Conditions bancaires et assurances préférentielles Politique parentale avantageuse  Société : CAISSE REGIONALE CREDIT MUTUEL SAVOIE-MONT BLANC | Réf. : A039467 | Date de publication : 11/04/2021 Credit Mutuel il y a 21 jours - Continuer pour postuler Signaler l'offre"
3,CONSEILLER ACCUEIL (H/F),CCM MORTEAU,,"Présentation de la société La stratégie du Crédit Mutuel Alliance Fédérale se développe selon 4 axes : BANCASSURANCE: La bancassurance propose une offre intégrée correspondant aux besoins de nos sociétaires en banque et en assurance. MUTUALISME: Notre manière d'être et d'agir repose sur le respect et la confiance. L'intérêt du sociétaire prime sur la structure. TECHNOLOGIE: Nous maîtrisons les technologies nouvelles, pour les mettre au service des sociétaires et des Caisses. BANQUE DE PROXIMITÉ Concernant le Crédit Mutuel, la relation avec le sociétaire est assurée par des Caisses autonomes, impliquées dans le tissu local. par l'utilisation des outils de banque à distance. Avec le rachat du CIC en 1998, le Groupe Crédit Mutuel Alliance Fédérale accède à un réseau international présent sur tous les continents. Sur cette base, la stratégie de développement international va notamment s'appuyer sur l'expertise du Groupe en matière de bancassurance et de flux monétiques ainsi que sur les assurances et le crédit à la consommation. Aujourd'hui le Groupe Crédit Mutuel Alliance Fédérale poursuit son internationalisation. Mission Mission principale Premier interlocuteur des clients et prospects, le Conseiller accueil assure un accueil et un service de qualité. A l'écoute de leurs besoins, il renseigne les clients et les oriente vers les commerciaux concernés. Il réalise les opérations courantes de guichet dans le respect des consignes de sécurité et des procédures. Il vend les produits et services bancaires courants à la clientèle. Activités / Tâches spécifiques du poste Accueille, écoute et oriente les clients et les prospects : Contribue à la sécurité des biens et des personnes. Assure l'accueil des clients. Manifeste de l'écoute et de la disponibilité devant les clients. Identifie les demandes devant être prises en charge par un commercial. Traite les demandes courantes des clients : Traite les opérations courantes des clients avec efficacité. Intégre la dimension risques dans ses activités. Assure des activités commerciales : Actualise, compléte sa connaissance du client et identifie ses besoins. Propose et vend des produits et services de la Banque Au Quotidien adaptés aux besoins. Facilite les activités des commerciaux : Prend des rendez-vous. Transmet les informations utiles aux commerciaux. Vérifie la conformité des dossiers  Assure des activités de gestion courante : Effectuer les vérifications et ajustements comptables requis Travaille en équipe Profil Connaissances et compétences Bonne connaissance des produits et services proposées à la clientèle. Bonne culture économique et financière. Maîtrise des outils de bureautique (Excel, Word, Powerpoint) et du système d'information du Groupe Crédit Mutuel Alliance Fédérale. Connaissance des règles et procédures de sécurité. Savoir-être - savoir-faire Votre aptitude à la négociation commerciale et votre aisance relationnelle constituent les moteurs essentiels de votre réussite. Vous savez communiquer et travailler en équipe. Avantages Rémunération fixe versée sur 13 mois RTT Intéressement, participation et abondement Plan épargne entreprise et PERCO Contrat de santé collectif Prévoyance Retraite supplémentaire prise en charge à 100% par l’employeur Conditions bancaires et assurances préférentielles Politique parentale avantageuse  Société : CCM MORTEAU | Réf. : A039274 | Date de publication : 22/04/2021 Credit Mutuel Il y a plus de 30 jours - Continuer pour postuler Signaler l'offre"
4,Conseiller/ère Commercial/e Véhicule d’Occasion F/H,Groupe Thivolle- Siège Social-,17 763 € - 41 609 € par an,"Le sourire, c'est ce que notre Groupe s'engage à vous apporter. Il reflète notre état d’esprit, et totalement fidèle à la façon dont chacun d'entre nous exerce au quotidien son métier. Le Groupe Thivolle, Distributeur Automobile de 7 marques, se déploie sur 22 sites répartis dans 3 départements : Rhône, Saône et Loire. A travers une large gamme de véhicules. Nous accompagnons nos collaborateurs tout au long de leurs parcours professionnel en leur assurant une formation régulière pour maintenir un haut niveau de compétences. Nous apportons une attention particulière aux conditions de travail de nos équipes en leur offrant des lieux et des outils de travail de qualité, rénovés et /ou remplacés régulièrement. L’implantation de nos concessions, à proximité des axes routiers, zones commerciales et/ou installations sportives, favorise l’équilibre entre vie professionnelle et vie personnelle. L’engagement quotidien de nos collaborateurs peut être résumé comme suit : Proche de nos clients, Accueillant, Chaleureux et avec le sens du service. Le Groupe Thivolle, en quelques chiffres : Distributeur automobile depuis 1952 750 collaborateurs 432 millions de Chiffre d’Affaires 15 223 véhicules neufs et 10 046 véhicules d’occasions vendus en 2019 33ème place sur les 100 premiers groupes de distribution en France en CA 2019 (Cf le journal de l’automobile N 1287 juillet 2020) Ce qui nous définit : Proximité et professionnalisme dans le respect des collaborateurs et du client. Notre direction attache une importance particulière à venir rencontrer ses collaborateurs régulièrement. Nous sommes un groupe mais nous tenons à conserver un fonctionnement humain. Ce qui nous valorise : Esprit d’équipe et Convivialité. Nous privilégions le travail en équipe, chacun apporte son savoir-faire. Le savoir être est un élément important pour s’intégrer à notre entreprise. Ces forces nous ont permis d’atteindre la 33ème place du classement national des 100 groupes de distribution en termes de CA. Alors, n’hésitez plus et rejoignez-nous !!! Pour une de nos concessions de Villefranche sur Saône nous souhaitons renforcer notre équipe et recherchons un/e Conseiller/ère Commercial/e Véhicule d’Occasion F/H en CDI Temps plein - Du lundi au samedi Que ferez-vous ? En lien direct avec le Chef des Ventes VO, vous participez activement au développement de notre implantation locale. En tant que Commercial, vous prospectez un portefeuille de clients professionnels et particuliers. Avec enthousiasme et motivation, vous êtes force de proposition dans la mise en place des offres commerciales. Vos missions : Développer les parts de marché et prospecter de nouveaux clients Proposer des véhicules neufs et des services associés financement et contrats de services Construire une relation commerciale et participer à la négociation avec les clients pour trouver un accord final sur le contenu afin de conclure la vente Assurer l’animation du showroom et du secteur attribué Avec évidemment : Participer à la stratégie de commercialisation Surveiller ce que fait la concurrence : assurer une veille sur le marché Mettre en avant physiquement et numériquement nos véhicules Et bien sûr : Tenir le planning Assurer la gestion administrative des dossiers de ventes Veiller à la satisfaction client Effectuer un reporting A travers ces missions, vous véhiculez l’image de notre groupe. Qui êtes-vous ? Plus qu’un parcours, c’est avant tout une personnalité que nous recherchons. Nous attachons une importance particulière à votre savoir-être, votre motivation et votre force de proposition. Vous aimez le goût du challenge. Vous souhaitez développer vos compétences commerciales. Autonome, vous disposez de 3 ans d’expérience minimum dans le domaine de la grande distribution ou dans le domaine de la Banque/Assurance. Vous maîtrisez les outils informatiques et êtes doté(e) d’un fort sens du digital et numérique. Vous savez vous adapter aux contraintes environnementales et sociétales. Persuasif (ve), vous êtes à l’aise avec les techniques de négociation. Vos compétences opérationnelles et organisationnelles associées à un excellent relationnel sont de véritables atouts pour assurer ce poste. Vous aimez le contact client et êtes un(e) excellent(e) communiquant(e) pour attirer le client. Autonome et dynamique, vous êtes force de proposition. Package commercial : Fixe + variable avec des primes non plafonnées + véhicule de fonction + Tickets Restaurant Type d'emploi : CDI Salaire : 17 763,00€ à 41 609,00€ par an Avantages : Titre-restaurant Véhicule de Fonction Horaires : Périodes de Travail de 8 Heures Rémunération supplémentaire : Primes Expérience: Conseiller commercial h/f ou similaire: 1 an (Optionnel) Télétravail: Non Précautions contre le COVID-19: Équipement de protection individuel fourni ou requis Protection en plastique sur les postes de travail Consignes de distanciation sociale Procédures renforcées de désinfection et de nettoyage Il y a plus de 30 jours Signaler l'offre"
5,"Gestionnaire de Clientèle H/F – Zone Périgueux-Nontron, Grou...",Caisse d'Epargne Aquitaine Poitou Charentes,,"Description de l'entreprise Vous souhaitez intégrer un Groupe en pleine transformation digitale ? Pour vous aussi, l’expertise métier au service de la satisfaction clients a du sens ? Alors rejoignez la Caisse d’Épargne Aquitaine Poitou Charentes, banque régionale coopérative, et participez à son développement commercial, technologique et humain. Vous intégrerez ainsi une entreprise qui met au cœur de sa stratégie la formation de ses collaborateurs, et qui a pour volonté de les accompagner dans le développement de leurs compétences.  Pour accompagner son développement commercial, technologique et humain, la CEAPC recherche un Gestionnaire de Clientèle (H/F) pour nos Agences de Périgueux/Nontron (24). Poste et missions En tant que Gestionnaire de Clientèle, nous vous confierons un portefeuille de 550 relations à gérer de façon pro-active et prioritairement à distance. Votre valeur ajoutée portera sur : La gestion et le développement de votre portefeuille à travers la gestion du flux physique et téléphonique, le traitement de vos opportunités commerciales. La création d’un climat de confiance avec vos clients, en vous basant sur les valeurs de la Caisse d’Épargne : proximité, réactivité et expertise. L’expertise apportée à vos clients notamment sur des produits complexes (assurance vie, prêt immobilier,…) La détection de leurs besoins et l’orientation vers une solution adaptée, lors de rendez-vous en face à face et à distance Votre proactivité, en optimisant les bases de données, alertes et contacts directs des clients, Votre agilité à utiliser les différents canaux de distribution (téléphone, mail, applications smartphone,…) Votre capacité à maximiser la satisfaction de vos clients, dans le respect du contrat de relation instauré Profil et compétences requises Vous êtes diplômé (Bac+3 minimum) avec une spécialisation Banque/Finance ou Vente/Commerce et si vous disposez d’une première expérience significative en gestion de portefeuille dans le milieu bancaire, nous souhaitons vous rencontrer. Votre forte appétence commerciale, votre sens de l’organisation et de l’analyse associés à vos qualités relationnelles vous permettront de réussir dans cet emploi. De plus, la prise d’initiatives et votre envie de vous dépasser seront des atouts pour la réussite de votre projet professionnel et pour vous permettre d’évoluer rapidement au sein de la Caisse d’Épargne. Chacun de nos collaborateurs est suivi par un Conseiller en Ressources Humaines attitré qui définit avec lui sa trajectoire professionnelle.  Informations complémentaires sur le poste GROUPE BPCE il y a 11 jours - Continuer pour postuler Signaler l'offre"
6,Ingénieur Réseaux & Sécurité,ADAYA Consulting,,"22/04/2021  Type de contrat : CDI / Indep Démarrage : ASAP Ville : Montigny-le-Bretonneux (78180) Mission et contexte : Mission & Contexte : Dans le cadre du renforcement de notre pôle « Infrastructure », nous recherchons un Ingénieur Réseaux & Sécurité (F/H) pour intervenir chez notre client, acteur majeur du domaine Banque / Assurance. Dans un environnement international et complexe, vous interviendrez au sein du département en charge de la gestion des réseaux et de la sécurité qui gère un parc de plus de 60.000 ports switch et un WAN de 60 sites (EMEA/APAC/US). Vous interviendrez notamment sur : La gestion du périmètre LAN « marchés » (conformité, bilan de santé, capacity planning) Le maintien en conditions opérationnelles du réseau, notamment sur le RUN du périmètre Data Centre (environnement CISCO legacy & cloud) La préparation, la gestion et le suivi des changements « Infrastructures » en tenant compte des contraintes techniques et fonctionnelles (évaluation des risques et des impacts) La participation aux évolutions du réseau groupe (capacité, capillaire, technologies, obsolescence) et à l'amélioration continue La résolution des incidents complexes en collaboration avec les experts du groupe (applications, système, réseau) L'analyse de sécurité concernant les attaques et les alertes et la réponse à incidents La définition des standards, des guides bonnes pratiques et des procédures de sécurité La veille sécuritaire antivirus et vulnérabilités Des projets visant à l’accroissement du niveau de sécurité  Compétences techniques : Cisco (Legacy & Cloud) LAN, MAN, WAN Firewall (Juniper, Checkpoint, Fortinet) Flux réseau : Load Balancer F5, QoS (Ipanema), Proxy McAfee Technologies Cloud (SDN, NFV, ACI) Des notions sur les outils de supervision, monitoring, métrologie (HP-NNM, Infovista, HP-NA, Riverbed) seraient appréciées  Profil : De formation supérieure en Informatique (Bac +3/5), vous justifiez d’une expérience de 3 ans minimum en dans un contexte similaire et idéalement avec un fort enjeu de disponibilité et de performance (traitement en temps réel, flux de marché, business en 24/7). Capacité à coordonner, communiquer avec les autres équipes production, les équipes de développement, les Incident Managers et les équipes projets. **Anglais opérationnel indispensable il y a 25 jours - Continuer pour postuler Signaler l'offre"
7,Conseiller(ère) en assurances H/F,Crédit Agricole d'Aquitaine,,"Dans le cadre de créations de poste, nous recherchons pour notre Espace Conseil Assurances situé à Langon, 2 Conseillers Commerciaux H/F en CDI. Vos missions : - Prendre en charge les appels téléphoniques entrants des prospects, des clients, des agences sur les activités de Crédit Agricole Assurances. - Servir et accompagner les interlocuteurs, identifier leur besoin et répondre aux demandes via une approche globale (renseignements et conseils personnalisés, propositions de protection des biens et personnes, sécurisation, modification de contrats ou tout autres opérations). Réaliser des bilans assurances. - Assurer le conseil, la promotion et la vente des produits d'assurances en rebond commercial par le biais des appels Entrants, Sortants, Mails, Tchats. Promouvoir l'ensemble de la gamme. - Prendre en charge la partie Multicanal (Mails et Tchats) des clients relative au domaine des Assurances des Particuliers et assurer le suivi relationnel. - Favoriser l'utilisation des canaux de distribution les plus adaptés aux besoins des clients et assurer la promotion de l'ensemble des canaux. - Réaliser les opérations et services liés et à la vente. - Contribuer à la gestion du risque et développer la connaissance client (conformité). Profil - Formation générale supérieure et/ou professionnelle : Bac+2/3 validé (BTS NRC, MUC, Licence Banque, ...) - Première expérience réussie dans une fonction commerciale - Adaptation et polyvalence - Sens du service client, sens du développement commercial et des résultats - Respect de la réglementation et des règles de conformité - Esprit d'équipe, synergie et transversalité Formation à la prise de poste pour vous former au poste et à nos produits Possibilités d'évolution vers le métier de conseiller en agence bancaire de proximité Poste ouvert à tous, adaptation possible en cas de handicap Type d'emploi : Temps plein, CDI Avantages : Épargne salariale RTT Titre-restaurant Horaires : Du Lundi au Vendredi Rémunération supplémentaire : 13ème Mois Prime annuelle Formation: Bac +2 (BTS, DUT, DEUG) (Exigé) Publiée à l'instant Signaler l'offre"
8,CHARGE DE CLIENTELE DE PARTICULIERS H/F LE LAVANDOU,Banque Populaire Méditerranée,,"Description de l'entreprise La Banque Populaire Méditerranée, banque régionale mutualiste et assureur, sait allier à la fois la proximité et l'expertise par son réseau dans les départements des Alpes Maritimes, du Var, du Vaucluse et des Bouches du Rhône, ainsi qu'en principauté de Monaco et en Corse. Première banque des PME et des artisans, elle est leader des prêts à la création d’entreprise. S’engager au service des projets personnels et professionnels de ses clients et sociétaires, leur donner « envie d’agir », et les accompagner dans la durée, tel est l’esprit Banque Populaire. La Banque Populaire Méditerranée recherche un Chargé de Clientèle de Particuliers (H/F) pour son agence du Lavandou située dans le Var. Poste et missions Mission Principale : Le Chargé de Clientèle de Particuliers (H/F) accueille la clientèle, l'informe / l'oriente selon sa demande et initie le contact avec des prospects afin de développer son portefeuille de clients. Il (elle) vend des produits et services adaptés aux besoins du client et gère également le suivi de la relation clientèle. Activités : Accueil physique et par téléphone de la clientèle, Etablir le plan de contacts commercial et exploiter un portefeuille de clients, Initier des contacts avec les prospects/clients, Identification du besoin, des projets et attentes du client, Effectuer une analyse de la rentabilité et du risque, Commercialiser des produits et services adaptés (dont produits IARD et Prévoyance), - Argumenter et conclure la vente, parfois en relation avec d’autres commerciaux,- Gestion administrative et le suivi de la relation clientèle (envoi de documents de confirmation, comptes-rendus contacts, suivi de la vente à distance, respecter les règles de sécurité et procédures en vigueur…) Profil et compétences requises Diplôme bancaire et/ou avec une expérience professionnelle commerciale réussie  Vous maitrisez les techniques de vente, les techniques d’appréciation du risque et de garantie, les règles de délégations, les outils d’assistance à la vente, les risques crédits. Vous avez une bonne connaissance des techniques de prescription et d’approche globale, des produits de crédit et d’épargne, assurances et autres services.  Vous avez un bon relationnel client, un sens commercial développé, un esprit d’équipe, un sens de l’organisation, une bonne gestion du stress et vous êtes rigoureux. Informations complémentaires sur le poste Banque handi-accueillante GROUPE BPCE il y a 15 jours - Continuer pour postuler Signaler l'offre"
9,CONSEILLER / CONSEILLERE CLIENTELE - FLANDRES H/F),BANQUE CIC NORD OUEST,,"Présentation de la société www.cic.fr CIC Nord Ouest 33 avenue Le Corbusier 59800 Lille Tél : 03 20 12 64 64 Le CIC, holding et banque de réseau sur la région parisienne, fédère 5 banques régionales et les filiales spécialisées sur tous les métiers de la finance et de l'assurance, en France comme à l'international. L'activité est organisée autour de 4 métiers : La banque de détail concentre toutes les activités, bancaires ou spécialisées, dont la commercialisation des produits est assurée par le réseauassurance vie et assurance dommages, crédit-bail mobilier et LOA, crédit-bail immobilier, affacturage, gestion collective, épargne salariale, immobilier. La banque de financement et de marché : la banque de financement regroupe le financement des grandes entreprises et clients institutionnels, les financements à valeur ajoutée (exports, de projets et d'actifs), l'international et les succursales étrangères ; les activités de marché comprennent, au sens large, celles sur taux, change et actions, qu'elles soient exercées pour le compte de la clientèle ou pour compte propre, y compris l'intermédiation boursière (CM-CIC Securities). La banque privée développe un savoir-faire en matière de gestion financière et d'organisation patrimoniale, mis au service de familles d'entrepreneurs et d'investisseurs privés. Ce métier, exercé aux niveaux national et régional sous l'appellation CIC Banque Privée (57 agences de gestion privée et 352 collaborateurs), s'appuie sur les filiales spécialisées du groupe, en France et à l'international. Le capital-développement réunit les activités de prises de participations, de conseil en fusions-acquisitions et d'ingénierie financière et boursière. Dans ces domaines, le CIC figure parmi les tout premiers intervenants en régions.Au 1er janvier 2011, les entités exerçant ce métier (CIC Finance, CIC Investissement, CIC Banque de Vizille et IPO) ont été regroupées au sein de CM-CIC Capital Finance. Mission Mission principale Vous développez, gérez et fidélisez un portefeuille de clients particuliers. Vous leur vendez les produits et services de bancassurance leur permettant de faciliter leur gestion courante et dans le cadre d'une approche par univers de besoins, vous constituez leur équipement et leur permettez de préparer, puis de réaliser leurs projets. Vous visez la maîtrise des risques et la rentabilité de votre portefeuille. Vous exercez des activités de guichet et/ou de maintenance des automates.  Activités / Tâches spécifiques du poste Le Conseiller clientèle / La Conseillère clientèle : Prépare, organise et suit son activité commerciale Prépare et conduit ses entretiens Assure le suivi de la relation Analyse les risques, anticipe et gère leur dégradation Profil Connaissances et compétences Bonne connaissance des produits et services proposés à la clientèle. Maîtrise des outils de bureautique (Excel, Word, Powerpoint) et du système d'information du Groupe Crédit Mutuel Alliance Fédérale. Savoir-être - savoir-faire Faire preuve de réactivité et de dynamisme. Savoir communiquer et travailler en équipe. Possédez de bonnes qualités relationnelles Votre aptitude à la négociation commerciale et votre aisance relationnelle constituent les moteurs essentiels de votre réussite. Avoir le sens de l'écoute Certification(s)/Accréditation(s) Certification AMF Avantages Rémunération fixe versée sur 13 mois RTT Intéressement, participation et abondement Plan épargne entreprise et PERCO Contrat de santé collectif Prévoyance Retraite supplémentaire prise en charge à 100% par l’employeur Conditions bancaires et assurances préférentielles Politique parentale avantageuse CIC FR il y a 8 jours - Continuer pour postuler Signaler l'offre"
