,title,company,salary,summary
0,Conseiller Premium Strasbourg Brant (H/F),HSBC,,"ENVIRONNEMENT: Récompensée « Euromoney Award for Global Excellence in Leadership » en 2020, HSBC regroupe l’expertise de près de 233 000 collaborateurs et dispose d’environ 3 800 implantations dans le monde avec une présence dans 64 pays et territoires. HSBC en France, représente 10 000 collaborateurs.  HSBC en France offre à ses clients particuliers et professionnels un accompagnement personnalisé, ainsi qu’une approche patrimoniale et globale tout en s’appuyant sur les atouts du Groupe HSBC et sur des propositions commerciales innovantes. L'accès au poste est subordonné à une clause de mobilité et a une clause de non concurrence. Votre candidature à ce poste induit que vous en acceptez le principe. Le poste est basé à Strasbourg. Cette offre ne vous correspond pas ? Testez votre CV sur notre outil de matching sur hsbc.jobijoba.io et découvrez toutes les opportunités adaptées à votre profil. MISSION Dans le cadre des objectifs fixés, le Conseiller Premium est responsable de la performance de son portefeuille et doit : Gérer, fidéliser et développer les relations commerciales avec une clientèle à fort potentiel de développement (clientèle qui n’a pas encore de besoins poussés en gestion de patrimoine et qui présente un enjeu d’équipement et de principalisation); Instaurer des relations de confiance et devenir leur conseiller avis : Par un conseil permettant de faire fructifier le patrimoine des clients Par la vente des produits et services adaptés à leurs besoins : placements, protection, crédits, banque au quotidien Par l’analyse régulière des portefeuilles, il doit vérifier que les solutions sont toujours adaptées et détecter les opportunités d’investissement Maintenir les critères d’éligibilité des clients du portefeuille Conquérir de nouveaux clients sur le portefeuille confié Atteindre les objectifs fixés (financiers et non financiers) en optimisant le développement du portefeuille avec le souci de la satisfaction clients, de l’efficacité commerciale, de la rentabilité, de la qualité des opérations et des risques, du respect des règles de conformité, de la responsabilité sociale et économique de la banque comme du strict respect des Règles Transfrontalières inhérentes à la clientèle internationale dite sensible, du suivi des formations dédiées et de l’utilisation des supports spécifiques d’aide à la vente Conditions d’exercice réglementaires : Certification AMF / Habilitation Assurance Carte assurance Certification interne AML Qualifications – Doté(e) d’un tempérament dynamique, vous avez un sens commercial fort et veillez à assurer un service de qualité auprès de vos clients, dans le respect des standards de conformité HSBC. Vous savez convaincre vos interlocuteurs dans une démarche de conseil personnalisé. – Organisé(e), autonome et rigoureux(euse), vous êtes attaché à construire des relations durables de confiance avec vos clients en répondant à leurs besoins. – Vous savez travailler en équipe. – Vous maîtrisez les concepts essentiels nécessaires à la gestion d’un patrimoine particulier et professionnel (régimes matrimoniaux, donations, successions, assurance-vie, démembrement, protection et transmission du dirigeant …) ainsi que les fondamentaux de la fiscalité – L’anglais est un plus Il y a plus de 30 jours - Continuer pour postuler Signaler l'offre"
1,Stagiaire de fin d'études Auditeur financier Assurance H/F,Mazars,,Pas de description
2,Consultant Débutant Fonction Finance FS H/F - FY22,EY,,"Dans le cadre de son développement pour le secteur des Services Financiers, EY recherche des Consultants Juniors, ayant eu une première expérience dans ce domaine.  Au sein du département FSO (Financial Services Office), 1 400 collaborateurs en France combinent leurs expertises métiers et fonctionnelles, afin de répondre efficacement aux besoins de nos clients en gestion d’actifs, banque ou assurance. Dans un contexte en perpétuel changement et hautement réglementé, nous apportons ensemble à nos clients des conseils pour les aider à gérer les incertitudes et les opportunités de ce secteur.  L’opportunité Composée de 160 collaborateurs, notre équipe est spécialisée dans le conseil en transformation de la fonction Finance. Nous accompagnons les Directions Financières des entreprises proposant des services financiers (banque, assurance, société de gestion) dans un contexte mouvant pour bâtir la fonction Finance de demain. Vos missions Basé à Paris, vous interviendrez en tant que consultant/e junior, chez nos clients et/ou dans nos locaux, sur des missions de conseil adressant l’ensemble des enjeux rencontrés par les fonctions Finances :  Transformation structurelle de la Fonction Finance : accompagnement de la transformation digitale via l’identification de leviers d’efficacité opérationnelle innovants (Business Intelligence, RPA, Data Analytics), définition et implémentation de nouveaux modèles opérationnels cibles, conseil en intégration pré et postfusion et en rationalisation des coûts  Transformation comptable et réglementaire : mise en place des nouvelles normes et réglementations, optimisation/industrialisation des processus et des délais de production (IFRS, French, Bâle 3, Solvabilité 2, AMF), accompagnement au choix, changement et amélioration des outils comptables et de consolidation  Transformation du pilotage financier : revue des indicateurs de performance et de rentabilité financière, optimisation/industrialisation des processus clés, fiabilisation des données et des reporting associés, accompagnement au choix, changement et amélioration de nouveaux outils de controlling et de suivi de la performance  Votre profil  Diplômé d'une formation Bac+5 type école de commerce/ingénieur, Master CCA/DSCG, vous avez acquis une expérience sous forme de stages /CDD/Alternance ou CDI, dans un environnement financier (Banque, Assurances ou Asset Management). Méthodique, autonome et rigoureux, vous vous adaptez rapidement aux changements. Vos qualités relationnelles, l’implication, la curiosité et l’enthousiasme vont faciliter le travail en équipe. La maîtrise de l'anglais est indispensable pour évoluer dans notre environnement. Une compétence sur des sujets type Bâle 2, Bâle 3, Solvency2, AQR serait un plus.  Dans le cadre de sa politique Diversité, EY étudie, à compétences égales, toutes candidatures dont celles de personnes en situation de handicap.  A propos d’EY  EY rassemble aujourd’hui 284 000 associés et collaborateurs à travers le monde dans plus de 150 pays. Grâce à ce réseau, dont le niveau d’intégration et l’ampleur internationale sont gages d’une même excellence partout dans le monde, EY renforce sa position de leader mondial de l’Audit, du Conseil, des Transactions, de la Fiscalité et du Droit. Nous faisons grandir les talents afin, qu’ensemble, ils accompagnent les organisations vers une croissance pérenne. Et notre engagement envers nos équipes commence avec cette promesse : quel que soit votre parcours avec nous, l’expérience EY dure toute une vie.  Si vous pouvez démontrer que vous répondez aux critères mentionnés ci-dessus, veuillez nous contacter dès que possible.  Vivez l’expérience EY, Rejoignez-nous ! Il y a plus de 30 jours - Continuer pour postuler Signaler l'offre"
3,Gestionnaire sinistres H/F - alternance - Balma (31),AXA Partners,,"Le collaborateur est en charge de l’étude des dossiers sinistres présentés par les délégataires, les courtiers, les banques, les souscripteurs, agents Axa France, les assurés afin de prendre la décision en application de l’ensemble des procédures internes, du rationnel technique des éléments contractuels. De toute autre tâche en lien avec les activités du service Les activités principales du poste : Réceptionner, étudier et répondre aux demandes faites par les Clients (partenaires ou assurés) par tous les moyens existants (emails, courriers, téléphone) ; Analyser les rapports, prendre position et éventuellement appliquer les conventions ; Étudier de manière approfondie les garanties du contrat et les déclarations de l'assuré ; Assister, conseiller er répondre aux demandes d'information et de gestion relatives à un sinistre provenant des différents interlocuteurs ; Participer à l'ensemble des taches du service, y compris les nouveaux projets. En cours d'apprentissage dans le domaine des assurances de personnes ; Aisance avec les outils bureautique ; Aisance relationnelle ; Une expérience en gestion prestations assurance de personnes serait un plus BTS Assurance en alternance Contrat d’apprentissage ou de professionnalisation de 2 ans Le Groupe AXA est un leader mondial de l’assurance et de la gestion d’actifs, avec 160 000 collaborateurs au service de 105 millions de clients dans 62 pays. Nous protégeons et conseillons nos clients à chaque étape de leur vie, en proposant des produits et services qui répondent à leurs besoins dans les domaines de l'assurance, de la prévoyance, de l'épargne et de la gestion des actifs.  Notre mission: Donner à chacun les moyens de vivre une vie meilleure.  Nos valeurs: Customer first, Intégrité, Courage et One AXA En rejoignant AXA Partners, vous travaillerez dans une entreprise responsable qui offre une véritable culture d'expertise et de diversité. Notre objectif est d'accélérer le développement des compétences de nos collaborateurs, tout en proposant une rémunération attractive et compétitive ainsi que des opportunités d’évolution professionnelle. Au sein du Groupe AXA, nous œuvrons tous ensemble pour donner à chacun les moyens de vivre une vie meilleure et c’est une fierté extraordinaire.  AXA Partners est une BU transversale d’AXA qui propose une large gamme de solutions en matière de services d’assistance, d’assurance voyage et de couverture de crédit.  Le rôle d’AXA Partners est aussi de mettre en œuvre des solutions innovantes issues de l’unité AXA Innovation.  Notre mission est d’aider nos entreprises clientes à enrichir l’expérience de leurs clients, avec plus de 9 000 collaborateurs à leur service partout et à tout moment. AXA il y a 10 jours - Continuer pour postuler Signaler l'offre"
4,Consultant Débutant - Analyste Comptable Secteur Financier,Ernst & Young,,"Dans le cadre de son développement pour le secteur des Services Financiers, EY recherche des Consultants Juniors, ayant eu une première expérience dans ce domaine.  Au sein du département FSO (Financial Services Office), 1 400 collaborateurs en France combinent leurs expertises métiers et fonctionnelles, afin de répondre efficacement aux besoins de nos clients en gestion d’actifs, banque ou assurance. Dans un contexte en perpétuel changement et hautement réglementé, nous apportons ensemble à nos clients des conseils pour les aider à gérer les incertitudes et les opportunités de ce secteur.  Notre cabinet d’expertise comptable, FAAS Support, membre du réseau EY, est spécialisé dans l’externalisation des fonctions comptables et financières pour le compte de clients issus des secteurs Banque/Assurance/Asset Management, filiales ou succursales appartenant à des grands groupes internationaux.  FAAS Support intervient également en support des équipes EY du secteur financier : L’audit légal, Les projets de conseil en organisation et performance de la fonction finance, Les missions de remédiation comptable.   Votre profil Diplômé d'une formation Bac+5 type école de commerce/ingénieur, Master CCA/DSCG, vous bénéficiez d’une expérience de 2 ans minimum sous forme de stages/CDD/alternance ou CDI récent, au sein d'un cabinet d'audit, d'un établissement bancaire, d'une compagnie d'assurance, d’une mutuelle, d'un fond ou d’un cabinet de conseil sur des sujets comptables et financiers, vous garantissant un socle technique solide. Vous disposez notamment de compétences dans certains des domaines suivants au sein du secteur financier : Normes IFRS : notamment IAS 39, IFRS 9, IFRS 15, IFRS 16, IFRS 4, IFRS 17 Règlementations bancaires et assurancielles : BCBS 239, Corep, Finrep, Surfi, Bâle 2, Solvabilité 2 Consolidation en Normes Françaises et Normes IFRS Comptabilité des Actifs Financiers, Comptabilité Technique des Passifs d’Assurance Opérations de back-offices comptables Contrôle de Gestion Projets de transformation de la Fonction Finance Management de transition Autonome et rigoureux, vous vous adaptez rapidement aux nouveaux environnements. Vos qualités relationnelles et votre capacité à travailler aussi bien seul qu’en équipe seront des atouts pour réussir dans cette fonction. Une bonne maîtrise de l'anglais est indispensable. Dans le cadre de sa politique Diversité, EY étudie, à compétences égales, toutes candidatures dont celles de personnes en situation de handicap.  Vos Missions Basé à Paris avec des déplacements fréquents chez nos clients, vous intervenez sur des missions d’accompagnement comptable, et règlementaire, soit de manière autonome sous la supervision directe de nos clients, soit de manière intégrée sous la conduite d’un collaborateur EY : Missions de tenue comptable et conformité réglementaire : la préparation des états financiers, la réalisation des états réglementaires, la préparation de reporting périodiques, la compilation de données de gestion, la tenue comptable, le montage de dossiers bilan ; Missions de support opérationnel chez nos clients : vous intervenez sur les chantiers comptables et finances des projets que le groupe EY mène dans les directions financières de nos clients ; vous renforcez les équipes comptables et finance chez nos clients ; Missions de support à l’audit : vous intervenez sur les missions d’audit du groupe EY, en renfort des équipes dédiées ; Missions de remédiation comptable : vous intervenez chez nos clients lorsqu’ils rencontrent des problèmes ou des anomalies dans leurs traitements comptables, par exemple pour mettre à niveau la comptabilité à la suite d’un incident, ou pour mener des travaux de contrôle et de justification des comptes, contrôles comptables spécifiques tels que notamment les rapprochements bancaires ; l'analyse de comptes ; le suivi de comptes de suspens ; le traitement comptable d’opérations de back-office banque/assurance et le rapprochement entre les systèmes de gestion et de comptabilité. Vous travaillez ainsi dans un environnement international et stimulant et pour des clients Banque, Assurance et Asset Management. À propos d’EY  EY rassemble aujourd’hui 284 000 associés et collaborateurs à travers le monde dans plus de 150 pays. Grâce à ce réseau, dont le niveau d’intégration et l’ampleur internationale sont gages d’une même excellence partout dans le monde, EY renforce sa position de leader mondial de l’Audit, du Conseil, des Transactions, de la Fiscalité et du Droit. Nous faisons grandir les talents afin, qu’ensemble, ils accompagnent les organisations vers une croissance pérenne. Et notre engagement envers nos équipes commence avec cette promesse : quel que soit votre parcours avec nous, l’expérience EY dure toute une vie. Vivez l’expérience EY, Rejoignez-nous ! Dans le cadre de sa politique Diversité, EY étudie, à compétences égales, toutes candidatures dont celles de personnes en situation de handicap. Il y a plus de 30 jours - Continuer pour postuler Signaler l'offre"
5,Consultant en consolidation (H/F),primexis,35 000 € - 39 000 € par an,"Pour poursuivre notre croissance, le département Consolidation Reporting Controlling recherche un: Consultant en Consolidation (H/F)  Au sein de notre département Consolidation Reporting Controlling (100 consultants), vous interviendrez auprès d'une clientèle de grands groupes de tout secteur d'activité (Assurance, Banque, Industrie, Service).  Vous participerez à des missions de conseil en consolidation auprès des clients du cabinet.  Dans un premier temps, vous interviendrez en tant que consultant sur des missions d'externalisation (missions réalisées au sein de nos équipes à la Défense pour des groupes côtés de taille moyenne) Dans un second temps, vous interviendrez sur des missions d'assistance (réalisées auprès de notre clientèle de grands groupes, en environnement SAP BFC ou HFM).  Sur l'ensemble de ces missions vous serez piloté et formé par une équipe de Senior Consultants, Managers et Associés très expérimentés.  De formation ESC ou Master 2, vous disposez idéalement d'une première expérience en consolidation acquise en cabinet ou en entreprise. Vous êtes dynamique, avez envie de travailler en équipe et de découvrir des environnements différents, autour de sujets techniques de consolidation. Votre anglais est courant.  Merci de joindre à votre candidature votre CV actualisé au format Word ou pdf. il y a 13 jours - Continuer pour postuler Signaler l'offre"
6,Chargé-e de relations clients Administrateurs de biens,BPCE SEF,,"Description de l'entreprise Le Groupe BPCE, avec son modèle de banque coopérative universelle, représenté par 9 millions de sociétaires, est le deuxième acteur bancaire en France. Avec 105 000 collaborateurs, il est au service de 30 millions de clients dans le monde, particuliers, professionnels, entreprises, investisseurs et collectivités locales. Il est présent dans la banque de proximité et l’assurance en France avec ses deux grands réseaux Banque Populaire et Caisse d’Epargne ainsi que la Banque Palatine.  La Compagnie Européenne de Garanties et Cautions, filiale du Groupe BPCE, est la société spécialiste multi-métier de l’assurance-caution et de la garantie financière. La Compagnie propose ses offres sous les marques Saccef, Cegi et Socamab pour sécuriser les financements de projets des particuliers et des entreprises et répondre aux obligations légales des professions réglementées. L’immobilier est la dominante de la gamme de ses offres : cautions de prêts à l’habitat, garanties financières d’achèvement, garanties loi Hoguet, cautions de marché aux artisans et aux entreprises, etc… Poste et missions Le/la Chargé-e de Relations Clients assure la gestion des clients « Administrateurs de Biens-Agents Immobiliers » de l’entrée en relation et tout au long de la vie du contrat en collaboration avec les autres Directions de CEGC. Entrée en relation Collaborer à la préparation de la prospection et à l’entrée en relation avec le client en coordination avec les Chargés d’affaires Enregistrer les dossiers dans l’applicatif ad hoc Contrôler la complétude des dossiers et leur conformité Pré-étudier les dossiers sur certaines activités Contractualisation Rédiger les contrats, avenants et actes de garanties Mettre en place les sûretés et contre-garanties en relation avec la Direction juridique et les Partenaires Assurer le lien avec les Chargés d’affaires, les juristes et les comptables. Gestion des garanties & cautions et suivi de la relation clients Réaliser le suivi d’activité Gérer et suivre l'émission de cautions, garanties et assurances (standards et spécifiques) et en assurer le renouvellement dans le respect du schéma délégataire Suivre et réaliser la gestion administrative des clients (collecte de bilans et des audits, modification des lignes, taux, gestion des mainlevées, …) Gérer la relation comptable (factures, primes, encaissements, impayés…) Détecter et remonter les opportunités commerciales aux chargés d’affaires et/ou optimiser l’utilisation des lignes Accompagner les clients dans l’utilisation des services en ligne Contribuer à l’atteinte des objectifs des Chargés d’affaires et des Analystes (taux d’efficacité, de pénétration et chiffre d’affaires) Qualité de service Veiller à la qualité et l’adéquation des réponses apportées (harmonisation des pratiques, discours uniforme en adéquation avec les modes opératoires définis) et gérer les éventuelles réclamations Maintenir la qualité de service en taux de décroché et délai de réponse Veiller à la conformité des données saisies et au respect des procédures Contribuer à l’amélioration continue du service Profil et compétences requises Des compétences dans le traitement de dossiers clients entreprises dans le secteur banque – assurance sont requises Maîtrise de la relation client par téléphone, sens commercial – orientations résultats et clients Qualités rédactionnelles Rigueur, autonomie, sens des priorités, bonne capacité d’organisation personnelle, réactivité Esprit d’équipe Maîtrise du pack office La maîtrise des techniques d’analyse du risque serait appréciée  Bac+ 2 minimum - Expérience souhaitée (2/3 ans minimum) dans un réseau bancaire ou un établissement financier ou une compagnie d’assurance Informations complémentaires sur le poste Convention Collective Nationale des Sociétés d’Assurance GROUPE BPCE il y a 3 jours - Continuer pour postuler Signaler l'offre"
7,CHARGE DE CLIENTELE PROFESSIONNELLE (H/F),CAISSE REGIONALE DU CREDIT MUTUEL ANTILLES GUYANE,,"Présentation de la société La stratégie du Crédit Mutuel Alliance Fédérale se développe selon 4 axes : BANCASSURANCE: La bancassurance propose une offre intégrée correspondant aux besoins de nos sociétaires en banque et en assurance. MUTUALISME: Notre manière d'être et d'agir repose sur le respect et la confiance. L'intérêt du sociétaire prime sur la structure. TECHNOLOGIE: Nous maîtrisons les technologies nouvelles, pour les mettre au service des sociétaires et des Caisses. BANQUE DE PROXIMITÉ Concernant le Crédit Mutuel, la relation avec le sociétaire est assurée par des Caisses autonomes, impliquées dans le tissu local. par l'utilisation des outils de banque à distance. Avec le rachat du CIC en 1998, le Groupe Crédit Mutuel Alliance Fédérale accède à un réseau international présent sur tous les continents. Sur cette base, la stratégie de développement international va notamment s'appuyer sur l'expertise du Groupe en matière de bancassurance et de flux monétiques ainsi que sur les assurances et le crédit à la consommation. Aujourd'hui le Groupe Crédit Mutuel Alliance Fédérale poursuit son internationalisation. Mission Mission principale Le Crédit Mutuel Antilles-Guyane recherche un(e) chargé(e) de clientèle de professionnels confirmé ayant déjà une expérience réussie sur ce marché. La mission du Chargé de clientèle de Professionnels est de développer, gérer et fidéliser un portefeuille de clients « professionnels ». Il intervient sur l'ensemble de la relation commerciale avec les clients de son portefeuille et peut gérer à la fois la dimension « privée », qui peut parfois être patrimoniale, et la dimension « professionnelle », en autonomie. Il leur vend, dans le cadre d'une approche globale, les produits et services leur permettant d'optimiser leur gestion courante et les accompagne dans la réalisation de leurs projets. Il vise impérativement la maîtrise des risques sur un marché exposé et la rentabilité de son portefeuille. Par des actions de prospection et d'entrée en relation, il enrichit son portefeuille et contribue au développement commercial de sa Caisse sur ce marché spécifique. Activités / Tâches spécifiques du poste Le/la chargé(e) de clientèle professionnelle : Prépare, organise et suit son activité commerciale Prépare et conduit ses entretiens Prospecte de nouveaux clients Assure le suivi de la relation Analyse les risques, anticipe et gère leur dégradation Profil Connaissances et compétences Bonne connaissance des produits et services proposées à la clientèle. Bonne culture économique et financière. Maîtrise des outils de bureautique (Excel, Word, Powerpoint) et du système d'information du Groupe Crédit Mutuel Alliance Fédérale. Bonne culture économique et financière. Savoir-être - savoir-faire Vous possédez de bonnes qualités relationnelles Votre aptitude à la négociation commerciale et votre aisance relationnelle constituent les moteurs essentiels de votre réussite. Vous disposez de bonnes capacités d'analyse et de synthèse. Vous êtes une personne rigoureuse, organisée et fiable. Vous êtes capable d'autonomie. Vous faites preuve de réactivité et de dynamisme.  Merci d’adresser votre candidature (CV à jour et lettre de motivation) par mail à recrutementscmag@creditmutuel.fr. Vous savez communiquer et travailler en équipe. Certification(s)/Accréditation(s) Certification AMF Avantages Rémunération fixe versée sur 14 mois RTT Intéressement, participation et abondement Plan épargne entreprise Contrat de santé collectif Prévoyance Conditions bancaires et assurances préférentielles Politique parentale avantageuse  Société : CAISSE REGIONALE DU CREDIT MUTUEL ANTILLES GUYANE | Réf. : A038650 | Date de publication : 23/04/2021 Credit Mutuel Il y a plus de 30 jours - Continuer pour postuler Signaler l'offre"
8,CDI - Chargé(e) de conformité (H/F),Younited Credit,,"L’OFFRE D’EMPLOI VIDÉOS INFOS PRATIQUES CONTRAT :CDI TEMPS DE TRAVAIL :Temps plein EXPÉRIENCE :De 2 à 5 ans NIVEAU D’ÉTUDES :Master, DESS, DEA, Bac+5 Votre mission chez Younited Credit : La mission de Younited, c’est simple : Make your projects real safe and simple ! En clair ? Rendre le système bancaire plus juste et transparent. Créée en 2009, YOUNITED CREDIT est la seule plateforme web de crédits à la consommation en Europe disposant d’agréments bancaires européens. Notre modèle permet à des investisseurs (personnes morales ou physiques) de financer directement des crédits à la consommation de 1000 à 50 000 euros à taux fixes et amortissables à des particuliers. 100% digital, les emprunteurs obtiennent une réponse sous 24 heures à leur demande. Nous nous sommes implantés en Italie en 2016, en Espagne en 2017, au Portugal en 2018 et en Allemagne en 2020. Guess who’s next ? Nous avons levé plus de 190 Millions € auprès d’investisseurs reconnus en Europe. En 2019, nous avons été reconnus comme l’une des startups les plus prometteuses du pays en intégrant les Next 40. Nous poursuivons notre croissance grâce à notre offre de partenariat visant à proposer nos technologies, opérations et expertises à des partenaires souhaitant lancer ou compléter leur propre activité de financement. Ainsi, nous sommes déjà partenaires avec FREE, BPI, N26, Fortuneo, Tediber, Lydia et Microsoft. De nombreux autres partenariats sont à venir, stay tuned ! Pour réaliser tous nos projets les plus fous, Younited Credit peut compter sur notre super équipe de 400 Younies qui ont financé plus de 2 milliards d'€ de prêts. Ce que l'on recherche chez Younited ? Un peu de folie, beaucoup d’agilité, passionnément créatif(ve), follement bienveillant(e) et pas du tout prise de tête ! Ah et EN PLUS ? de l’expertise dans ton domaine ! ;) Si ce petit aperçu de Younited te donne envie de rejoindre l’aventure et que tu t’identifies à nos valeurs, lance-toi et postule ! Dans le cadre du développement de la fonction Compliance / Juridique et Audit Interne, et directement rattaché(e) au Secrétaire Général, nous recherchons un(e) Chargé(e) de Conformité en charge des missions suivantes : Participer aux analyses préalables aux lancements de nouveaux produits ou partenariats ; Participer à la mise en œuvre ou formuler des recommandations aux opérationnels pour la mise en œuvre des obligations réglementaires ; Maintenir le dispositif de lutte contre le blanchiment d’argent et le financement du terrorisme, assurer les formations et mettre en œuvre les évolutions réglementaires afférentes ; Structurer le dispositif de déontologie au sein de YOUNITED ; Participer à des missions de contrôle ; Coordonner les besoins IT liés à la mise en œuvre des contrôles relatifs à la conformité ; Participer à la rédaction des rapports réglementaires (RACI, QLB, RCSI, LCB-FT, notamment) ; Assister le Responsable dans ses échanges avec les autorités de contrôle (ACPR, AMF, CNIL, etc.) et les actionnaires (préparation des comités). Cette liste de tâches est non exhaustive et évoluera en même temps que l’activité et la structure de Younited. Si tu souhaites évoluer dans un environnement stimulant, en très forte croissance, et contribuer à la structuration et à l’organisation du département Compliance & Audit interne chez l’un des acteurs majeurs de la Fintech en Europe, ce poste est fait pour toi ! Profil de candidat recherché : Niveau d’études : BAC +5 de formation Ecole de Commerce ou Equivalent Universitaire (Master 2 Banque-Finance, Droit Bancaire & Financier, Contrôle des risques bancaires et conformité) Tu justifies au minimum d'une expérience de 3 à 4 ans au sein d'une Fintech ou établissement financier (banque, assurance, société de gestion) ou bien cabinet d'avocats Tu es curieux(se), rigoureux(se), à l’aise à l’écrit (compétences rédactionnelles requises) D’un naturel positif et enthousiaste, tu sais interagir avec différents départements et es force de proposition Tu es désireux(se) d’avoir une vision globale de l’ensemble des métiers d’une FinTech innovante et appréciez l’esprit « start-up » La maîtrise de l’anglais est indispensable  Les autres avantages à rejoindre Younited ?  Localisation en plein centre de Paris (Notre-Dame de Lorette, Paris 9ème) Une culture d'entreprise très forte Un ""on-boarding"" sur mesure pour faciliter ton intégration et te permettre de découvrir rapidement toutes les équipes Des animations mensuelles (tournois sportifs, conférences, afterwork ...) 1 journée par an offerte pour faire notamment du bénévolat dans une association un Younitour (notre séminaire d'entreprise) inoubliable (les derniers étaient à Ibiza, ou encore en Sicile ;)) Possibilité de télétravail   Package proposé: Rémunération selon ton profil Tickets restaurant et 50% du titre de transport remboursé Il y a plus de 30 jours - Continuer pour postuler Signaler l'offre"
9,DEV OPS F/H,Links consulting,,"Descriptif du poste: Au sein d'une grande banque française, vous serez amené à faire : Développement API(s) et de processus automatisés en Python (niveau d'expertise confirmé) Production de code de qualité, de tests unitaires, non régression, de tests d'intégration Grâce à votre expertise OPS dans le stockage de données et de l'administration système (LINUX); vous aurez en charge : Administration d'infrastructure de Block storage (en PURE STORAGE ou DELL EMC) Gestion de projet d'intégration, proposition d'amélioration et activité d'assistance Rédaction de documentations à destination des utilisateurs, de suivi des mises à jour des procédures et documents techniques,  Profil recherché: Minimum 5 ans d'expérience dans ce type d'infrastructure Anglais opérationnel Expertise et maîtrise de PYTHON (de niveau confirmé) Vous êtes dynamique et avez envie de développer, vous êtes une force de proposition Vous avez une forte appétence pour l'environnement des infrastructure Cloud Technologies : Maîtrise de Python, Notions de Docker; Kubernetes ou MS Azure, AWS Au niveau du développement web, mobile et API : notions de Jenkis; XL Deploy, Shell unix; git, github Stockage : Maîtrise de EMC, Stockage PureStorage, Scality. Notions : NetApp, SAN Méthodologie : Agile, Scrum Serveurs : Open Source, Openstack, CentOS, Redhat  Entreprise: Fondé en 2013, Links Consulting est un cabinet de conseil en stratégie et management, spécialisé dans la gestion des risques bancaires et financiers. Nous menons des missions de conseil auprès de nos clients en transformation. Depuis 2017, Links Consulting BI & Technologie, filiale du groupe Links Consulting, accompagne ses clients dans la digitalisation de leurs processus, sur des projets en Big Data, Cybersécurité et IA. Nous intervenons dans plusieurs secteurs d’activités : Banque, Assurances, Asset Management, Private Equity, Securities Services Corporate & Public Nous sommes présents en France, en Belgique, au Luxembourg, au Maroc et en Tunisie. La vocation des consultants du groupe est d’apporter aux clients des conseils avisés et des idées originales qui auront un impact direct et concret sur la réussite de leurs projets et, en particulier, sur leurs projets de transformation Apec.fr il y a 2 jours - Continuer pour postuler Signaler l'offre"
