Unnamed: 0,title,company,salary,summary
0,CONSEILLER ACCUEIL EN ALTERNANCE (H/F),CAISSE REGIONALE DU CREDIT MUTUEL MASSIF CENTRAL,,"Présentation de la société La stratégie du Crédit Mutuel Alliance Fédérale se développe selon 4 axes : BANCASSURANCE: La bancassurance propose une offre intégrée correspondant aux besoins de nos sociétaires en banque et en assurance. MUTUALISME: Notre manière d'être et d'agir repose sur le respect et la confiance. L'intérêt du sociétaire prime sur la structure. TECHNOLOGIE: Nous maîtrisons les technologies nouvelles, pour les mettre au service des sociétaires et des Caisses. BANQUE DE PROXIMITÉ Concernant le Crédit Mutuel, la relation avec le sociétaire est assurée par des Caisses autonomes, impliquées dans le tissu local. par l'utilisation des outils de banque à distance. Avec le rachat du CIC en 1998, le Groupe Crédit Mutuel Alliance Fédérale accède à un réseau international présent sur tous les continents. Sur cette base, la stratégie de développement international va notamment s'appuyer sur l'expertise du Groupe en matière de bancassurance et de flux monétiques ainsi que sur les assurances et le crédit à la consommation. Aujourd'hui le Groupe Crédit Mutuel Alliance Fédérale poursuit son internationalisation. Mission Mission principale Premier interlocuteur des clients et prospects, le conseiller accueil assure un accueil et un service de qualité. A l'écoute de leurs besoins, il renseigne les clients et les oriente vers les commerciaux concernés. Il réalise les opérations courantes de guichet dans le respect des consignes de sécurité et des procédures. Il vend les produits et services bancaires courants à la clientèle Activités / Tâches spécifiques du poste Accueille, écoute et oriente les clients et les prospects: Contribue à la sécurité des biens et des personnes. Assure l'accueil des clients. Manifeste de l'écoute et de la disponibilité devant les clients. Identifie les demandes devant être prise en charge par un commercial.  Traite les demandes courantes des clients: Traite les opérations des clients avec efficacité. Intègre la dimension risques dans ses activités.  Assure des activités commerciales: Actualise, complète sa connaissance du client et identifie ses besoins. Propose et vend des produits et services de la banque au quotidien adaptés aux besoins. Participe à des rendez-vous clients.  Facilite les activités des commerciaux: Prend des rendez-vous. Transmet les informations utiles aux commerciaux. Vérifie la conformité des dossiers.  Assure des activités de gestion courante: Effectuer les vérifications et ajustements comptables requis  Travaille en équipe Profil Connaissances et compétences Bonne connaissance des produits et services proposés à la clientèle. Bonne culture économique et financière Maîtrise des outils de bureautique (Excel, Word, Powerpoint). Connaissance des règles et procédures de sécurité.  Savoir-être - savoir-faire Faire preuve de réactivité et de dynamisme. Savoir communiquer et travailler en équipe. Posséder de bonnes qualités relationnelles Votre aptitude à la négociation commerciale et votre aisance relationnelle constituent les moteurs essentiels de votre réussite. Avoir le sens de l'écoute Avantages Rémunération fixe versée sur 13 mois RTT Intéressement, participation et abondement Plan épargne entreprise et PERCO Contrat de santé collectif Prévoyance Retraite supplémentaire prise en charge à 100% par l’employeur Conditions bancaires et assurances préférentielles Politique parentale avantageuse Informations complémentaires Plusieurs lieux d'affectations : MOULINS, MONTLUCON, MONTLUCON LES MARAIS, VICHY, YZEURE, ST POURCAIN SUR SIOULE, COMMENTRY.  Société : CAISSE REGIONALE DU CREDIT MUTUEL MASSIF CENTRAL | Réf. : A037752 | Date de publication : 12/04/2021 Credit Mutuel Il y a plus de 30 jours - Continuer pour postuler Signaler l'offre"
1,Charge clientele banque H/F,Proman,,"Nous recherchons pour le compte de notre client spécialisé dans le domaine banque assurance, 10 téléconseillers au sein d'un centre de relation clientèle. Vos missions principales seront : réceptionner les appels entrants des clients, qualifier les demandes clients, prise de rdv avec conseiller clientèle, actualiser les informations relatives aux clients  Une période de formation de 3semaines est assurée en interne. Accompagnement sur le poste avec animateur référent. Semaine de Mardi à Samedi sur une amplitude horaire 7h50 à 18h10 (selon les besoins et planning). Contrat de 35h avec une demi-journée de libre le jeudi.  Pour plus d'offres d'emploi, téléchargez notre application myPROMAN intérimaires sur App Store ou Google Play.  Compétences requises: Capacité à collaborer / Travail d'équipe Capacité d'adaptation Ecoute active Maitrise informatique et téléphonique  Vous avez un bon relationnel et le sens du service Aujourd'hui - Continuer pour postuler Signaler l'offre"
2,ECONOMISTE STATISTICIEN - H/F,La Banque de France,,"Présentation de la Direction générale  La Direction Générale de la Stabilité financière et des Opérations, la DGSO, exerce une grande partie de ses activités dans le cadre de l'Eurosystème. Mise en œuvre de la politique monétaire, conduite des opérations de change, gestion des réserves, promotion du bon fonctionnement des systèmes de paiement, stabilité financière sont autant de domaines dans lesquels la DGSO est un acteur majeur. Les activités du domaine ont 3 caractéristiques communes : elles s'exercent dans un fort contexte de compétition, voire de concurrence ; elles sont largement ouvertes sur l'extérieur et l'international ; elles se signalent par une exposition permanente aux risques.  Présentation du Service  Le Service d'évaluation des Risques et des Vulnérabilités financières, au sein de la Direction de la Stabilité Financière, est chargé de l'identification et l'évaluation des risques et vulnérabilités financières pesant sur le système financier : banques, assureurs, non-bank financial intermediation (ex shadow banking) notamment gestionnaires d’actifs. Il est en charge de l’Évaluation des risques du système financier français (ERS), publication semestrielle de la Banque de France.  Descriptif de mission  Au sein du pôle Interconnexions, vous contribuez aux travaux centrés sur les risques et vulnérabilités liés aux interconnexions entre les principaux acteurs du système financier (banques, assurances, fonds ) et non financier (entreprises), les phénomènes de contagion, les formations de bulles). Les principales contributions sont : . les travaux de recherche, et d’analyse à destination de la direction et du gouvernement de la Banque . la préparation des dossiers du HCSF et à l’élaboration des positions de la Banque dans les instances internationales (représentation de la Banque à la BCE, FSB, BRI) . la préparation du rapport semestriel de l’ERS dont le rapport est public  Profil recherché  Formation recherchée : école d’ingénieur, école d’informatique, master en finance, école de commerce Compétences : Bonnes connaissances en finance de marché (et idéalement connaissances en données financières) Bonnes connaissances en statistiques/économétrie et capacité à programmer sous R ou Python Bonnes capacités rédactionnelles en français et en anglais Esprit de synthèse Méthode et rigueur Langue Anglaise-Niveau Bright test : de 4 à 5 Qualités : Esprit d’équipe, curiosité, capacité d’initiative, réactivité La Banque de France est une institution socialement responsable, attachée à la diversité de ses personnels. Des aménagements de poste peuvent être organisés pour tenir compte des handicaps des personnes recrutées. Publiée à l'instant - Continuer pour postuler Signaler l'offre"
3,LICENCE PROFESSIONNELLE BANQUE ASSURANCE FINANCE (H/F),CAISSE FEDERALE DE CREDIT MUTUEL,,"Présentation de la société Le Crédit Mutuel : un employeur différent Comment ? Par son organisation décentralisée qui fait de lui la seule banque coopérative non cotée en bourse de France. Ce qui compte d’abord au Crédit Mutuel, c’est la qualité de la relation avec nos clients qui sont les propriétaires de notre Groupe. Cet objectif fait du Crédit Mutuel la marque préférée des français dans le domaine bancaire depuis 14 ans. Le Crédit Mutuel se singularise également par des valeurs qui constituent l’ADN de l’entreprise depuis plus de 130 ans : une forte autonomie au quotidien avec de réels pouvoirs de décision, de vraies responsabilités. Une entreprise dans laquelle exigence rime avec bienveillance, dans laquelle le mérite par la promotion interne est reconnu et qui offre de véritables perspectives de carrières. Intégrer le Crédit Mutuel, c’est faire partie d’un collectif qui veut réinventer l’expérience client dans de nombreux domaines : la banque, l’assurance, la téléphonie, la location de véhicules ou de vélos, la commercialisation de biens immobiliers, l’informatique, la logistique, ... Autant d’activités dans lesquelles vos idées et vos compétences seront mises en valeur. Rejoindre un Groupe fort de ses marques telles que Crédit Mutuel, CIC, la BECM, Cofidis, Euro Information, …, c’est faire partie d’une aventure humaine et technologique dans laquelle vous prendrez toute votre place pour construire avec nous le monde de demain. Mission Mission principale Premier interlocuteur des clients et prospects, le Conseiller accueil assure un accueil et un service de qualité. A l'écoute de leurs besoins, il renseigne les clients et les oriente vers les commerciaux concernés. Il réalise les opérations courantes de guichet dans le respect des consignes de sécurité et des procédures. Il vend les produits et services bancaires courants à la clientèle. Activités / Tâches spécifiques du poste Accueille, écoute et oriente les clients et les prospects : Contribue à la sécurité des biens et des personnes. Assure l'accueil des clients. Manifeste de l'écoute et de la disponibilité devant les clients. Identifie les demandes devant être prises en charge par un commercial. Traite les demandes courantes des clients : Traite les opérations courantes des clients avec efficacité. Intégre la dimension risques dans ses activités. Assure des activités commerciales : Actualise, compléte sa connaissance du client et identifie ses besoins. Propose et vend des produits et services de la Banque Au Quotidien adaptés aux besoins. Facilite les activités des commerciaux : Prend des rendez-vous. Transmet les informations utiles aux commerciaux. Vérifie la conformité des dossiers  Assure des activités de gestion courante : Effectuer les vérifications et ajustements comptables requis Travaille en équipe Profil Connaissances et compétences Bonne connaissance des produits et services proposées à la clientèle. Bonne culture économique et financière. Maîtrise des outils de bureautique (Excel, Word, Powerpoint) et du système d'information du Groupe Crédit Mutuel Alliance Fédérale. Connaissance des règles et procédures de sécurité. Savoir-être - savoir-faire Votre aptitude à la négociation commerciale et votre aisance relationnelle constituent les moteurs essentiels de votre réussite. Vous savez communiquer et travailler en équipe. Avantages Rémunération fixe versée sur 13 mois RTT Intéressement, participation et abondement Plan épargne entreprise et PERCO Contrat de santé collectif Prévoyance Retraite supplémentaire prise en charge à 100% par l’employeur Conditions bancaires et assurances préférentielles Politique parentale avantageuse  Société : CAISSE FEDERALE DE CREDIT MUTUEL | Réf. : A039299 | Date de publication : 24/03/2021 Credit Mutuel il y a 27 jours - Continuer pour postuler Signaler l'offre"
4,Conseiller(ère) de Clientèle Professionnelle,Crédit Agricole,,"Le Crédit Agricole d’Ile-de-France est la 1ère Caisse Régionale du Groupe Crédit Agricole : aujourd’hui ce sont 275 agences et 3900 collaborateurs répartis sur 8 départements qui sont au service des projets de 1,5 million de clients Franciliens. Evoluez à nos côtés au sein d’une banque mutualiste, connectée et résolument orientée clients ! 100% humain et 100% digital, c’est un combo gagnant qui nous mène vers notre ambition : devenir la banque préférée des Franciliens. 88 % des collaborateurs nous recommandent en tant qu’employeur, c’est bon signe ! Nos valeurs mutualistes de proximité, responsabilité et solidarité mettent au premier plan la bienveillance et l’esprit d’équipe. Le Crédit Agricole d'Ile-de-France recrute des conseillers de clientèle professionnelle pour ses agences.  Vos missions : Accompagnez vos clients sur le plan professionnel en facilitant le développement de leur activité, et plan personnel avec la gestion de leur patrimoine Conseillez vos clients variés (entrepreneurs, artisans, commerçants…) sur leurs besoins multiples de financement, d’assurance ou encore de placements Gérez et développez votre portefeuille de clients professionnels tout en maîtrisant les risques associés Assurez une veille active des évolutions métiers et de l’actualité, pour proposer avec votre analyse financière des structures, les produits et services les plus adaptés à vos clients. Participez à la performance globale de votre agence  Votre intégration et évolution: Au Crédit Agricole Ile-de-France, nous vous donnons l’occasion de vous former à travers un parcours métier à l’Ecole CADIF. L’objectif : vous donner toutes les clés, à travers une pédagogie immersive et de la pratique concrète. Nous mettons en œuvre nos ateliers et entraînements avec des innovations et expérimentations, notamment en testant des nouvelles technologies comme la réalité virtuelle. Tout au long de votre parcours, vous serez accompagnés par nos coachs, formateurs et managers pour atteindre vos objectifs professionnels. Votre équipe est également disponible pour vous aider à monter en compétence et développer votre réseau. À l'écoute de vos projets et de vos motivations, notre équipe RH dédiée œuvre à vos côtés pour assurer une gestion dynamique de votre évolution.  Devenir conseiller de clientèle professionnelle au Crédit Agricole d’Île-de-France ? Ce sont nos collaborateurs qui en parlent le mieux ! Découvrez leur portrait en vidéo : Florent : https://www.youtube.com/watch?v=uirkck4hly8 Matthieu : https://www.youtube.com/watch?v=yoagwtHLQdY Vous avez des compétences bancaires, issues d'une première expérience réussie dans le secteur bancaire ou un diplôme en banque / assurance ? Vous êtes celui ou celle que nous recherchons ! Votre expertise vous permettra d'accompagner au mieux vos clients et de garantir leur satisfaction. Si l'excellence relationnelle, le sens du service client et la motivation sont vos atouts clés, cela tombe bien : votre savoir-être et votre personnalité sauront également faire la différence lors de notre process de recrutement. Vos compétences clés : Expérience sur le marché des particuliers et/ou des professionnels Goût pour le service client Appétence commerciale Capacité d’écoute et d’adaptation Agilité  Parce que le handicap ne doit plus être un handicap en entreprise, nous avons ouvert nos métiers à tous les talents, sans exception. Il y a plus de 30 jours - Continuer pour postuler Signaler l'offre"
5,Responsable Gestion de Sinistres H/F,Crédit Agricole Assurances,,"Description du poste Dans le cadre d’une création de poste, La Direction des Opérations de La Médicale recherche un Responsable Sinistre. Vous serez directement rattaché à la Directrice des Opérations. Le pôle, qui compte 58 collaborateurs, est composé de 6 métiers pilotés par des managers et/ou des experts : prévoyance, assurance emprunteur, dommages aux biens, automobile, responsabilité civile professionnelle et protection juridique. Vous intégrer La Médicale dans un contexte stimulant et challengeant d’un nouveau plan stratégique auquel vous êtes associé ! En effet, vous gérez et pilotez des projets de transformation et des projets structurants impactant pour la Direction des Opérations. Et concrètement, de quoi s’agit-il sur le terrain ? Vous maîtrisez la stratégie et déclinez en plans d'actions, au regard des enjeux de votre activité, en tenant compte de la qualité attendue ; Vous pilotez l'activité et adaptez l’organisation en garantissant l'adéquation des ressources et des compétences aux enjeux de votre activité ; Vous animez les managers et collaborateurs de votre périmètre afin de promouvoir la cohésion et de renforcer l’adhésion aux projets stratégiques ; Vous apportez une expertise et/ou un soutien aux équipes opérationnelles sur les sujets à forts enjeux ; Vous assurez l’élaboration, le suivi et le reporting budgétaire de votre activité et vous mettrez en œuvre un dispositif de contrôle interne pour la sécuriser ; Vous conseillez et formulez des recommandations auprès de la Direction ; Vous représentez l’équipe lors d’instance de discussion / décision auprès des partenaires et/ou des différentes directions.  Vous hésitez encore à nous rejoindre ? Sachez que l’humain est au cœur du Plan Moyen Terme (PMT) de Crédit Agricole Assurances afin « d’agir chaque jour dans l’intérêt de nos clients et de la société », la raison d’être de notre groupe. Et après ? En rejoignant La Médicale, vous rejoignez aussi le Groupe Crédit Agricole SA et c’est tout autant d’opportunités qui s’offrent à vous dans le cadre de votre carrière. Alors, prenez part à l’aventure !  Critères de candidature Date de prise de fonction 01/06/2021 Poste avec management Oui Cadre / Non Cadre Cadre Niveau d'étude minimum Bac + 5 / M2 et plus Formation / Spécialisation Vous avez obtenu un diplôme dans le domaine de l'Assurance, la Banque ou le Management ou vous êtes diplômé d'une école de commerce ou d'ingénieur.  Vous justifiez d'une expérience de 10 années dans le secteur assurance ou bancaire ou dans le conseil complétée d'une pratique confirmée du management d'équipes de taille importante. Management de managers et conduite de projet souhaités. Niveau d'expérience minimum 6 - 10 ans Soft skills Votre personnalité est tout aussi importante que vos compétences techniques. Au cours de votre parcours, vous avez développé des compétences en conduite de projet et en communication. Vous êtes capable de fédérer, faire adhérer et convaincre différents interlocuteurs internes et externes. Engagé, faisant preuve de leadership et doté d'un réel sens client, vous avez envie de relever des challenges dans un environnement dynamique. Autonome, rigoureux et organisé, vos capacités d'analyse et de synthèse vous permettent d'être force de proposition. Entreprise Crédit Agricole Assurances Crédit Agricole Assurances, premier assureur en France, rassemble les filiales assurances du Crédit Agricole. Le groupe propose une gamme de produits et services en épargne, retraite, santé, prévoyance et assurance des biens. Ils sont distribués par les banques du groupe Crédit Agricole en France et dans 7 pays dans le monde, par des conseillers en gestion patrimoniale et des agents généraux. Les compagnies de Crédit Agricole Assurances s'adressent aux particuliers, professionnels, agriculteurs et entreprises. A fin 2019, Crédit Agricole Assurances compte 4 700 collaborateurs et son chiffre d'affaires s'élève à 37 milliards d'euros (normes IFRS). La Médicale, filiale de Crédit Agricole Assurances, est une compagnie leader, spécialisée dans le domaine de l'assurance des professionnels de santé. Avec son réseau de 125 agents généraux dédiés, elle s'adresse aux médecins généralistes et spécialistes, pharmaciens, chirurgiens-dentistes, vétérinaires et professions paramédicales, qu'ils exercent en libéral ou en milieu hospitalier. A ses clients, La Médicale propose une gamme complète de produits d'assurances adaptés à leurs besoins, ainsi qu'à leurs proches, à chaque moment de leur vie professionnelle et privée. La Médicale en 2019, ce sont plus de 200 collaborateurs et 45 agences. Groupe Crédit Agricole il y a 6 jours - Continuer pour postuler Signaler l'offre"
6,Directeur Client Banque - Lyon F/H,QUATERNAIRE,,"Descriptif du poste: Notre équipe en charge de la relation clients tisse un lien fort avec eux. Compréhension de leurs problématiques, de leurs propres contextes, de leurs enjeux mais aussi de leurs fonctionnements individuels et collectifs… nos directeurs/trices clients ont cette habile sensibilité permettant de longues collaborations, riches en résultats durables. Convaincus que « Parler est un besoin, écouter est un art » comme le précisait Goethe, ils développent cette oreille d’or si précieuse pour proposer des solutions d’accompagnement parfaitement adaptées, et performer commercialement. Le secteur Banque, Mutuelle et Assurance est un marché historique chez Quaternaire. Nous y apportons notre expertise industrielle pour bousculer l’approche conventionnelle de recherche de performance économique, clients et sociale durable. Les missions Vous participez à la vente chez les prospects et avez la responsabilités de la revente chez les clients En vous imprégnant du terrain et en forgeant votre vision vous embarquerez les dirigeants. Vous allez imaginer, construire en équipe et proposer à vos clients (Directeurs Généraux, Membre du CODIR) des projets orientés Performance dans différents domaines (Management, organisations, process, bien-être, etc.) Vous accompagnerez les équipes de consultants pour assurer au plus haut point la satisfaction client. Vous accompagnerez les clients tout au long du projet Vous vous impliquerez dans la réalisation afin d’obtenir des résultats cohérents avec vos valeurs et convictions. Avec une relation forte, vous êtes responsable de vos clients, de leur satisfaction et de leur développement.  Profil recherché: Et, à propos de vous ? Après plus de 10 ans dans le conseil en management, en process ou en organisation dans le secteur de la finance, de la Banque, Mutuelle ou Assurance, ce marché n’a plus de secret pour vous ? Addict de l’adrénaline, drivé par les challenges, vous avez au fil des ans évolué sur des missions de management et de développement commercial ? Dans votre « cabinet de conseil », on vous nomme « Senior Manager » ? Vous êtes aussi à l’aise sur le terrain, qu’en phase de conception – réalisation d’une offre sur-mesure ou dans le management d’une équipe de consultants ? Les déplacements fréquents en France sont déjà votre quotidien et vous aimez ça ? Votre pragmatisme, optimisme, force de conviction, âme d’entrepreneur/euse vous précèdent ?  Entreprise: Seriez-vous d’accord avec la citation d’un célèbre acteur américain qui dit : « Si vous pouvez faire ce que vous faites de mieux et en être heureux, vous allez plus loin dans la vie que la plupart des gens » ? Nous en tout cas nous en sommes convaincus. Chez Quaternaire, nous sommes une entreprise de 64 personnes qui revendique haut et fort depuis bien longtemps (et avant que cela devienne à la mode …) que Performance et Bien être sont indissociables. C’est d’ailleurs un fondement de notre projet d’entreprise ! Nous défendons une posture originale dans le monde du conseil et de la formation en management, nous incarnons et défendons des valeurs singulières comme : Ecouter c’est déjà construire Oser être pertinents et impertinents Nourris aux défis depuis tout petits Cultiver l’équilibre et l’ouverture Société de conseil et formation en management nous améliorons la performance durable économique et sociale dans le monde de l’Industrie et des Services. Nous avons 3 implantations en France (Nantes, Paris et Lyon) et sommes très adepte du Home Office. Aujourd’hui nous avons besoin de vous afin de répondre à notre fort développement et à notre croissance à 2 chiffres. En nous rejoignant, nous vous faisons la promesse d'accélérer votre montée en compétences, de vous faire gagner en expérience et de contribuer à votre épanouissement dans un environnement de travail stimulant. Apec.fr il y a 18 jours - Continuer pour postuler Signaler l'offre"
7,Alternance (2 ans)– Chargé de relation clientèle Junior – PU...,BPCE SEF,,"Description de l'entreprise Le Groupe BPCE, avec son modèle de banque coopérative universelle, représenté par 9 millions de sociétaires, est le deuxième acteur bancaire en France. Avec 105 000 collaborateurs, il est au service de 30 millions de clients dans le monde, particuliers, professionnels, entreprises, investisseurs et collectivités locales. Il est présent dans la banque de proximité et l’assurance en France avec ses deux grands réseaux Banque Populaire et Caisse d’Epargne ainsi que la Banque Palatine. Il déploie également, avec Natixis, les métiers mondiaux de gestion d’actifs, de banque de grande clientèle et de paiements. Détenue à parité par les deux réseaux, BPCE est en charge de la stratégie, de la coordination et de l’animation du groupe, qu’elle représente notamment auprès du régulateur. Les expertises de ses équipes sont mises au service du groupe, de ses entreprises et de leurs clients. La Compagnie Européenne de Garanties et Cautions filiale du Groupe BPCE, est une société d’assurance spécialiste multi-marchés des cautions et garanties financières. En 2019, la Compagnie a réalisé un chiffre d’affaires de 519 M€ sur l’ensemble de ses domaines d’activité et affiche un volume d’encours sous risque de plus de 204 Md€ au 31 décembre 2019. La Compagnie propose une large gamme d’offres destinées à sécuriser les financements de projets des particuliers et des entreprises et à répondre aux obligations légales des professions réglementées. L’immobilier est la dominante de la gamme de ses offres : cautions de prêts à l’habitat et à l’immobilier professionnel, garanties financières des promoteurs immobiliers, administrateurs de biens, property managers et agents immobiliers, garantie d’achèvement des constructeurs de maisons individuelles, cautions de marché pour les entreprises du bâtiment et du second-œuvre. Poste et missions Vous rejoignez notre équipe Centre d'expertise et relation client qui recherche un Chargé de relation clientèle Junior pour une alternance. Au sein de notre Centre d'Expertise et Relation Clientèle, composé de 13 personnes. Vous serez sous la responsabilité du manager. Le chargé de relation Entreprise transforme l’entrée en relation et contractualise l’offre CEGC, il réceptionne les demandes des clients par téléphone, mail et courrier. Il assure l’interface avec les analystes et les chargés d’affaires ainsi que les fonctions supports : Comptabilité, Juridique... Il est le point d’entrée pour toutes questions liées à la vie du contrat à l’émission des garanties et des produits assuranciels dans le respect des normes et process internes (schéma délégataire, procédures de traitement…). Vos principales missions : Réceptionner les propositions commerciales signées, en vérifier la conformité. Réaliser l’édition, l’envoi et le suivi des documents contractuels (contrats, avenants, sûretés). Gérer et suivre, dans le respect du schéma délégataire, l'émission de cautions, garanties et assurances (standards et spécifiques) et en assurer le renouvellement. Suivre et réaliser la gestion administrative des clients (collecte de bilans et des audits, modification des lignes, taux, gestion des mainlevées, …). Réaliser et suivre le règlement des primes. Détecter et remonter les opportunités commerciales aux chargés d’affaires. Contribuer à l’atteinte des objectifs des analystes et du développement (taux d’efficacité, de pénétration et chiffre d’affaires). Collecter pour chaque client les données nécessaires au KYC , les analyser et les rattacher. Profil et compétences requises Vous préparez un diplôme Universitaire, ou d’Ecole de Commerce de BAC+2, Commerciale/Assurance/Banque. Vous maîtrisez la relation client par téléphone, le sens commercial et on vous reconnaît des qualités dans la rédaction. Vous êtes à l’aise sur les outils du Pack Office notamment Word et Excel, rigoureux.se, autonome. Vous avez un esprit d'équipe, une bonne capacité d'organisation et le sens des priorités. Vous vous reconnaissez ? Alors n’hésitez pas à postuler et rejoignez-nous ! Vous bénéficierez d’un accompagnement dédié pour vous donner toutes les chances de réussir cette nouvelle mission. Date Début Contrat : Septembre 2021 Informations complémentaires sur le poste GROUPE BPCE il y a 11 jours - Continuer pour postuler Signaler l'offre"
8,Conseiller clientèle Premium H/F,Société Générale BDDF Service Client (Banque à dis...,27 000 € - 35 000 € par an,"VOS MISSIONS AU QUOTIDIEN Accompagner Sarah et Louis pour le financement de leur maison, aider Isabelle à se constituer une épargne financière … Au quotidien comme dans les moments clés de la vie, vous accompagnez vos clients dans le développement de leurs projets. Concrètement, vous serez amené(e) à : Accompagner et conseiller vos clients en leur proposant des produits et placements adaptés (prêt immobilier, assurance, épargne, etc.) Promouvoir nos outils et services digitaux Analyser leur situation financière et les risques liés aux opérations Travailler en synergie avec des Conseiller(e)s spécialisé(e)s pour répondre aux demandes spécifiques (gestion de patrimoine, activité commerciale, etc.) et avec nos autres services (Centre de Relation Client, Banque Privée, Centre de Service, etc.) Participer au développement commercial de votre agence et accroître votre portefeuille clients ET SI C’ETAIT VOUS ? Vous avez un bon relationnel, le goût du contact et le sens de l’écoute Vous débordez d’énergie et d’idées pour apporter la meilleure solution à vos clients et pour développer l’agence Dynamique et positif(ve), vous êtes à l’aise avec les techniques de vente, de négociation et de prospection Vous maîtrisez l’offre bancaire destinée à la clientèle patrimoniale, ainsi que les bases financières, juridiques et fiscales liées à votre activité La gestion d’un portefeuille client patrimonial n’a plus de secret pour vous Dans les 6 mois suivants votre prise de poste, vous pourrez être amené(e) à passer la certification AMF. PLUS QU’UN POSTE, UN TREMPLIN Le job de Conseiller(e) Clientèle est une fonction clé pour découvrir notre réseau Banque de Détail. Grâce à nos programmes de formation personnalisés et à la mobilité interne, vous pourrez évoluer sur des postes de Chargé(e) d’affaires, Responsable commercial Entreprises ou Responsable d’agence. POURQUOI NOUS CHOISIR ? Chez Société Générale, nous sommes convaincus que les personnes sont moteurs du changement, et que le monde de demain sera fait de toutes leurs initiatives, des plus petites aux plus ambitieuses. Que vous nous rejoigniez pour quelques mois, quelques années ou toute votre carrière, ensemble nous avons les moyens d’avoir un impact positif sur l’avenir. Créer, oser, innover, entreprendre font partie de notre ADN. Si vous aussi vous souhaitez être dans l’action, évoluer dans un environnement stimulant et bienveillant, vous sentir utile au quotidien et développer ou renforcer votre expertise, nous sommes faits pour nous rencontrer ! Vous hésitez encore ? Sachez que nos collaborateurs peuvent s’engager quelques jours par an pour des actions de solidarité sur leur temps de travail : parrainer des personnes en difficulté dans leur orientation ou leur insertion professionnelle, participer à l’éducation financière de jeunes en apprentissage ou encore partager leurs compétences avec une association. Les formats d’engagement sont multiples. Statut : Cadre Type d'emploi : Temps plein, CDI Salaire : 27 000,00€ à 35 000,00€ par an Type d'emploi : CDI Salaire : 27 000,00€ à 35 000,00€ par an Avantages : Épargne salariale Participation au Transport RTT Titre-restaurant Horaires : Du Lundi au Vendredi Périodes de Travail de 8 Heures Travail le Week-end Rémunération supplémentaire : 13ème Mois Primes Télétravail: Non Précautions contre le COVID-19: Processus de recrutement à distance il y a 19 jours Signaler l'offre"
9,CONSEILLER CLIENTELE (H/F),BANQUE CIC OUEST,,"Présentation de la société Si vous pensez que pour construire le nouveau monde, il faut oser. Si vous avez les pieds dans le concret et la tête dans l’avenir. Si vous rêvez d’une grande entreprise qui a gardé l’esprit d’une petite. Alors, nous sommes sûrement faits pour nous entendre ! Rejoindre CIC Ouest, banque du Groupe Crédit Mutuel Alliance Fédérale, c’est intégrer une entreprise innovante et engagée sur ses territoires. C’est évoluer dans un environnement où vous pourrez entreprendre votre carrière aux côtés de nos 2500 collaborateurs. Au sein de notre siège à Nantes ou d’un de nos 310 points de vente, venez accompagner les parcours de nos clients, venez révéler vos talents et dessiner une carrière qui vous ressemble. CIC Ouest valorise la diversité sous toutes ses formes, nous étudions toutes les candidatures avec la même attention. Mission Mission principale Le Conseiller bancaire/Conseiller clientèle développe, gère et fidélise un portefeuille de clients particuliers Il leur vend les produits et services de bancassurance leur permettant de faciliter leur gestion courante et dans le cadre d'une approche par univers de besoins, il constitue leur équipement et leur permet de préparer, puis réaliser leurs projets. Il vise la maîtrise des risques et la rentabilité de son portefeuille. Il exerce des activités de guichet et/ou de maintenance des automates. Activités / Tâches spécifiques du poste Le Conseiller bancaire/Conseiller clientèle :  Prépare, organise et suit son activité commerciale Prépare et conduit ses entretiens Assure le suivi de la relation Analyse les risques, anticipe et gére leur dégradation Profil Connaissances et compétences Bonne connaissance des produits et services proposés à la clientèle. Maîtrise des outils de bureautique (Excel, Word, Powerpoint) et du système d'information du Groupe Crédit Mutuel Alliance Fédérale. Savoir-être - savoir-faire Faire preuve de réactivité et de dynamisme. Savoir communiquer et travailler en équipe. Possédez de bonnes qualités relationnelles Votre aptitude à la négociation commerciale et votre aisance relationnelle constituent les moteurs essentiels de votre réussite. Avoir le sens de l'écoute Certification(s)/Accréditation(s) Certification AMF Avantages Rémunération fixe versée sur 13 mois RTT Intéressement, participation et abondement Plan épargne entreprise et PERCO Contrat de santé collectif Prévoyance Retraite supplémentaire prise en charge à 100% par l’employeur Conditions bancaires et assurances préférentielles Politique parentale avantageuse CIC FR il y a 13 jours - Continuer pour postuler Signaler l'offre"
