,title,company,salary,summary
0,Global Rewards - Pôle d'expertise actionnariat et Fiscalité...,Deloitte,,"Stage long (6 mois) à pourvoir dès que possible Au sein de notre Pôle, vous êtes amené(e) à travailler sur les problématiques fiscales des personnes physiques, dans un contexte français et international. Vos missions concernent : Les rémunérations complémentaires : stock-options, actions gratuites, produits d'épargne salariale et d'actionnariat salarié, rémunérations différées, retraite, et toutes formes d’optimisation des rémunérations dans un contexte international à destination de clients variés - multinationales, Banques, PME - ETI etc.. ; L’assistance aux clients du secteur financier : portant sur l’encadrement des rémunérations et autres exigences de conformité réglementaires (CRD4/5, AIFM, UCITS etc..) ; Mise en place et revue de management packages, carried interest à destination des clients du Private Equity : fonds d’investissement, investisseurs personnes physiques (...) ; Le conseil en fiscalité personnelle portant plus généralement sur les produits d'investissement (assurance-vie, bons de capitalisation, etc.), l’impôt sur le revenu (...) ; Le conseil en fiscalité patrimoniale : IFI, résidence fiscale, structures patrimoniales étrangères, les cessions/transmissions de patrimoine professionnel (...) ; L’assistance aux clients en matière de contrôles et vérifications diligentées par l'Administration fiscale (réponse aux demandes de renseignements, contrôle URSSAF, procédures d’ESFP, etc.) ainsi que dans le cadre contentieux avec cette dernière. Vous serez notamment en charge : de recherches juridiques et fiscales complexes ; de la rédaction de consultations et d'analyse fiscales ; de la revue et la rédaction de plans d'intéressements français et internationaux ; du bon déroulement des échanges avec le réseau international Deloitte et la clientèle. En rejoignant le cabinet Deloitte-Taj, vous intègrerez une structure de renom vous permettant d’apporter un conseil fiscal global. Votre fonction vous permettra de mener en équipe un travail de réflexion et d'analyse dans le cadre d'une approche intellectuelle pluridisciplinaire. Votre profil Diplômé(e) d'une formation en fiscalité (Master 2, DJCE, MBA, LLM, etc.) et idéalement du CAPA, vous disposez également de solides connaissances en droit des sociétés. Autonome et rigoureux(se), votre capacité relationnelle ainsi que vos qualités d'analyse et de synthèse seront vos atouts pour réussir dans ce poste. Vous disposez également d’une grande capacité d’adaptation. Vous maîtrisez parfaitement l'anglais et souhaitez exercer votre activité professionnelle dans un contexte fortement international. Poste basé à Paris La Défense. il y a 2 jours - Continuer pour postuler Signaler l'offre"
1,Collaborateur(rice) Assurance et Contentieux Commercial (2-4...,TeamRH,,Pas de description
2,Conseiller de Clientèle – Equipe de Remplacement Allier (03)...,Caisse d'Epargne Auvergne Limousin,,"Description de l'entreprise Présente sur l'ensemble des marchésParticuliers/Professionnels/Entreprises/Collectivités, la Caisse d'Epargne d'Auvergne et du Limousin s'affirme comme l'un des principaux acteurs économiques ancrée sur ses territoires. Avec ses 1 400 collaborateurs, elle s'inscrit dans une dynamique de développement au service de plus d'un million de clients répartis sur ses 7 départements. Dans le cadre de sa politique de recrutement et de gestion des carrières, elle offre de réelles perspectives d'évolution professionnelle aux candidats mobiles sur les plans géographiques comme fonctionnels. Poste et missions Concrètement ? Vous serez affecté(e) sur l'une de nos agences du Département Allier (à définir en fonction de votre mobilité) et pourrez intervenir sur l'ensemble des agences pour appuyer nos équipes : - Vous assurez l’accueil en accompagnant et conseillant la clientèle dans un esprit de satisfaction-client. - Vous effectuez les opérations bancaires courantes et organisez les rendez-vous avec proactivité dans le but de fidéliser la clientèle. - Vous contribuez à la réalisation des objectifs commerciaux fixés en saisissant toutes les opportunités de mise en avant et de vente de nos produits et services. - Vous renforcez la proximité avec la clientèle à l’aide de nos outils de vente multicanaux. - Vous traduisez les engagements de la Caisse d’Epargne d’Auvergne et du Limousin auprès de nos clients. Et ensuite ? Votre mobilité et votre engagement vous ouvriront les portes de nos parcours de carrières orientés vers d’autres clientèles (privées ou professionnelles) mais aussi vers des fonctions de management. Nos managers, ainsi que nos chargés RH vous accompagneront tout au long de votre parcours afin de contribuer à votre réussite ! Concernant la rémunération ? Ce point important sera évidemment évoqué et dépendra de votre profil et de votre formation. Elle viendra compenser votre expérience professionnelle que nous saurons valoriser. Vous profiterez d’avantages à faire partie du Groupe BPCE (tickets-restaurants, mutuelle, CE, 13ème mois, prime d’intéressement...). Profil et compétences requises De formation supérieure (Bac+2 minimum). Vous justifiez d'une première expérience réussie dans le secteur des services (banque, assurances, immobilier...). Vos qualités relationnelles, votre sens du travail en équipe, votre capacité à relever les challenges et votre goût pour la vente et votre sens du résultat seront de réels atouts pour remplir les missions qui vous seront confiées. Informations complémentaires sur le poste GROUPE BPCE il y a 22 jours - Continuer pour postuler Signaler l'offre"
3,Chargé.e des risques H/F,BPCE Solutions Crédit,,"Description de l'entreprise BPCE Solutions Crédit est une filiale du Groupe BPCE, 2ème groupe bancaire en France, spécialisée dans la gestion des crédits immobiliers, des assurances emprunteurs et du recouvrement de créances. Forte de 19 adhérents au sein du Groupe, Caisses d’Epargne, Banques Populaires et Crédit Foncier de France, BPCE Solutions Crédit est une entreprise en pleine croissance, ayant intégré récemment l’ensemble des activités de gestion de crédit du Crédit Foncier. Dans ce contexte, BPCE Solutions Crédit recrute. Vous avez envie de rejoindre une entreprise jeune, dynamique et en pleine croissance ? Vous souhaitez vous investir au service des différents établissements du Groupe ? Vous recherchez un environnement à taille humaine et des missions variées ? Voici le poste et les missions que nous vous proposons : Poste et missions Au sein du département des Risques, rattaché au Secrétariat Général, et dans le cadre des normes et chartes Groupe relatives aux risques, au contrôle permanent, à la conformité, vous assurerez la prévention, la détection, l’évaluation et la surveillance des risques et animerez le dispositif de maîtrise de ces risques sur l’ensemble des activités de l’entreprise. Vous travaillerez en lien avec les directions opérationnelles et les fonctions support de l’entreprise, les adhérents et la filière de rattachement de BPCE. Vous veillerez à concentrer les moyens sur les zones les plus sensibles / critiques issues de l’approche par les risques, et à intégrer dans votre approche les enjeux de performance et de qualité de service de l’entreprise. Le département des Risques couvre les domaines conformité, contrôle permanent, risques et sécurité. Gérer et animer le dispositif de maîtrise des risques opérationnels et de non-conformité : • établir et gérer la cartographie des risques opérationnels et de non-conformité • décliner le dispositif permettant de détecter, d’évaluer, de contrôler et de surveiller les risques opérationnels et de non-conformité portés par l’entreprise et en assurer la mise à jour • documenter et piloter la mise en œuvre du plan annuel de contrôles de 2ème niveau des risques opérationnels et de non-conformité • consolider et analyser les résultats des contrôles permanents, incidents, réclamations, indicateurs de risque • définir et suivre les actions correctrices à mettre en œuvre, en lien avec les métiers Produire le reporting permettant de piloter et de suivre la maîtrise des risques opérationnels et de non-conformité : • proposer et produire les états de reporting nécessaires au pilotage des risques et des plans d’actions • alerter, en tant que de besoin le responsable de département et la direction • participer à la préparation et à l’animation des comités des risques et du contrôle permanent Emettre un avis sur la conformité réglementaire des activités, procédures, offres: • émettre un avis sur la conformité réglementaire des évolutions d’activités, procédures et offres ainsi qu’en cas de nouvelles activités, procédures ou offres • identifier / décliner les impacts des évolutions sur le dispositif de maîtrise des risques de non-conformité • assurer des revues de conformité de processus Assurer une activité de veille et de sensibilisation: • suivre l’actualité réglementaire et de la filière Conformité de BPCE, relayer les informations et suivre et/ou assurer, selon le cas, leur déclinaison interne • Accompagner et conseiller les métiers dans le déploiement et le maintien en condition opérationnelle de leur dispositif de maîtrise des risques. Participer à la sensibilisation des équipes et à la diffusion d’une culture du risque et du contrôle interne dans l’entreprise. Contribuer au bon fonctionnement du département des risques: • contribuer à la suppléance des autres activités du département, participer à d’autres travaux en cas de nécessité (contrôle permanent, missions d’investigations sur des dysfonctionnements, missions d’analyses de processus). • Contribuer à la réussite de la feuille de route du département des Risques. Profil et compétences requises Vous justifiez d’une formation de niveau BAC +3/5 dans le domaine juridique ou gestion des risques/contrôle interne et d’une expérience (3 à 5 ans) dans le domaine de la conformité, du contrôle, des risques et/ou sur les métiers du crédit immobilier ou du recouvrement. Vous êtes reconnu.e pour votre rigueur, vos qualités d’analyse et de synthèse et vos capacités rédactionnelles. Vous êtes organisé.e et savez concevoir un plan d’action, gérer plusieurs missions variées en parallèle, en anticipant et gérant les éventuelles difficultés et délais. Facilitant et doté.e d’une bonne aisance relationnelle et du sens de la pédagogie, vous serez en mesure de communiquer avec les équipes opérationnelles, les directeurs, les adhérents de BPCE Solutions Crédit et les interlocuteurs des filières risques, contrôle permanent et conformité de BPCE. Vous avez fortement envie de vous investir dans une entreprise en développement et de participer à son évolution. Le poste chargé.e de risques est basé de préférence sur le site de Maisons Alfort, mais une localisation sur un des autres sites est également possible (Reims, Montpellier, Laval). Le poste nécessite cependant des déplacements réguliers sur l’ensemble des sites de l’entreprise. Informations complémentaires sur le poste GROUPE BPCE il y a 22 jours - Continuer pour postuler Signaler l'offre"
4,Conseiller Patrimonial Paris Exelmans (H/F),HSBC,,"ENVIRONNEMENT Désignée «World’s Best Bank» (Meilleure banque au monde) lors des Euromoney Awards for Excellence 2017, HSBC regroupe l’expertise de près de 233 000 collaborateurs dans le monde et dispose d’environ 3 900 implantations dans le monde avec une présence dans 67 pays et territoires. HSBC en France, filiale du Groupe HSBC, représente 10 000 collaborateurs. BANQUE DE PARTICULIERS ET DE GESTION DE PATRIMOINE La banque HSBC en France offre à ses clients particuliers et professionnels un accompagnement personnalisé, ainsi qu’une approche patrimoniale et globale tout en s’appuyant sur les atouts du Groupe HSBC et sur des propositions commerciales innovantes. L'accès au poste est subordonné à une clause de mobilité et a une clause de non concurrence. Votre candidature à ce poste induit que vous en acceptez le principe. Le poste est basé à Paris Exelmans. Cette offre ne vous correspond pas ? Testez votre CV sur notre outil de matching sur hsbc.jobijoba.io et découvrez toutes les opportunités adaptées à votre profil  MISSION Dans le cadre des objectifs fixés, le conseiller patrimonial a pour mission de : Suivre, conseiller et développer un portefeuille de clients patrimoniaux (y compris internationaux) : Par l’identification et la proposition de réponses à leurs problèmatiques juridiques, fiscales et financières ; Par une approche experte et hautement personnalisée ; Par la vente des produits et services adaptés à leurs besoins : placements, produits de défiscalisation, crédits, banque au quotidien. Conquérir de nouveaux clients patrimoniaux Atteindre les objectifs fixés (financiers et non financiers) en optimisant le développement du portefeuille avec le souci de la satisfaction clients, de l’efficacité commerciale, de la rentabilité, de la qualité des opérations et des risques, du respect des règles de conformité, de la responsabilité sociale et économique de la banque comme du strict respect des Règles Transfrontalières inhérentes à la clientèle internationale dite sensible, du suivi des formations dédiées et de l’utilisation des supports spécifiques d’aide à la vente Conditions d’exercice réglementaires : Certification AMF / Habilitation Assurance Carte assurance Certification interne AML Qualifications – Doté(e) d’un tempérament dynamique, vous avez un sens commercial fort et veillez à assurer un service de qualité auprès de vos clients, dans le respect des standards de conformité HSBC. Vous savez convaincre vos interlocuteurs dans une démarche de conseil personnalisé. – Organisé(e), autonome et rigoureux(euse), vous êtes attaché(e) à construire des relations durables de confiance avec vos clients en répondant à leurs besoins. – Vous savez travailler en équipe. – Vous maîtrisez les concepts essentiels nécessaires à la gestion d’un patrimoine particulier et professionnel (régimes matrimoniaux, donations, successions, assurance-vie, démembrement, protection et transmission du dirigeant …) ainsi que les fondamentaux de la fiscalité L’anglais est un plus il y a 9 jours - Continuer pour postuler Signaler l'offre"
5,Conseiller(ère) Clientèle H/F – Mesnil Esnard (76),Caisse d'Epargne Normandie,,"Description de l'entreprise Rejoignez la Caisse d'Epargne Normandie et intégrez le deuxième groupe bancaire en France ! Forte de son ancrage sur l’ensemble du territoire normand avec ses 1750 salariés et ses 217 agences réparties sur cinq départements normands, la Caisse d’Epargne Normandie poursuit une politique de développement ambitieuse et réussie depuis plusieurs années. Notre banque s’affirme aujourd’hui comme acteur de proximité et du développement local. Nous recherchons un(e) Conseiller(ère) Clientèle (H/F) pour l'agence de Mesnil Esnard (76) - Groupe Rouen. Poste et missions Rattaché(e) au Directeur d'Agence, vous intégrez le poste de Conseiller(ère) Clientèle et assurez les missions suivantes : - Accueillir et renseigner nos clients, - Représenter et promouvoir l'image et les valeurs de l'entreprise, - Instaurer une relation de proximité et de confiance dans le respect de la confidentialité, - Ecouter et découvrir les besoins de nos clients, - Conseiller et apporter des solutions adaptées en termes d'épargne, prévoyance, protection, gestion de compte et moyens de paiement, - Assurer le suivi administratif et la mise à jour des dossiers, - Fidéliser la clientèle grâce un service de qualité, - Veiller au respect de la législation et des procédures. Vous contribuez, à travers un traitement proactif des opérations courantes, à la réalisation des objectifs commerciaux de l’équipe en sachant saisir toute opportunité de promouvoir et vendre nos produits et services. Profil et compétences requises De formation Bac+3 à Bac+5 à vocation bancaire et/ou commerciale, vous justifiez impérativement d’une expérience réussie dans la vente de services idéalement acquise dans le secteur de la finance ou plus largement dans des secteurs comme les assurances, l'immobilier, la distribution. Informations complémentaires sur le poste GROUPE BPCE il y a 22 jours - Continuer pour postuler Signaler l'offre"
6,Alternance (1 an) – Assistant.e Commercial.e – TOURS,BPCE SEF,,"Description de l'entreprise Le Groupe BPCE, avec son modèle de banque coopérative universelle, représenté par 9 millions de sociétaires, est le deuxième acteur bancaire en France. Avec 105 000 collaborateurs, il est au service de 30 millions de clients dans le monde, particuliers, professionnels, entreprises, investisseurs et collectivités locales. Il est présent dans la banque de proximité et l’assurance en France avec ses deux grands réseaux Banque Populaire et Caisse d’Epargne ainsi que la Banque Palatine. Il déploie également, avec Natixis, les métiers mondiaux de gestion d’actifs, de banque de grande clientèle et de paiements. Détenue à parité par les deux réseaux, BPCE est en charge de la stratégie, de la coordination et de l’animation du groupe, qu’elle représente notamment auprès du régulateur. Les expertises de ses équipes sont mises au service du groupe, de ses entreprises et de leurs clients. BPCE Lease, filiale de BPCE, est le spécialiste des solutions locatives du Groupe BPCE. Elle intervient dans le financement des biens d’équipement et de l’immobilier professionnel au travers de cinq métiers : le crédit-bail immobilier, le crédit-bail mobilier, la location longue durée, les énergies renouvelables et la location opérationnelle informatique. Poste et missions Vous rejoignez notre équipe Commercial - DCR2 qui recherche un.e Assistant.e Commercial.e pour une alternance. Délégation commerciale CBM de BPCE Lease . Distribution de solutions de financements locatifs auprès du réseau d'agences de la BPVF . Poste situé à Tours (37) Vos principales missions seront les suivantes : Animation et suivi commercial de la distribution des contrats de Crédit bail auprès du réseau Pros et Entreprises de la banque. Actions de relance téléphonique. Gestion administrative des dossiers. Profil et compétences requises Vous préparez un diplôme Universitaire, ou d’Ecole de Commerce de BAC+2, IUT ou BTS. Vous avec des connaissances de l'environnement Banque – Assurance et une appétence pour les outils informatiques ( environnement Windows) et de digitalisation. Vous êtes rigoureux.se, adaptable, dynamique et autonome. Vous savez prendre des initiatives et avez une aisance au téléphone. Vous vous reconnaissez ? Alors n’hésitez pas à postuler et rejoignez-nous ! Vous bénéficierez d’un accompagnement dédié pour vous donner toutes les chances de réussir cette nouvelle mission. Date Début Contrat : Septembre 2021 Informations complémentaires sur le poste GROUPE BPCE il y a 7 jours - Continuer pour postuler Signaler l'offre"
7,Conseiller·ère Commercial – Paris Lecourbe,Caisse d'Epargne Ile de France,,"Description de l'entreprise La Caisse d'Epargne Ile-de-France forte de ses 4500 collaborateurs, ses 430 agences, ses 30 centres d'affaires et de ses 675 000 sociétaires se mobilise au service d’une ambition : être un banquier-assureur, coopératif et performant, tant sur le plan commercial qu'économique et social. Acteur majeur de sa région, elle se positionne comme le banquier du Grand Paris. Sa stratégie de développement repose sur un maillage important d'agences sur toute l'Ile de France proposant le meilleur de l'humain et du digital. Elle fait partie du Groupe BPCE, 2e groupe bancaire en France avec 115 000 collaborateurs au service de 36 millions de clients dont 8,8 millions de sociétaires. La CEIDF a obtenu en octobre 2020 le renouvellement du Label Egalité de l’AFNOR. Il représente une reconnaissance, par un organisme extérieur indépendant, de l’engagement de la CEIDF et de la pertinence de ses actions en matière d’égalité liée au genre dans le domaine professionnel.  Poste et missions Envie de booster votre carrière ! Vous voulez en savoir plus ? Alors postulez ! Rattaché.e au Directeur.trice d’agence, vous contribuez aux résultats commerciaux et à la croissance du PNB de l’agence. Vous contribuerez à travers un traitement proactif des opérations courantes, à la réalisation des objectifs commerciaux de l'équipe en sachant saisir toutes opportunités de promouvoir et vendre nos produits et services par l’accomplissement de différentes missions : L’accueil et l’orientation des clients L’obtention de rendez-vous qualifiés à valeurs ajoutées L’organisation d’entretiens de découverte des clients La détection de leurs besoins L’élaboration d’offres commerciales adaptées La conclusion et la formalisation des ventes L’identification et la contribution aux axes d’amélioration qualitatifs. Profil et compétences requises Vous êtes diplômé.e d'un Bac+2/3 de formation bancaire ou commerciale. Vous justifiez également d'une expérience réussie en vente dans le secteur des services (Banque, Assurance, Immobilier). Vous êtes motivé.e par la réalisation de vos objectifs et le partage d’une dynamique collective. Votre dynamisme commercial, vos capacités d'adaptation et de rigueur ainsi que votre sens du service client vous permettront de devenir l'interlocuteur privilégié de nos clients et de vous ouvrir des perspectives de carrière stimulantes au sein de notre entreprise. Les candidatures qui auront retenu notre attention feront l’objet d’une vérification des diplômes du parcours professionnel et des documents administratifs. Informations complémentaires sur le poste Contrat : CDI Statut : non cadre Localisation : 75 GROUPE BPCE il y a 6 jours - Continuer pour postuler Signaler l'offre"
8,Directeur client Banque - PARIS F/H,QUATERNAIRE,,"Descriptif du poste: Notre équipe en charge de la relation clients tisse un lien fort avec eux. Compréhension de leurs problématiques, de leurs propres contextes, de leurs enjeux mais aussi de leurs fonctionnements individuels et collectifs… nos directeurs/trices clients ont cette habile sensibilité permettant de longues collaborations, riches en résultats durables. Convaincus que « Parler est un besoin, écouter est un art » comme le précisait Goethe, ils développent cette oreille d’or si précieuse pour proposer des solutions d’accompagnement parfaitement adaptées, et performer commercialement. Le secteur Banque, Mutuelle et Assurance est un marché historique chez Quaternaire. Nous y apportons notre expertise industrielle pour bousculer l’approche conventionnelle de recherche de performance économique, clients et sociale durable. Les missions Vous participez à la vente chez les prospects et avez la responsabilités de la revente chez les clients En vous imprégnant du terrain et en forgeant votre vision vous embarquerez les dirigeants. Vous allez imaginer, construire en équipe et proposer à vos clients (Directeurs Généraux, Membre du CODIR) des projets orientés Performance dans différents domaines (Management, organisations, process, bien-être, etc.) Vous accompagnerez les équipes de consultants pour assurer au plus haut point la satisfaction client. Vous accompagnerez les clients tout au long du projet Vous vous impliquerez dans la réalisation afin d’obtenir des résultats cohérents avec vos valeurs et convictions. Avec une relation forte, vous êtes responsable de vos clients, de leur satisfaction et de leur développement.  Profil recherché: Et, à propos de vous ? Après plus de 10 ans dans le conseil en management, en process ou en organisation dans le secteur de la finance, de la Banque, Mutuelle ou Assurance, ce marché n’a plus de secret pour vous ? Addict de l’adrénaline, drivé par les challenges, vous avez au fil des ans évolué sur des missions de management et de développement commercial ? Dans votre « cabinet de conseil », on vous nomme « Senior Manager » ? Vous êtes aussi à l’aise sur le terrain, qu’en phase de conception – réalisation d’une offre sur-mesure ou dans le management d’une équipe de consultants ? Les déplacements fréquents en France sont déjà votre quotidien et vous aimez ça ? Votre pragmatisme, optimisme, force de conviction, âme d’entrepreneur/euse vous précèdent ?  Entreprise: Seriez-vous d’accord avec la citation d’un célèbre acteur américain qui dit : « Si vous pouvez faire ce que vous faites de mieux et en être heureux, vous allez plus loin dans la vie que la plupart des gens » ? Nous en tout cas nous en sommes convaincus. Chez Quaternaire, nous sommes une entreprise de 64 personnes qui revendique haut et fort depuis bien longtemps (et avant que cela devienne à la mode …) que Performance et Bien être sont indissociables. C’est d’ailleurs un fondement de notre projet d’entreprise ! Nous défendons une posture originale dans le monde du conseil et de la formation en management, nous incarnons et défendons des valeurs singulières comme : Ecouter c’est déjà construire Oser être pertinents et impertinents Nourris aux défis depuis tout petits Cultiver l’équilibre et l’ouverture Société de conseil et formation en management nous améliorons la performance durable économique et sociale dans le monde de l’Industrie et des Services. Nous avons 3 implantations en France (Nantes, Paris et Lyon) et sommes très adepte du Home Office. Aujourd’hui nous avons besoin de vous afin de répondre à notre fort développement et à notre croissance à 2 chiffres. En nous rejoignant, nous vous faisons la promesse d'accélérer votre montée en compétences, de vous faire gagner en expérience et de contribuer à votre épanouissement dans un environnement de travail stimulant. Apec.fr il y a 20 jours - Continuer pour postuler Signaler l'offre"
9,CONSEILLER PATRIMONIAL (H/F),CIC SUD OUEST,,"Présentation de la société Fort de son appartenance au Groupe Crédit Mutuel Alliance Fédérale, le CIC Sud Ouest poursuit son développement et sa conquête de parts de marché en Aquitaine, Midi-Pyrénées et Languedoc-Roussillon. Avec un réseau de 250 agences et de plus de 1700 collaborateurs, le CIC Sud Ouest conforte sa position de grande banque du Sud-Ouest. Aujourd'hui, notre monde bouge, votre avenir aussi. Mission Mission principale Le Conseiller Patrimonial développe, gère et fidélise un portefeuille de clients à potentiel patrimonial. Dans le cadre d'une approche globale, il leur apporte les conseils visant l'optimisation de leur équipement bancassurance, de leur fiscalité ainsi que la valorisation et l'équilibre de leur patrimoine, en mobilisant l'expertise de spécialistes chaque fois que nécessaire. Il vise la maîtrise des risques et la rentabilité de son portefeuille. Par des actions de recommandation et de prospection, il assure l'enrichissement et le renouvellement de son portefeuille et contribue au développement commercial de son agence. Activités / Tâches spécifiques du poste Le conseiller Patrimonial : Prépare, organise et suit son activité commerciale Prépare et conduit ses entretiens  Conquiert de nouveaux clients : Sollicite des recommandations et développe la prescription. Conduit les actions de prospection (hors recommandation).  Assure le suivi de la relation  Analyse les risques, anticiper et gérer leur dégradation Communique et travaille en équipe Profil Connaissances et compétences Maîtrise des techniques de Négociation et de Prospection Maîtrise de l'ensemble des Produits et Services bancaires et financiers Maîtrise de l'Analyse financière et de l'Evaluation des risques Connaissance des Marchés financiers et boursiers et de la réglementation Maîtrise des éléments Juridiques et Fiscaux Savoir-être - savoir-faire Tempérament commercial Qualité relationnelle et d'Ecoute Rapidité d'adaptation Discrétion Force de conviction Sens de l'organisation Esprit d'analyse. Avantages Rémunération fixe versée sur 13 mois RTT Intéressement, participation et abondement Plan épargne entreprise et PERCO Contrat de santé collectif Prévoyance Retraite supplémentaire prise en charge à 100% par l’employeur Conditions bancaires et assurances préférentielles Politique parentale avantageuse CIC FR il y a 15 jours - Continuer pour postuler Signaler l'offre"
