,title,company,salary,summary
0,Déclarant Correspondant TRACFIN H/F,La Banque Postale,,"Présentation de l'entreprise  Rejoindre La Banque Postale, c'est intégrer une banque citoyenne, dynamique et innovante, qui poursuit un développement accéléré sur les marchés de la banque de détail, de l’assurance et de la gestion d’actifs. Banque de service public, La Banque Postale accompagne ses clients dans une relation bancaire durable : 10,7 millions de clients particuliers et 400 000 clients entreprises, professionnels, acteurs de l’économie sociale et du secteur public local lui font confiance.  Vos missions  Au sein de la Direction Sécurité Financière (DSF), rattachée à la Direction de la Conformité de La Banque Postale, vous aurez pour missions principales : Effectuer des déclarations de soupçon auprès du Service TRACFIN du Ministère de l’Economie et des Finances. Assurer la relation avec le Service TRACFIN sur son périmètre régional (Demandes de communication sur la base de l’article L.561-26 du CMF). Analyser les dossiers d’investigation émanant des cellules Lutte Anti Blanchiment (LAB) des Centres Financiers ; décider de leur transmission à TRACFIN ; effectuer le suivi des déclarations de soupçon. Proposer la rupture de la relation commerciale. Assurer les échanges d’informations avec les correspondants agréés des autres banques, assurances, mutuelles,… Établir les éléments de reporting sur le dispositif anti-blanchiment pour la DSF. Participer en tant qu’expert aux programmes de formation en matière de lutte contre le blanchiment et participe à la demande du RTB à l’animation et à la sensibilisation des contrôleurs bancaires sur le domaine LAB.  Votre profil Vous avez de solides connaissances juridiques et réglementaires (Code monétaire et financier, réglementation relative à la lutte anti-blanchiment et financement du terrorisme). Vous avez une bonne connaissance des produits bancaires et hors-compte Vous avez de bonnes capacités d'analyse, un esprit de synthèse et des capacités rédactionnelles Vous faîtes preuve d'initiative et d'organisation Rejoignez la Banque Postale, Banque et Citoyenne !  Job Reference: LGLBP01012 il y a 8 jours - Continuer pour postuler Signaler l'offre"
1,Assistant assurance H/F,Crédit Agricole Assurances,,Pas de description
2,KERING Dealing Room Operator,KERING FINANCE,,"Summary Groupe de Luxe mondial, Kering regroupe et fait grandir un ensemble de Maisons emblématiques dans la Mode, la Maroquinerie, la Joaillerie et l’Horlogerie : Gucci, Saint Laurent, Bottega Veneta, Balenciaga, Alexander McQueen, Brioni, Boucheron, Pomellato, Dodo, Qeelin, Ulysse Nardin, Girard-Perregaux, ainsi que Kering Eyewear. Avec un effectif de 38 000 collaborateurs à travers le monde et un chiffre d'affaires de 15,9 milliards d’euros en 2019, Kering est un acteur majeur du Luxe. Notre signature, Empowering Imagination, exprime nos engagements ainsi que la valeur que nous souhaitons apporter à l’ensemble de nos parties prenantes : en apportant un soutien sans faille à nos Maisons et en confiant leur direction artistique à des talents singuliers, en encourageant l’innovation et en développant les talents, et en améliorant sans cesse les standards sociaux et environnementaux du secteur. Une culture et une détermination communes unissent nos Maisons. Ensemble, nous construisons un groupe de Luxe unique, passionné et responsable, qui œuvre à faire bouger les lignes de façon positive. Rejoignez-nous pour façonner à nos côtés le Luxe de demain. Job Description Nous sommes actuellement à la recherche d’un(e) Opérateur de salle des marchés pour intégrer la Direction des financements et de la trésorerie de Kering ! Votre opportunité Au sein de la Direction des financements et de la trésorerie, la salle des marchés assure la mise en œuvre de la politique de change et de taux du groupe. La salle est l’interlocuteur privilégié des banques et des marques concernant leur exposition de change (FOREX) et de métaux précieux et assure un rôle de conseil interne. La veille active des marchés est également une activité prépondérante. La salle des marchés assure l’animation du programme d’émission de dette court terme ainsi que les placements. Elle apporte son soutien au Directeur Corporate Finance, Tresorerie et Assurances sur tous les sujets de marché (Debt capital markets, rachat d’actions, ...) Comment vous allez contribuer Rattaché(e) au Responsable de la salle des marchés, vous : Travaillez au sein d'une petite équipe polyvalente qui assure la veille permanente sur les marchés de change, de taux, de matières premières et de cash pour le groupe ainsi que tout autre sujet ponctuel d’intervention sur les marchés financiers. Êtes l'interlocuteur des Trésoriers des marques que vous conseillez en matière de couverture du risque de change et de matières premières et vous exécutez les opérations qui en découlent aux meilleures conditions de marchés avec les banques partenaires. Analysez finement les couvertures au regard du marché afin d’en affiner la stratégie. Participez à l'amélioration des process Front–Office ainsi qu’aux projets transverses de la trésorerie (transformation des fonctions finance, évolution des SI de trésorerie dans le Groupe, optimisation des processus de traitements des opérations et digitalisation des reportings etc.). Gérez les financements et placements à court terme. Participez à la rédaction de notes de conjoncture et diffusez la synthèse d'informations des banques auprès des filiales et de la direction financière. Le descriptif du poste n'est pas limitatif, le collaborateur pourra également être amené à effectuer toute autre tâche nécessaire et compatible avec sa fonction. Qui êtes-vous De formation supérieure Bac+5 (École de Commerce ou d’ingénieur option Banque/Finance ou formation universitaire adaptée) Vous justifiez d'une expérience réussie de 3 à 5 ans en salle des marchés d'une banque ou d’une entreprise multinationale sur les produits de change et de taux. Vous devrez démontrer une bonne connaissance des techniques de gestion et de couvertures des risques et des marchés de dérivés. Rigoureux, ayant une excellente capacité d’analyse, de fortes qualités relationnelles, vous devez également être force de proposition et savoir travailler en équipe. Très bonne maitrise des outils informatiques : vous maitrisez parfaitement Excel, être capables de coder sous VBA et disposez d’une appétence pour la mise en place de nouvelles solutions technologies (Power BI par exemple). Vous êtes familier de Bloomberg et Reuters. Anglais courant indispensable. La pratique de l’Italien serait un plus Pourquoi nous rejoindre ? Cette opportunité est l’occasion de rejoindre une équipe dynamique et polyvalente, d’accompagner la trésorerie dans sa mutation, de travailler sur différentes classes d’actifs en collaborant avec des interlocuteurs variés dans un grand groupe du CAC 40.  A travers ses collaborateurs, Kering s'engage en faveur de la diversité. Nous croyons que la diversité sous toutes ses formes - genre, âge, nationalité, culture, croyances religieuses et orientation sexuelle - enrichit le lieu de travail. Nos collaborateurs ont ainsi des opportunités pour exprimer leurs talents, à la fois individuellement et collectivement, et cela contribue à renforcer notre capacité d'adaptation à un monde en mutation. En tant qu'employeur de l'égalité des chances, nous accueillons et considérons les candidatures de tous les candidats qualifiés, indépendamment de leurs antécédents. Job Type Regular Start Date 2021-06-07 Schedule Full time Organization KERING FINANCE Groupe Kering Il y a plus de 30 jours - Continuer pour postuler Signaler l'offre"
3,Chargé de satisfaction client H/F,BforBank,,"Description du poste Au sein de la Direction Commerciale et offres, intégré(e) à l’équipe du Service Qualité, vous contribuez au développement de la qualité optimale des processus, produits et services de BforBank : Vous gérer les réclamations (par courrier, mail téléphone …) Vous traitez et analysez les motifs d’insatisfactions clients Participez à l’animation de la démarche qualité au sein du Service Client  Vos principales missions : Ø Prise en charge, qualification, gestion et suivi des réclamations clients (téléphoniques et écrites) Ø Prendre contact avec nos clients pour assurer une parfaite gestion de la situation Ø Ecouter activement l’interlocuteur, découvrir leurs motifs d’insatisfactions dans le cadre des enquêtes de satisfactions, Ø Recueillir et synthétiser des informations pour qualifier le fichier clients dans notre CRM Ø Être garant(e) du respect de notre promesse clients en termes de délai et de qualité de réponse Ø Alerter sur les anomalies, les dysfonctionnements et les risques Ø Partager les enseignements suite aux différents cas clients identifiés et participer aux ateliers associés pour faire progresser notre service clients Ø Participer à la mise en œuvre de la démarche qualité du service Ø Gérer et actualiser la documentation Qualité (procédures, référentiels mail et courriers…) Ø Contribuer, sur chaque contact, à la promotion active de l’image de BforBank Ø Effectuer le reporting de son activité Ø Se tenir informé sur l’environnement produits-services Ø Veiller à la qualité de service et la sécurité, dans le respect des délégations confiées, en maitrisant l’approche du risque, en intégrant les aspects réglementaires et de conformité. Ø Contribuer à la synergie entre les services de BforBank.  Critères de candidature Date de prise de fonction 15/02/2021 Poste avec management Non Cadre / Non Cadre Non cadre Niveau d'étude minimum Bac + 2 / L2 Formation / Spécialisation Formation supérieure orientée dans le domaine « banque et finance ». (Bac+2/4) Vous disposez d'une expérience en relation client dans un environnement bancaire Niveau d'expérience minimum 0 - 2 ans Soft skills Compétences techniques :  Maitrise relation client à distance sur l'ensemble des canaux Maîtrise des produits bancaires (Compte courant, Epargne, Assurance vie,…), Capacité rédactionnelle  Compétences comportementales :  Capacité à évaluer et analyser : rechercher et évaluer les faits pertinents, Capacité à planifier, fixer les priorités. Programmer et organiser le travail. Esprit d'initiative et réactivité Esprit d'équipe Rigueur et sens de l'organisation Sens commercial Sensibilité qualité expérience client Outils informatiques Aisance dans l'utilisation des outils informatiques (plus particulièrement Maîtrise du Pack Office) Entreprise BforBank BforBank est la banque 100% en ligne du Groupe Crédit Agricole. Elle offre aux clients autonomes, actifs et mobiles des produits de banque au quotidien, une offre d'épargne complète ainsi que des services personnalisés et innovants. Rejoindre BforBank, c'est évoluer au sein d'une entreprise en pleine croissance. Une banque 100% digitale qui a placé l'innovation au cœur de sa stratégie. BforBank est également une entreprise à taille humaine qui a à cœur de favoriser l'autonomie de ses collaborateurs et le développement de leurs compétences. Groupe Crédit Agricole Il y a plus de 30 jours - Continuer pour postuler Signaler l'offre"
4,Chargé de financements Clientèle Privée -(H/F),Société Générale,,"Vos missions au quotidien Les CDS assurent la mise en œuvre des traitements, prestations et engagements de service afférents aux opérations bancaires de nos 8 millions de clients particuliers et 466.000 clients professionnels, associations et entreprises clients.  Nous vous proposons de rejoindre le CDS de TOULOUSE en tant que Chargé des financements de la clientèle des particuliers dans le cadre d'un contrat à durée déterminée. Vous aurez pour principales missions : Assurer la mise en place des crédits immobiliers de la clientèle de particuliers : analyse, émission des offres, gestion des assurances et sûretés, qualification, décaissement. Traiter les évènements de gestion du crédit et alertes associées (remboursement, renégociation…) et des sûretés (modification, mainlevée,…). Effectuer le contrôle de conformité des dossiers de crédit à la consommation. Assurer le traitement des avances patrimoniales et assimilés. Assurer la gestion courante des échéances impayées et des sinistres. Et si c’était vous ? Vous pouvez faire valoir des expériences réussies dans la banque de détail. Vous justifiez des compétences suivantes : Processus de traitement des opérations Connaissance offre commerciale Bureautique Respect des procédures Maîtrise du risque opérationnel Maîtrise des garanties  Plus qu’un poste, un tremplin Le JOB de Chargé de Financement vous permettra de découvrir les métiers de Back Office au sein de la Société Générale. Contrat CDD basé à Balma à pourvoir dès aujourd'hui. Rémunération selon grille SG. Pourquoi nous choisir ? Chez Société Générale, nous sommes convaincus que les personnes sont moteurs du changement, et que le monde de demain sera fait de toutes leurs initiatives, des plus petites aux plus ambitieuses. Que vous nous rejoigniez pour quelques mois, quelques années ou toute votre carrière, ensemble nous avons les moyens d’avoir un impact positif sur l’avenir. Créer, oser, innover, entreprendre font partie de notre ADN. Si vous aussi vous souhaitez être dans l’action, évoluer dans un environnement stimulant et bienveillant, vous sentir utile au quotidien et développer ou renforcer votre expertise, nous sommes faits pour nous rencontrer ! Vous hésitez encore ? Sachez que nos collaborateurs peuvent s’engager quelques jours par an pour des actions de solidarité sur leur temps de travail : parrainer des personnes en difficulté dans leur orientation ou leur insertion professionnelle, participer à l’éducation financière de jeunes en apprentissage ou encore partager leurs compétences avec une association. Les formats d’engagement sont multiples. Nous sommes un employeur garantissant l'égalité des chances et nous sommes fiers de faire de la diversité une force pour notre entreprise. Le groupe s’engage à reconnaître et à promouvoir tous les talents, quels que soient leurs croyances, âge, handicap, parentalité, origine ethnique, nationalité, identité sexuelle ou de genre, orientation sexuelle, appartenance à une organisation politique, religieuse, syndicale ou à une minorité, ou toute autre caractéristique qui pourrait faire l’objet d’une discrimination. Référence: 21000BZE Entité: Banque de détail France Date de début: 03/05/2021 Date de publication: 13/04/2021 Societe Generale il y a 7 jours - Continuer pour postuler Signaler l'offre"
5,Stagiaire de fin d'études Auditeur financier Assurance H/F,Mazars,,"Description de l'entreprise Mazars est une organisation internationale, intégrée et indépendante spécialisée dans l'audit, le conseil, ainsi que les services comptables, fiscaux et juridiques.  Présent dans 91 pays et territoires à travers le monde, Mazars fédère les expertises de 40 400 professionnels - 24 000 collaborateurs au sein du partenariat intégré Mazars et 16 000 professionnels via Mazars North America Alliance - qui accompagnent les grands groupes internationaux, ETI, PME, startups et organismes publics à chaque étape de leur développement. Description du poste Etre auditeur chez Mazars, c’est avant tout un état d’esprit ! Notre mindset ? Développer une approche sur-mesure et innovante pour nos clients, et ce dans la bonne humeur ! Mazars est en forte croissance et diversifie ses secteurs d’activités : vous découvrirez ainsi les joies de travailler pour des grands groupes, des PME, des ETI, des organismes publics ou bien encore des start-ups. Nos enjeux ? Comprendre les problématiques de nos clients et les intégrer dans un contexte de révolution digitale, d’intelligence artificielle et de profondes mutations qui impactent les fonctions financières et le métier d’auditeur financier. En rejoignant Mazars pour un stage de fin d'études en audit financier dans le secteur de l'Assurance, vous accompagnerez les plus grands acteurs du secteur de l'assurance et de la réassurance (sociétés cotées et non cotées, mutuelles, filiales de banques et sociétés étrangères) pour participer à des missions d'audit ou pluridisciplinaires menées avec nos départements de conseil en management et d'actuariat. Vous participerez à des missions : De certification des comptes, revue des normes comptables et de l'information financière, De due diligence financière, en collaboration étroite avec nos équipes actuarielles, De contrôle interne : diagnostic des processus comptables et projet Solvabilité 2.  Par ailleurs, vous aurez la possibilité de suivre un parcours de formation complet dès votre arrivée et vous permettre ainsi d'acquérir très rapidement des connaissances financières solides (comptabilité, finance, évaluation…) dans un environnement international.  Enfin, vous pourrez bénéficier d'un suivi personnalisé tout au long de votre stage grâce à notre système de parrainage. Cette première expérience vous permettra de valoriser votre cursus technique tout en élargissant vos compétences et vous donner l'opportunité d'intégrer nos équipes à l'issu de votre stage.  VENDREDI : Mazars propose depuis septembre 2016 aux stagiaires de passer 20% de leur temps de stage dans une association partenaire : Planète Urgence, Les Toiles Enchantées, Emmaüs Défi ou encore Institut Télémaque… Intégration prévue en Mars 2021. Qualifications De formation supérieure (bac+5) en école de commerce ou universités, nous recrutons avant tout des stagiaires impliqués, motivés et dotés d'un excellent relationnel et d'un fort esprit critique pour évoluer au sein d'un environnement exigeant.  Vous devrez par ailleurs être capable de travailler au sein d'équipes pluridisciplinaires, avoir le sens de l'initiative ainsi qu'une grande capacité d'adaptation. Votre capacité d'analyse et votre connaissance du secteur de l'assurance seront de véritables atouts pour nous rejoindre. N’attendez plus et rejoignez l’équipe Mazars ! Informations complémentaires Les + du métier : Stage de pré-embauche Responsabilisation Apprentissage rapide Il y a plus de 30 jours - Continuer pour postuler Signaler l'offre"
6,Gestionnaire MO Assurance Vie H/F,Indosuez Wealth Management,,"Description du poste Le service Middle Office Assurance Vie de la Direction des Services Opérationnels constitue l'interface entre les équipes commerciales de la banque, les Caisses Régionales et nos différents partenaires Assureurs internes et externes. Au sein de ce service et grâce à cette interactivité avec de nombreux services vous aurez une vision transversale des activités de la banque et de ses différents métiers. Descriptif de la mission : En tant que gestionnaire Middle Office Assurance Vie vous devrez : Apporter aux clients d'Indosuez Wealth Management (France) et des Caisses Régionales du Crédit Agricole votre expertise sur l'ensemble de l’activité liée au domaine de l'Assurance Vie et votre force de proposition. Assurer les traitements et les contrôles des opérations sur l'activité « ASV » dans le respect des délais et des procédures en vigueur. Dans ce cadre vous serez entre autre en charge : d'une mission de certification et contrôle : vous êtes responsable de la qualité de traitement et des contrôles des opérations qui vous sont confiées d'une mission de suivi des dossiers : vous êtes responsable du 1er niveau de SAV de toutes les demandes émanant de nos clients (équipes commerciales de la banque et MO des Caisses Régionales). Enfin vous êtes force de proposition pour apporter des solutions d'amélioration des circuits liés aux métiers de la Filière Assurance Vie.  Critères de candidature Date de prise de fonction 08/07/2020 Poste avec management Non Cadre / Non Cadre Non cadre Niveau d'étude minimum Bac + 3 / L3 Formation / Spécialisation filière banque/finance back et middle office 3 ans d'expérience dans un poste commercial ou technico-commercial dans un métier financier (banques, compagnies d'assurance, sociétés de gestion). Niveau d'expérience minimum 3 - 5 ans Soft skills Compétences spécifiques requises : qualités rédactionnelles et bonne maîtrise des outils bureautiques. Qualités humaines requises : Vous avez le goût du challenge et une grande curiosité d'esprit. Vous aimez apporter un service de qualité à une clientèle exigeante. Vous êtes organisé, rigoureux, exigeant, et réactif. Vous avez un bon esprit d'équipe. Entreprise Indosuez Wealth Management À propos d'Indosuez Wealth Management Indosuez Wealth Management est la marque mondiale de gestion de fortune du groupe Crédit Agricole, 10ème banque au monde par la taille des actifs (The Banker - juillet 2020, sur la base des résultats à fin 2019). Façonné par plus de 145 ans d'expérience dans l'accompagnement de familles et d'entrepreneurs du monde entier, Indosuez Wealth Management propose une approche sur mesure permettant à chacun de ses clients de construire, gérer, protéger et transmettre sa fortune au plus près de ses aspirations. Dotées d'une vision globale, ses équipes apportent conseils experts et service d'exception sur l'un des plus larges spectres du métier, pour la gestion du patrimoine privé comme professionnel. Distingué pour sa dimension à la fois humaine et résolument internationale, Indosuez Wealth Management rassemble 3 060 collaborateurs dans 13 territoires à travers le monde : en Europe (Belgique, Espagne, France, Italie, Luxembourg, Monaco et Suisse), en Asie-Pacifique (Hong Kong RAS, Nouvelle-Calédonie et Singapour), au Moyen-Orient (Emirats Arabes Unis), et aux Amériques (Brésil, Miami et Uruguay). Avec plus de 128 milliards d'euros d'actifs sous gestion (au 31.12.2020), Indosuez Wealth Management figure parmi les leaders mondiaux de la gestion de fortune. www.ca-indosuez.com Groupe Crédit Agricole Il y a plus de 30 jours - Continuer pour postuler Signaler l'offre"
7,CHARGÉ DE GESTION DE CONTRAT EN ALTERNANCE H/F,BNP Paribas,,"CHARGÉ DE GESTION DE CONTRAT EN ALTERNANCE H/F (NUMÉRO DE L'EMPLOI : !A_CARDIF21_0087)  Chargé de gestion de contrat en alternance H/F  Concrètement votre quotidien ? Vos principales missions seront : Gérer des contrats d’assurance épargne retraite collectifs et individuels. Gérer l'étude et la mise en place de contrats d'Epargne retraite Traiter des opérations ainsi que l’autocontrôle et les contrôles de 1er niveau Etre l’interlocuteur de nos clients et de nos partenaires avec pour ambition la satisfaction client Prendre en charge l'accueil et la réponse professionnels aux sollicitations en maintenant des relations de qualité en interne comme en externe Accompagner les clients, partenaires, services internes et collaborateurs  L'environnement de travail, c'est important ! Vous rejoindrez une équipe 5 à 6 collaborateurs avec votre manager, dédiés à la vie du contrat. Le poste est situé au siège de BNP Paribas Cardif à Nanterre, accessible en 15 minutes par navette depuis la Défense, ou par le RER A (gare de Rueil-Malmaison). Quels sont les apports du poste? Ce poste vous apportera une connaissance du métier et des services liés à la retraite. Vous y développerez votre réseau en travaillant au quotidien avec de nombreux interlocuteurs (commerciaux, IT, juridique, managers...). Le Service clients rente auquel l'équipe est rattaché est pleinement engagé au sein de Cardif Retraite & Entreprise qui est un dispositif au cœur de la stratégie de développement de BNP Paribas Cardif. Pourquoi rejoindre BNP Paribas ? Notre monde change ! Aujourd’hui, ce qui compte dans un job, c’est de vivre de véritables expériences, d’apprendre, de partager objectifs et résultats avec ses collègues. Bref, de tracer son propre chemin, différent, responsable et durable. Chez BNP Paribas, nous recrutons nos collaborateurs avec l’idée qu’ils nous aideront à concevoir le monde et la banque de demain.  La diversité, l’équité et l’inclusion sont des valeurs clefs pour le bien-être et la performance des équipes. Chez BNP Paribas, nous souhaitons accueillir et retenir tous les talents sans distinction : c’est ainsi que nous construirons, ensemble, la finance de demain, innovante, responsable et durable.  Vous voulez connaître toutes les raisons de nous rejoindre ? Rendez-vous sur : https://group.bnpparibas/emploi-carriere/bnp-paribas Et la rémunération ? Encadrée par la loi, elle sera abordée à l’issue de votre parcours de recrutement. Elle dépend du type de contrat, votre âge et de votre niveau d’études. Etes-vous notre prochain(e) alternant(e) Chargé de gestion de contrat ? Vous préparez un diplôme BAC+2/3 en école ou en université spécialisé en assurances ou relation client. Vous maitrisez le pack Office. Votre adaptabilité, votre capacité à collaborer et analyser seront des atouts essentiels. Ajoutez à cela, une bonne capacité d'organisation et de communication finiront de nous convaincre. Enfin, nous attachons une importance particulière à ce que nos futurs collaborateurs agissent au quotidien avec responsabilité éthique et professionnelle. N'oubliez pas d'indiquer sur votre CV la formation que vous souhaitez préparer dans le cadre de votre Alternance. Durée et disponibilité : Alternance à pourvoir à partir de Septembre 2021 pour une durée de 12 mois.   À tout moment pendant le processus de recrutement, les informations figurant sur votre CV, vos données d'identification et vos antécédents pourront être vérifiés.  Lieu principal : FR-Île-de-France-NANTERRE Type d'emploi : Alternance Domaine d'activité : TRAITEMENT DES OPERATIONS Niveau d'Etudes: Bachelor / Licence ou équivalent (>= 3 ans) Niveau d'expérience: Débutant Horaire : Temps plein Aujourd'hui - Continuer pour postuler Signaler l'offre"
8,ALTERNANCE - Développeur WEB H/F,Crédit Agricole Assurances,,"Description du poste Au sein d'ASSERCAR, vous serez rattaché au Responsable Informatique.  Vous ferez partie intégrante de l'équipe informatique qui a pour mission de maintenir et de développer l'ensemble de la plateforme informatique.  Vous devrez prendre en charge les demandes courantes en terme de développement informatique. Vous devrez analyser le besoin, proposer une solution technique adaptée et la développer.  Critères de candidature Durée 12 à 24 mois Cadre / Non Cadre Non cadre Niveau d'étude minimum Bac + 2 / L2 Formation / Spécialisation BTS Informatique Niveau d'expérience minimum 0 - 2 ans Soft skills connaissances dans le développement d'application WEB dans un environnement LAMP. Connaissances nécessaires en développement dans un environnement LAMP (Linux Apache MySQL PHP) Entreprise Crédit Agricole Assurances Crédit Agricole Assurances, premier assureur en France, rassemble les filiales assurances du Crédit Agricole. Le groupe propose une gamme de produits et services en épargne, retraite, santé, prévoyance et assurance des biens. Ils sont distribués par les banques du groupe Crédit Agricole en France et dans 7 pays dans le monde, par des conseillers en gestion patrimoniale et des agents généraux. Les compagnies de Crédit Agricole Assurances s'adressent aux particuliers, professionnels, agriculteurs et entreprises. A fin 2019, Crédit Agricole Assurances compte 4 700 collaborateurs et son chiffre d'affaires s'élève à 37 milliards d'euros (normes IFRS). Groupe Crédit Agricole il y a 22 jours - Continuer pour postuler Signaler l'offre"
9,Directeur Client Banque - Lyon F/H,QUATERNAIRE,,"Descriptif du poste: Notre équipe en charge de la relation clients tisse un lien fort avec eux. Compréhension de leurs problématiques, de leurs propres contextes, de leurs enjeux mais aussi de leurs fonctionnements individuels et collectifs… nos directeurs/trices clients ont cette habile sensibilité permettant de longues collaborations, riches en résultats durables. Convaincus que « Parler est un besoin, écouter est un art » comme le précisait Goethe, ils développent cette oreille d’or si précieuse pour proposer des solutions d’accompagnement parfaitement adaptées, et performer commercialement. Le secteur Banque, Mutuelle et Assurance est un marché historique chez Quaternaire. Nous y apportons notre expertise industrielle pour bousculer l’approche conventionnelle de recherche de performance économique, clients et sociale durable. Les missions Vous participez à la vente chez les prospects et avez la responsabilités de la revente chez les clients En vous imprégnant du terrain et en forgeant votre vision vous embarquerez les dirigeants. Vous allez imaginer, construire en équipe et proposer à vos clients (Directeurs Généraux, Membre du CODIR) des projets orientés Performance dans différents domaines (Management, organisations, process, bien-être, etc.) Vous accompagnerez les équipes de consultants pour assurer au plus haut point la satisfaction client. Vous accompagnerez les clients tout au long du projet Vous vous impliquerez dans la réalisation afin d’obtenir des résultats cohérents avec vos valeurs et convictions. Avec une relation forte, vous êtes responsable de vos clients, de leur satisfaction et de leur développement.  Profil recherché: Et, à propos de vous ? Après plus de 10 ans dans le conseil en management, en process ou en organisation dans le secteur de la finance, de la Banque, Mutuelle ou Assurance, ce marché n’a plus de secret pour vous ? Addict de l’adrénaline, drivé par les challenges, vous avez au fil des ans évolué sur des missions de management et de développement commercial ? Dans votre « cabinet de conseil », on vous nomme « Senior Manager » ? Vous êtes aussi à l’aise sur le terrain, qu’en phase de conception – réalisation d’une offre sur-mesure ou dans le management d’une équipe de consultants ? Les déplacements fréquents en France sont déjà votre quotidien et vous aimez ça ? Votre pragmatisme, optimisme, force de conviction, âme d’entrepreneur/euse vous précèdent ?  Entreprise: Seriez-vous d’accord avec la citation d’un célèbre acteur américain qui dit : « Si vous pouvez faire ce que vous faites de mieux et en être heureux, vous allez plus loin dans la vie que la plupart des gens » ? Nous en tout cas nous en sommes convaincus. Chez Quaternaire, nous sommes une entreprise de 64 personnes qui revendique haut et fort depuis bien longtemps (et avant que cela devienne à la mode …) que Performance et Bien être sont indissociables. C’est d’ailleurs un fondement de notre projet d’entreprise ! Nous défendons une posture originale dans le monde du conseil et de la formation en management, nous incarnons et défendons des valeurs singulières comme : Ecouter c’est déjà construire Oser être pertinents et impertinents Nourris aux défis depuis tout petits Cultiver l’équilibre et l’ouverture Société de conseil et formation en management nous améliorons la performance durable économique et sociale dans le monde de l’Industrie et des Services. Nous avons 3 implantations en France (Nantes, Paris et Lyon) et sommes très adepte du Home Office. Aujourd’hui nous avons besoin de vous afin de répondre à notre fort développement et à notre croissance à 2 chiffres. En nous rejoignant, nous vous faisons la promesse d'accélérer votre montée en compétences, de vous faire gagner en expérience et de contribuer à votre épanouissement dans un environnement de travail stimulant. Apec.fr il y a 19 jours - Continuer pour postuler Signaler l'offre"
