,title,company,salary,summary
0,Software Developer (Python),Anson McCade,,My client is a multi-strategy hedge fund looking for a talented individual to join their Core Technology Team as a Software Engineer.
1,Développeur backend | Python - NLP - ElasticSearch | Start u...,OCTOPUS IT,40 000 € par an,Django-rest-framework / Elasticsearch / Python.Backend Developer / CDI / Environ 40k€ / 0 - 2 ans / Paris.Ils s'attachent particulièrement au développement de…
2,Lead Developer Back-end - CDI -Paris - H/F,papernest,60 000 € par an,"Backend Developer, Lead Developer, Lead Developer Backend / CDI / Environ 60k€ / 3 - 6 ans / Paris-19E-Arrondissement.Car depuis 2015, nous n’avons pas chômé."
3,Python Developer - H/F,Young App,36 000 € - 45 000 € par an,YOUNG APP est une jeune start up prometteuse développant une plateforme Cloud d'extraction de méta-données sur des images basée sur du Deep Learning.
4,Python Developer Alternance F/H,Young App,,Python developer alternance f/h ou similaire: 1 an (Souhaité).YOUNG APP est une jeune start up prometteuse développant une plateforme Cloud d'extraction de…
5,STAGE (2 MOIS) - DATA ACQUISITION ENGINEER - PYTHON DEVELOPE...,Voysen,,"En tant que Data Acquisition Engineer, vous intégrerez l'équipe technique de Voysen, pour travailler sur la collecte des données.Date de début : 01 avril 2021."
6,BACKEND PYTHON DEVELOPER,Luko,,Your mission in the team.As Backend Developer you will:Be in charge of building the best infrastructure and software for Luko;
7,STAGE Data Engineer / Backend Developer / Data Scientist,AI UNIVERSAL,1 000 € par mois,"To maintain our growth, we are looking for someone with great energy and work ethic keen to work in a fast-paced environment.Premier Emploi / Stage long durée."
8,Scientific Software Developer (Remote),Kepler Fi,,You could join our group of outstanding developers who are in the business of prototyping and developing advanced technology tools to transform investment…
9,Python developer - Data extraction (stage / job étudiant),Innoscape,,Innoscape est une startup RetailTech d’intelligence de marché digitale.Nous analysons les canaux de distribution et fournissons des outils d’aide à la gestion…
10,Developer Python Angular Full Stack,SARDEL INGENIERIE,2 872 € - 4 065 € par mois,Recherche pour l'un de ses grands comptes 2 Developer : 1 senior et 1 junior.Profil Python Angular Full Stack (2) dont un Tech Lead (pour encadrement Juniors).
